"Date","P","E","Q"
1980-10-01,12.14,0.7621,0.5192
1980-10-02,0,1.8242,0.3808
1980-10-03,0,1.8728,0.2769
1980-10-04,0,1.551,0.2423
1980-10-05,4.13,0.8847,0.3289
1980-10-06,8.27,1.1675,0.2942
1980-10-07,0,1.8328,0.225
1980-10-08,0,1.857,0.2077
1980-10-09,0,1.9179,0.2077
1980-10-10,0,1.8484,0.2077
1980-10-11,0,1.7047,0.1904
1980-10-12,0,1.4433,0.1904
1980-10-13,0,1.2976,0.2077
1980-10-14,0,1.3107,0.2077
1980-10-15,0,1.2941,0.2077
1980-10-16,0,1.2928,0.2077
1980-10-17,0,1.2671,0.2423
1980-10-18,0,1.1944,0.3289
1980-10-19,13.35,0.9491,0.5712
1980-10-20,0,1.3932,0.3635
1980-10-21,0,1.1886,0.3462
1980-10-22,0,1.2169,0.3462
1980-10-23,0,1.1524,0.3289
1980-10-24,0,0.8507,0.3635
1980-10-25,31.09,0.4105,0.8654
1980-10-26,0,1.0659,0.5539
1980-10-27,0,1.3968,0.4846
1980-10-28,12.01,1.2015,0.6923
1980-10-29,0,1.1456,0.5366
1980-10-30,9.9,0.9223,0.5366
1980-10-31,0,0.89,0.4846
1980-11-01,0,1.3952,0.4154
1980-11-02,0,1.3788,0.3808
1980-11-03,0,1.3222,0.3462
1980-11-04,1,1.2375,0.3462
1980-11-05,0,1.074,0.3289
1980-11-06,0,1.0285,0.3289
1980-11-07,0,1.1121,0.3289
1980-11-08,0,1.2478,0.3289
1980-11-09,0,1.2262,0.3289
1980-11-10,0,1.092,0.3289
1980-11-11,0,0.8841,0.3808
1980-11-12,0,0.8106,0.3981
1980-11-13,0,0.8694,0.3289
1980-11-14,0,0.9327,0.2596
1980-11-15,15.83,0.8112,0.6404
1980-11-16,15.96,0.8593,0.5539
1980-11-17,4.72,0.8576,0.4673
1980-11-18,7.65,0.8257,0.5885
1980-11-19,0,0.7823,0.5019
1980-11-20,0,0.7202,0.4673
1980-11-21,0,0.7126,0.45
1980-11-22,0,0.7248,0.4154
1980-11-23,0,0.8132,0.4327
1980-11-24,30.24,0.8059,1.0385
1980-11-25,0,0.8395,0.7789
1980-11-26,0,0.6425,0.6577
1980-11-27,11.63,0.611,0.7789
1980-11-28,0,0.4747,0.7443
1980-11-29,0,0.6025,0.6404
1980-11-30,0,0.6847,0.6058
1980-12-01,0,0.7682,0.5712
1980-12-02,0,0.8184,0.5366
1980-12-03,0,0.7115,0.4846
1980-12-04,0,0.6132,0.4327
1980-12-05,0,0.6252,0.4154
1980-12-06,0,0.6625,0.3981
1980-12-07,0,0.6761,0.3808
1980-12-08,0,0.6829,0.3635
1980-12-09,0,0.7582,0.3808
1980-12-10,15.32,0.7386,0.5192
1980-12-11,0,0.6458,0.4154
1980-12-12,0,0.5915,0.4154
1980-12-13,0,0.6487,0.45
1980-12-14,0,0.6772,0.4154
1980-12-15,0,0.544,0.4154
1980-12-16,0,0.5475,0.4154
1980-12-17,0,0.5763,0.3981
1980-12-18,0,0.5476,0.3808
1980-12-19,0,0.5879,0.3808
1980-12-20,0,0.4987,0.3635
1980-12-21,0,0.4424,0.3462
1980-12-22,0,0.4559,0.3462
1980-12-23,0,0.4792,0.3808
1980-12-24,0,0.6119,0.3981
1980-12-25,0,0.4278,0.3808
1980-12-26,0,0.3495,0.3289
1980-12-27,0,0.4577,0.3289
1980-12-28,5,0.5054,0.4327
1980-12-29,3.99,0.5791,0.4846
1980-12-30,4,0.6075,0.4846
1980-12-31,4,0.6238,0.4327
1981-01-01,0,0.5919,0.4154
1981-01-02,0,0.6298,0.3808
1981-01-03,0,0.5961,0.3808
1981-01-04,0,0.5811,0.3635
1981-01-05,0,0.4424,0.3808
1981-01-06,0,0.5252,0.4154
1981-01-07,0.63,0.5946,0.3808
1981-01-08,0,0.5287,0.3981
1981-01-09,0,0.5753,0.3808
1981-01-10,0,0.5628,0.3808
1981-01-11,0,0.4421,0.3635
1981-01-12,0,0.4253,0.3808
1981-01-13,0,0.5348,0.3981
1981-01-14,0,0.6826,0.3808
1981-01-15,0,0.6728,0.3635
1981-01-16,0,0.591,0.3635
1981-01-17,0,0.5316,0.3808
1981-01-18,0,0.5306,0.3808
1981-01-19,0,0.7946,0.3635
1981-01-20,0,0.8029,0.4673
1981-01-21,6,0.6643,0.4327
1981-01-22,0,0.5952,0.4327
1981-01-23,0,0.7073,0.3981
1981-01-24,0,0.8264,0.3981
1981-01-25,0,0.8626,0.4327
1981-01-26,0,0.9524,0.4673
1981-01-27,0,1.0429,0.5539
1981-01-28,0,0.8556,0.5366
1981-01-29,0,0.7682,0.4846
1981-01-30,0,0.8047,0.5019
1981-01-31,9.71,0.5795,0.4673
1981-02-01,0,0.8789,0.5712
1981-02-02,27.43,0.8434,2.7693
1981-02-03,0,0.8102,1.2289
1981-02-04,0,0.7205,1.0385
1981-02-05,0,0.8871,0.952
1981-02-06,0,1.0081,0.8827
1981-02-07,0,1.1047,0.7443
1981-02-08,0,1.1197,0.7443
1981-02-09,0,1.1302,1.0212
1981-02-10,0,1.2727,2.077
1981-02-11,51.69,1.066,7.0964
1981-02-12,0,1.1365,3.8078
1981-02-13,0,1.1983,2.4232
1981-02-14,0,1.2674,2.077
1981-02-15,0,1.3702,1.0385
1981-02-16,0,1.3588,1.0558
1981-02-17,4.11,1.0002,1.402
1981-02-18,17,1.0236,4.154
1981-02-19,7,0.9424,4.6732
1981-02-20,11,1.1274,6.231
1981-02-21,0,1.3639,4.5001
1981-02-22,0,1.8442,3.2886
1981-02-23,7,1.3089,3.4617
