"Date","P","E","T","Q"
1980-10-01,0,3.1961,19.75,0.5188
1980-10-02,0,3.4981,21.47,0.3891
1980-10-03,0,3.3631,18.5,0.3521
1980-10-04,0,3.3104,18.24,0.3335
1980-10-05,0,3.4378,20.365,0.2965
1980-10-06,0,2.9995,15.75,0.2965
1980-10-07,0,2.9342,15.215,0.2965
1980-10-08,0,3.0912,17.765,0.2965
1980-10-09,0,3.2211,20.52,0.2965
1980-10-10,0,3.2777,21.95,0.278
1980-10-11,0,3.1891,21.63,0.2594
1980-10-12,0,2.8733,17.41,0.2594
1980-10-13,0,2.7415,16.11,0.2594
1980-10-14,0,2.7641,17.015,0.2594
1980-10-15,0,2.8087,18.59,0.2594
1980-10-16,0,2.8114,22.25,0.278
1980-10-17,0,2.4982,25.13,0.8894
1980-10-18,90.29,2.0605,24.07,10.3397
1980-10-19,14.86,1.6629,19.865,2.2236
1980-10-20,0,2.3752,16.875,0.8339
1980-10-21,0,2.2195,14.615,0.6115
1980-10-22,0,2.3261,15.85,0.5374
1980-10-23,0,2.4294,17.605,0.5003
1980-10-24,0,2.3679,18.42,0.4633
1980-10-25,0,2.0018,11.11,0.4262
1980-10-26,0,2.0058,11.915,0.4262
1980-10-27,0,2.1068,15.99,0.5559
1980-10-28,38.71,1.7662,16.945,0.63
1980-10-29,2.54,1.1584,10.545,0.4818
1980-10-30,0,1.3429,6.705,0.4633
1980-10-31,0,1.6629,8.33,0.4262
1980-11-01,0,1.8104,11.85,0.4262
1980-11-02,0,1.8841,13.76,0.4262
1980-11-03,0,1.8873,14.75,0.4262
1980-11-04,0,1.9784,16.925,0.3891
1980-11-05,0,1.8499,14.26,0.3891
1980-11-06,0,1.8878,15.4,0.3891
1980-11-07,0,2.0372,18.635,0.3706
1980-11-08,0,1.9815,19.775,0.3706
1980-11-09,0,1.9874,20.25,0.3891
1980-11-10,0,1.9763,19.99,0.3891
1980-11-11,0,1.916,19,0.3706
1980-11-12,0,1.7586,15.7,0.3706
1980-11-13,0,1.6812,14.38,0.3706
1980-11-14,0.67,1.7405,17.62,0.3706
1980-11-15,12.64,1.5192,19.245,0.5003
1980-11-16,20.65,1.0337,11.23,1.1303
1980-11-17,38.04,0.7819,8.235,3.7245
1980-11-18,0.83,0.8933,6.695,1.26
1980-11-19,0,1.0801,4.125,0.7597
1980-11-20,0,1.091,4.26,0.6115
1980-11-21,0,1.1738,6.25,0.5559
1980-11-22,0,1.2226,9.12,0.5559
1980-11-23,11.94,0.8931,10.585,0.7227
1980-11-24,0.98,1.0926,12.125,0.63
1980-11-25,0,1.1174,9.165,0.5559
1980-11-26,17.27,0.8971,6.645,0.8339
1980-11-27,10.96,0.7485,2.51,1.26
1980-11-28,0,1.0499,5.565,0.7783
1980-11-29,0,1.1324,7.525,0.63
1980-11-30,0,1.2807,11.655,0.5744
1980-12-01,0,1.4039,14.5,0.5559
1980-12-02,0,1.4316,16.1,0.5374
1980-12-03,0,1.2397,10.995,0.5188
1980-12-04,0,1.1178,8.77,0.5188
1980-12-05,0,1.3833,14.79,0.5188
1980-12-06,0,1.4449,16.27,0.5003
1980-12-07,0,1.4539,17.23,0.5003
1980-12-08,0,1.4308,19.35,0.5003
1980-12-09,28.28,1.2611,16.155,1.5195
1980-12-10,5.32,0.8768,7.655,1.0377
1980-12-11,0,0.9364,3.77,0.6856
1980-12-12,0,1.0419,7.065,0.593
1980-12-13,0,1.1158,9.75,0.5744
1980-12-14,0,1.1537,10.195,0.5559
1980-12-15,0,1.0738,8.5,0.5374
1980-12-16,0,1.1705,11,0.5374
1980-12-17,1.9,1.0757,8.645,0.5374
1980-12-18,0,1.1213,10.05,0.5188
1980-12-19,0,1.2535,13.4,0.5188
1980-12-20,0,0.9569,5.335,0.4818
1980-12-21,0,0.6739,-2.045,0.4633
1980-12-22,0,0.7885,0.645,0.4633
1980-12-23,0,0.9785,7,0.4818
1980-12-24,0,1.261,13.715,0.4818
1980-12-25,0,0.9266,4.27,0.4633
1980-12-26,0,0.8125,1.165,0.4633
1980-12-27,0,0.9435,4.65,0.4633
1980-12-28,0,0.9606,5.005,0.4633
1980-12-29,0,1.0253,6.75,0.4447
1980-12-30,0,1.0823,8.545,0.4447
1980-12-31,0,1.0616,7.645,0.4447
1981-01-01,0,1.1248,10.21,0.4447
1981-01-02,0,1.0834,8.305,0.4447
1981-01-03,0,1.0486,7.24,0.4447
1981-01-04,0,1.1358,9.19,0.4447
1981-01-05,0,0.9408,3.75,0.4447
1981-01-06,7.74,0.885,5.235,0.5003
1981-01-07,16,0.9095,6.7,0.8339
1981-01-08,0,1.0268,5.11,0.7227
1981-01-09,4.5,0.9746,6.985,0.5559
1981-01-10,0,1.1072,7.15,0.5003
1981-01-11,0,0.9372,3,0.4633
1981-01-12,0,0.8418,-0.905,0.4633
1981-01-13,0,0.9101,0.515,0.4633
1981-01-14,0,1.1423,6.08,0.4633
1981-01-15,0,1.1825,7.04,0.4633
1981-01-16,0,1.1262,5.265,0.4633
1981-01-17,0,1.0309,2.93,0.4447
1981-01-18,0,0.9662,0.98,0.4447
1981-01-19,0,1.0663,3.5,0.4633
1981-01-20,23.02,0.818,4.65,1.1859
1981-01-21,1.77,0.737,4.47,0.9821
1981-01-22,0,0.8535,5.73,0.6486
1981-01-23,0,1.1407,4.24,0.5744
1981-01-24,0,1.3752,7.745,0.5374
1981-01-25,0,1.5353,11.09,0.5188
1981-01-26,0,1.6457,13.55,0.5188
1981-01-27,0,1.5755,15.045,0.5003
1981-01-28,0,1.4857,8.545,0.4818
1981-01-29,0,1.6376,11.005,0.4633
1981-01-30,0,1.7491,14.26,0.4633
1981-01-31,0,1.4744,8.775,0.4633
1981-02-01,50.31,1.4163,10.545,13.5454
1981-02-02,20.13,1.1211,3.885,19.4565
1981-02-03,0,1.2022,-0.035,1.8159
1981-02-04,0,1.3652,3.75,1.1674
1981-02-05,5.01,1.1447,5.12,1.0747
1981-02-06,14.15,0.7929,2.305,1.4824
1981-02-07,0,1.2965,6.27,1.1303
1981-02-08,1.59,1.3469,8.575,0.9636
1981-02-09,0,1.6094,7.16,0.8339
1981-02-10,10.16,1.5964,10.99,0.8894
1981-02-11,0,1.6931,6.405,0.8894
1981-02-12,0,1.15,-3.1,0.7041
1981-02-13,0,1.3011,0.265,0.6671
1981-02-14,0,1.6225,3.51,0.6486
1981-02-15,0,1.738,5.965,0.63
1981-02-16,2.41,1.5939,10.365,0.6671
1981-02-17,2,1.6667,13.25,0.6856
1981-02-18,0,2.2582,14.185,0.6486
1981-02-19,0,2.4897,16.02,0.593
1981-02-20,0,2.7243,17.21,0.593
1981-02-21,0,2.8295,18.93,0.5744
1981-02-22,5.22,2.1099,17.5,0.593
1981-02-23,0,2.3828,12.36,0.5744
1981-02-24,0,2.6256,13.235,0.5374
1981-02-25,0,2.8449,15.51,0.5374
