"Date","P","E","T","Q"
1980-10-01,5.61,2.2864,21.23,0.7759
1980-10-02,0,3.3895,21.24,0.6034
1980-10-03,0,3.7169,20.81,0.5172
1980-10-04,0,3.5746,16.09,0.4741
1980-10-05,0,3.4637,16.79,0.4526
1980-10-06,0,3.2754,14.825,0.431
1980-10-07,0,3.3455,15.06,0.431
1980-10-08,0,3.4432,16.5,0.4203
1980-10-09,0,3.5733,18.5,0.4203
1980-10-10,0,3.6903,20.5,0.4095
1980-10-11,0,3.736,21.865,0.4095
1980-10-12,0,3.408,18.265,0.3987
1980-10-13,0,3.0325,14.66,0.3987
1980-10-14,0,3.0674,15.455,0.3987
1980-10-15,0,3.2479,18.39,0.3987
1980-10-16,0,3.2751,20.97,0.3987
1980-10-17,0,3.1919,22.5,0.3987
1980-10-18,1.56,2.6115,24.76,0.4418
1980-10-19,4.39,2.1292,22.75,0.5496
1980-10-20,8.43,2.2053,17.33,0.625
1980-10-21,0,2.5325,15.745,0.5065
1980-10-22,0,2.6877,18.515,0.4741
1980-10-23,1.02,2.479,19.785,0.4526
1980-10-24,0.09,2.148,19.23,0.4526
1980-10-25,9.38,1.9024,12.745,0.5388
1980-10-26,0,2.1967,10.56,0.5172
1980-10-27,0,2.4144,14.245,0.4741
1980-10-28,72.29,1.9094,18.905,2.9525
1980-10-29,11.68,1.4856,16.3,3.0495
1980-10-30,13.58,1.3177,12.78,1.8426
1980-10-31,0,1.8743,10.905,1.0668
1980-11-01,0,2.0692,11.755,0.7866
1980-11-02,0,2.1801,13.96,0.6681
1980-11-03,0,2.3296,17.685,0.6034
1980-11-04,0,2.2255,19.5,0.5711
1980-11-05,0,2.0838,13.925,0.5388
1980-11-06,0,1.9343,11.715,0.5172
1980-11-07,0,2.0206,13.54,0.5065
1980-11-08,0,2.1282,16,0.4957
1980-11-09,0,2.1252,16.5,0.4849
1980-11-10,0,2.1622,17.525,0.4849
1980-11-11,0,1.9976,16.79,0.4741
1980-11-12,0,1.8798,13.61,0.4741
1980-11-13,0,1.8232,13.12,0.4634
1980-11-14,0,1.8899,16,0.4634
1980-11-15,0,1.953,20.28,0.4741
1980-11-16,0,1.9722,20.675,0.4741
1980-11-17,1.33,1.3779,18.95,0.4849
1980-11-18,1.52,1.6285,13.36,0.5065
1980-11-19,0,1.2497,5.28,0.4957
1980-11-20,0,1.3323,6.14,0.4849
1980-11-21,0,1.391,7.39,0.4741
1980-11-22,0,1.3932,9.1,0.4741
1980-11-23,9.24,1.2107,12.4,1.153
1980-11-24,36.63,1.2442,14.5,3.4913
1980-11-25,0,1.3071,11.23,1.9073
1980-11-26,0,1.2674,10.425,1.3039
1980-11-27,31.64,1.1003,8.63,3.3189
1980-11-28,0,1.0599,3.545,2.2306
1980-11-29,0,1.2252,5.955,1.3685
1980-11-30,0,1.2891,8.385,1.0668
1980-12-01,0,1.3641,10.39,0.9159
1980-12-02,0,1.5499,14.445,0.8297
1980-12-03,0,1.4306,12.07,0.7759
1980-12-04,0,1.2717,8.905,0.7112
1980-12-05,0,1.3742,11.415,0.6789
1980-12-06,0,1.4773,13.86,0.6573
1980-12-07,0,1.5247,15.005,0.6358
1980-12-08,0,1.5235,15.255,0.625
1980-12-09,0,1.6355,17.945,0.6142
1980-12-10,15.11,1.4002,16.74,0.6896
1980-12-11,2.15,1.1323,7.44,0.8082
1980-12-12,0,1.1543,7.115,0.7112
1980-12-13,0,1.2014,9,0.6573
1980-12-14,0,1.2421,9.685,0.625
1980-12-15,0,1.1207,7.28,0.6034
1980-12-16,2.82,1.1425,9.63,0.6034
1980-12-17,0,1.1747,8.3,0.5927
1980-12-18,0,1.087,6.26,0.5819
1980-12-19,0,1.2057,9.64,0.5819
1980-12-20,0,1.2768,11.005,0.5711
1980-12-21,0,0.862,4.555,0.5711
1980-12-22,0,0.9375,5.98,0.5711
1980-12-23,0,1.1506,8.21,0.5711
1980-12-24,0,1.3015,11.705,0.5927
1980-12-25,7.98,1.0197,6.765,0.722
1980-12-26,0,0.9161,2.125,0.6573
1980-12-27,0,0.9238,2.735,0.6358
1980-12-28,0,1.0229,4.235,0.6142
1980-12-29,0,1.1987,8.66,0.6034
1980-12-30,0,1.2331,9.26,0.5927
1980-12-31,0,1.2236,8.965,0.5819
1981-01-01,0,1.1896,8.27,0.5819
1981-01-02,0,1.1826,7.685,0.5711
1981-01-03,0,1.1274,6.005,0.5711
1981-01-04,0,1.2079,7.87,0.5711
1981-01-05,0,1.0957,4.64,0.5603
1981-01-06,0,1.0529,4.005,0.5603
1981-01-07,18.27,1.0248,7.215,0.8621
1981-01-08,0,1.0687,3.325,0.8621
1981-01-09,0,1.1138,4.32,0.7112
1981-01-10,0,1.0957,4.495,0.6573
1981-01-11,0,1.0177,1.12,0.625
1981-01-12,0,0.9597,-1.035,0.6142
1981-01-13,0,0.9435,-2.41,0.6034
1981-01-14,0,1.1512,3.275,0.6034
1981-01-15,0,1.3263,7.385,0.6034
1981-01-16,0,1.3284,7.04,0.5927
1981-01-17,0,1.1558,3.36,0.5819
1981-01-18,0,1.1286,1.745,0.5711
1981-01-19,0,1.3014,5.375,0.5711
1981-01-20,2.43,1.3291,8.5,0.5819
1981-01-21,5.66,1.0282,7.74,0.6142
1981-01-22,0,0.9556,5.655,0.5927
1981-01-23,0,1.215,5.295,0.5819
1981-01-24,0,1.3991,5.68,0.5819
1981-01-25,0,1.5429,7.75,0.5711
1981-01-26,0,1.6889,10.405,0.5603
1981-01-27,0,1.8065,12.745,0.5603
1981-01-28,8.76,1.5386,12.995,0.5711
1981-01-29,0,1.6842,8.675,0.5496
1981-01-30,0,1.8396,11.36,0.5496
1981-01-31,0,1.8093,12.06,0.5388
1981-02-01,0,1.6982,11.805,0.5496
1981-02-02,25.64,1.5514,9.245,1.3793
1981-02-03,0,1.3412,0.26,1.0991
1981-02-04,0,1.4776,2.235,0.7974
1981-02-05,0,1.5858,4.145,0.6896
1981-02-06,24.86,1.1882,5.005,1.5086
1981-02-07,3.61,1.0945,8.2,1.9073
1981-02-08,0,1.6396,10.76,1.2284
1981-02-09,0,1.91,7.645,0.9375
1981-02-10,38.1,1.6808,11.505,3.1142
1981-02-11,124.89,1.697,10.08,17.7799
1981-02-12,0,1.4803,-0.225,7.2952
1981-02-13,0,1.4745,1.23,4.0409
1981-02-14,0,1.6939,7.145,2.6832
1981-02-15,0,2.0703,13.18,2.0043
1981-02-16,1.22,1.8349,15.78,1.6595
1981-02-17,4,1.5697,17.045,1.5733
1981-02-18,7.01,1.7303,18.25,1.6487
1981-02-19,2.86,2.3125,16.25,1.4763
1981-02-20,0,2.8582,15.98,1.2931
1981-02-21,0,2.8799,14.265,1.1315
1981-02-22,0,3.0229,16.865,1.0345
1981-02-23,3,2.1982,11.615,1.0237
1981-02-24,0,2.7638,11.55,0.9267
1981-02-25,0,2.9102,12.56,0.8621
1981-02-26,0,3.1091,14.77,0.8082
1981-02-27,0,3.2999,16.735,0.7543
1981-02-28,0,3.3316,16.5,0.7112
1981-03-01,0,3.179,17.785,0.6896
1981-03-02,0,3.0095,16.38,0.6896
1981-03-03,0,3.0317,12,0.6573
1981-03-04,0,2.9984,14.355,0.6681
1981-03-05,34.36,2.508,17.245,1.153
1981-03-06,0,3.2954,13.205,1.056
1981-03-07,0,2.7382,12.505,0.8297
1981-03-08,0,2.9044,11.32,0.7435
