"Date","P","E","T","Q"
2005-01-01,0,1.5554,15.18,0.0001764453
2005-01-02,0,1.5933,15.38,0.0003816392
2005-01-03,0,1.6536,16.035,0.0005111124
2005-01-04,0,1.6307,15.45,0.0005921694
2005-01-05,0,1.6612,15.79,0.0006422642
2005-01-06,1.97,1.6926,18,0.176067
2005-01-07,0,1.6479,17.955,0.2017433471
2005-01-08,27.74,1.4598,18.34,2.5948056011
2005-01-09,0,1.6336,14.98,2.9103614469
2005-01-10,0,1.5516,14.175,1.9115611347
2005-01-11,0,1.7179,17.045,1.2676332812
2005-01-12,0,1.7231,17.71,0.8511765786
2005-01-13,0,1.6077,18.615,0.5806666983
2005-01-14,39.66,1.4329,13.685,3.8861752909
2005-01-15,0,1.3628,8.765,4.2785748625
2005-01-16,0,1.4,7.54,2.8298307219
2005-01-17,0,1.3098,4.695,1.8936649373
2005-01-18,0,1.1689,2.385,1.2862874148
2005-01-19,0,1.2748,3.285,0.8900663054
2005-01-20,0,1.421,6.155,0.6296861545
2005-01-21,0,1.6525,10.55,0.4569009355
2005-01-22,0,1.9242,15.48,0.3407832169
2005-01-23,0,1.5305,7.91,0.2614884434
2005-01-24,0,1.1721,0.465,0.206265976
2005-01-25,0,1.4216,4.16,0.1669072117
2005-01-26,0,1.7308,9.735,0.1381138422
2005-01-27,0,1.9497,13.66,0.1164539476
2005-01-28,0,1.5749,10.155,0.0996940088
2005-01-29,6.56,1.1159,6.6,0.6437313408
2005-01-30,7.48,0.9932,6.025,1.3485465711
2005-01-31,0,1.5729,7.35,1.2127335433
2005-02-01,15.38,1.28,8.825,2.1123929521
2005-02-02,17.84,1.1679,8.965,3.5455256124
2005-02-03,12.51,1.1708,9.005,4.1366553491
2005-02-04,0,1.6646,7.885,3.2584579143
2005-02-05,0,1.9421,8.285,2.1771159436
2005-02-06,0,2.0836,10.14,1.4759257437
2005-02-07,0,2.2076,12.035,1.018838535
2005-02-08,0,2.3873,15.595,0.7187514994
2005-02-09,12.18,1.9117,17.785,1.5183769091
2005-02-10,7.96,1.9912,11.33,2.1796491443
2005-02-11,0,1.8827,5.615,1.79091703
2005-02-12,0,2.1319,8.095,1.2198274604
2005-02-13,0,2.3245,10.62,0.8468853582
2005-02-14,14.83,2.0919,14.32,1.787861812
2005-02-15,0,2.6142,15.92,1.7965284599
2005-02-16,0,2.6168,17.105,1.2212368812
2005-02-17,0,2.6645,15.995,0.8458337758
2005-02-18,0,2.3222,9.41,0.5990351752
2005-02-19,0,2.319,8.155,0.435176278
2005-02-20,0,2.5767,10.69,0.3249829887
2005-02-21,0,2.8374,14.42,0.2496701438
2005-02-22,0,3.0055,20.505,0.1971667499
2005-02-23,0,2.7476,18.405,0.1597015415
2005-02-24,4.01,1.8376,16.66,0.4293914201
2005-02-25,4.99,2.0637,13.405,0.8187452133
2005-02-26,0,2.7316,10.37,0.7393273479
2005-02-27,7.16,2.05,10.86,1.0267393195
2005-02-28,0.46,1.901,11.115,0.9826438154
2005-03-01,0,2.6253,8.26,0.6847032353
2005-03-02,0,2.5969,6.42,0.4741193939
2005-03-03,8,2.0774,6.9,0.896048379
2005-03-04,8.19,1.6913,6.25,1.4548483921
2005-03-05,0,3.0684,11.075,1.2560771781
2005-03-06,0,3.3105,12.6,0.8504972422
2005-03-07,0,3.2769,12.41,0.5862339997
2005-03-08,7.09,2.8309,14.685,0.8825265118
2005-03-09,0,2.8817,9.66,0.8343347248
2005-03-10,0,2.6904,7.585,0.5748310334
2005-03-11,0,3.0859,10.38,0.4045998647
2005-03-12,0,3.4855,11.65,0.2919011696
2005-03-13,0,3.8142,15.885,0.2163920455
2005-03-14,0,3.7258,19.25,0.165022576
2005-03-15,0,3.5959,14.74,0.1294106519
2005-03-16,24.68,2.5698,14.245,1.5649720669
2005-03-17,4.42,2.2966,12.53,2.009863853
2005-03-18,0,2.0995,8.39,1.4681437215
2005-03-19,0,3.2326,9.545,0.993077777
2005-03-20,0,3.7476,13.055,0.6836523106
2005-03-21,9.9,3.0365,15.175,1.0280466512
2005-03-22,7.12,3.3572,17.625,1.3575445445
2005-03-23,11.82,3.4166,19.435,1.7471886944
2005-03-24,0,4.3845,15.835,1.4886492099
2005-03-25,7.06,3.6784,17.885,1.3824241506
2005-03-26,0,4.5694,20.38,1.1242164158
2005-03-27,45.6,3.3746,19.89,3.1041025723
2005-03-28,22.98,3.6052,17.17,4.3599517901
2005-03-29,0,4.3063,13.75,3.4803866274
2005-03-30,0,4.6588,16.5,2.3594110933
2005-03-31,0,4.4617,19.27,1.6286589522
2005-04-01,102.29,2.8632,18.97,6.2229874035
2005-04-02,42.2,3.2788,14.375,8.7091644871
2005-04-03,0,4.1204,11.075,6.8471302246
2005-04-04,0,4.5802,13.97,4.6410938347
2005-04-05,0,4.8147,16.19,3.2030714663
2005-04-06,0,4.7612,17.58,2.259011207
2005-04-07,63.13,3.3287,18.545,4.5678139991
2005-04-08,0,4.4464,18.25,4.5426631959
2005-04-09,0,4.3486,15.995,3.1420953091
2005-04-10,0,5.0663,18.59,2.2217803295
2005-04-11,0,4.7956,20.13,1.6111410789
2005-04-12,24.27,3.5702,19.965,2.2125106504
2005-04-13,0,5.0389,17.385,2.0655271015
2005-04-14,0,4.8341,16.9,1.4896839253
2005-04-15,0,4.4712,14.07,1.1038702658
2005-04-16,0,5.1245,16.25,0.8414045022
2005-04-17,0,5.1672,15.165,0.659455723
2005-04-18,0,5.2702,16.045,0.530464461
2005-04-19,0,5.2718,16.845,0.4366544368
2005-04-20,0,4.946,17.79,0.3665213406
2005-04-21,0,5.3018,19.115,0.312585581
2005-04-22,23.9,4.295,20.72,1.0315407407
2005-04-23,10.7,4.2202,19.99,1.4281830418
2005-04-24,0,4.593,12.88,1.1620839792
2005-04-25,0,4.4528,12.01,0.8331024727
2005-04-26,28.74,3.4574,14.55,1.4904676282
2005-04-27,9.25,3.9899,16.055,1.7275476839
2005-04-28,0,5.4213,16.675,1.3391419569
2005-04-29,0,5.4384,17.97,0.9570842608
2005-04-30,0,5.0881,20.195,0.7022827999
2005-05-01,64.71,3.5943,15.95,2.4526981126
2005-05-02,0,5.2334,16.01,2.5657751602
2005-05-03,0,5.3806,17.04,1.7843221756
2005-05-04,0,5.2201,16.655,1.2696586847
2005-05-05,0,5.0621,17.98,0.9271540538
2005-05-06,4.95,4.3511,18.5,0.823894438
2005-05-07,0,5.565,17.755,0.6800617565
2005-05-08,0,5.7737,18.93,0.5236016101
2005-05-09,0,5.8396,19.575,0.4143124955
2005-05-10,0,5.6985,20.855,0.3361498573
2005-05-11,0,5.8752,23.515,0.2787535539
2005-05-12,0,6.0609,23.65,0.235408839
2005-05-13,0,6.0484,23.73,0.2017414752
2005-05-14,0,5.8217,23.33,0.1748822855
2005-05-15,0,5.3531,22.495,0.1529320278
2005-05-16,0,5.7665,21.525,0.1346182212
2005-05-17,0,6.1155,21.27,0.1190752706
2005-05-18,0,6.2547,22.19,0.1057032844
2005-05-19,0,6.4204,23.75,0.0940770846
2005-05-20,0,6.2293,24.5,0.0838875877
2005-05-21,0,6.2598,24.495,0.074903767
2005-05-22,0,6.378,23.175,0.0669479611
2005-05-23,0,6.2299,24.635,0.059879814
2005-05-24,0,6.1579,27.755,0.0535855911
2005-05-25,0,6.763,25.9,0.0479709711
2005-05-26,0,6.3141,20.28,0.0429564852
2005-05-27,0,6.6209,21.79,0.0384740451
2005-05-28,0,6.6963,23.635,0.0344646395
2005-05-29,0,6.379,25.005,0.03087676
2005-05-30,0.64,5.8429,24.9,0.035702222
2005-05-31,13.94,3.6494,24.745,0.2122281331
2005-06-01,52.17,2.8169,23.25,0.973319826
2005-06-02,12.08,3.698,23.515,1.1521940966
2005-06-03,18.83,3.9721,24.475,1.1739362251
2005-06-04,1.75,5.0989,25.98,0.9832155463
2005-06-05,0,4.9994,26.75,0.7333618322
2005-06-06,0,5.6419,26.495,0.554371759
2005-06-07,4.29,5.3635,25.755,0.4907018249
2005-06-08,0,6.3318,26.145,0.408421243
2005-06-09,10.13,5.1623,26.185,0.4649119994
2005-06-10,0,6.0228,26.31,0.4163825271
2005-06-11,31.08,3.5099,25.175,0.7688724384
2005-06-12,51.53,3.361,24.705,1.5517968973
2005-06-13,0,5.9297,26.615,1.4394033544
2005-06-14,0,6.5573,27.8,1.0532415504
2005-06-15,0,6.7455,28.66,0.7924733621
2005-06-16,0,7.0947,27.425,0.6133303423
2005-06-17,0,7.1194,25.72,0.4876743071
2005-06-18,0.9,6.3359,25.725,0.4092887367
2005-06-19,0,7.0407,24.12,0.3435003347
2005-06-20,0,6.9332,24.66,0.2892648779
2005-06-21,0,6.716,24.9,0.2473334362
2005-06-22,0,7.0646,25.245,0.2140252373
2005-06-23,0,7.226,26.045,0.186907867
2005-06-24,0,7.2067,26.795,0.1643554276
2005-06-25,0,7.162,26.63,0.1452650806
2005-06-26,0,6.9612,25.725,0.1288750455
2005-06-27,0,6.1999,25.3,0.1146475742
2005-06-28,0,6.411,26.62,0.1021933264
2005-06-29,5.96,4.0545,25.815,0.1525009175
2005-06-30,11.19,4.3459,25.225,0.2626936863
2005-07-01,0,6.6615,27.4,0.2429648992
2005-07-02,0,7.04,28,0.1913882836
2005-07-03,12.19,5.4186,27.505,0.2785631745
2005-07-04,0,6.4463,27.77,0.2574218807
2005-07-05,8.85,4.1778,27.925,0.2924612642
2005-07-06,6.89,4.155,27.62,0.3276572047
2005-07-07,18.68,4.5023,25.23,0.4747125581
2005-07-08,0,6.5911,25.965,0.4275995535
2005-07-09,0,6.6513,27.275,0.3320277461
2005-07-10,24.1,4.7231,26.655,0.5202563782
2005-07-11,66.02,2.923,24.455,1.3106083577
2005-07-12,0,5.531,27.46,1.2589474889
2005-07-13,15.11,4.7709,27.76,1.1251202622
2005-07-14,10.32,4.6992,27.895,1.0478277344
2005-07-15,12.2,4.6035,26.49,1.0030026849
2005-07-16,14.91,4.5482,26.635,1.0223570373
2005-07-17,0,6.3973,26.99,0.8580445352
2005-07-18,0,6.7915,27.53,0.6726999844
2005-07-19,0,6.3766,27.585,0.5412607551
2005-07-20,0,6.5333,27.945,0.4456377745
2005-07-21,2.34,6.3204,28,0.4011505591
2005-07-22,6.36,5.5264,28.3,0.4209559917
2005-07-23,0,6.8291,28.86,0.3739592124
2005-07-24,0,7.1196,29.49,0.312218534
2005-07-25,0,7.2347,29.11,0.2651250339
2005-07-26,0,7.0821,28.965,0.228190977
2005-07-27,0,7.0147,28.795,0.1984640069
2005-07-28,0,6.7591,28.675,0.173982194
2005-07-29,15.68,5.2916,28.215,0.3138867369
2005-07-30,22.73,5.0479,27.25,0.5474733303
2005-07-31,9.92,4.4536,26.01,0.6084951095
2005-08-01,14.89,4.4984,26.34,0.6682900762
2005-08-02,0,5.3302,26.29,0.5686710319
2005-08-03,13.36,3.7349,25.255,0.5934760274
2005-08-04,7.47,4.315,25.66,0.5977409101
2005-08-05,12.14,3.5181,24.49,0.635067245
2005-08-06,30.07,3.483,24.02,0.9109959583
2005-08-07,0,5.2014,24.71,0.8225461257
2005-08-08,4.93,4.8175,26.06,0.6915741942
2005-08-09,0,6.3622,26.675,0.5627829492
2005-08-10,12.89,4.992,27.225,0.6033252986
2005-08-11,20.75,4.9459,27.395,0.7861511062
2005-08-12,18.76,4.9285,27.405,0.9347205059
2005-08-13,0,6.4101,26.625,0.7991484915
2005-08-14,0,6.5301,27.265,0.6206130184
2005-08-15,0,6.6602,28.015,0.4950309328
2005-08-16,22.28,5.2263,27.76,0.675677865
2005-08-17,0.45,6.2951,27.245,0.6315283032
2005-08-18,0,6.4926,27.505,0.5004885056
2005-08-19,0,6.4687,28.375,0.4050772648
2005-08-20,0,6.3852,29.23,0.3352080721
2005-08-21,0,6.2965,29.52,0.2825948391
2005-08-22,0,6.3963,29.31,0.241842786
2005-08-23,1.85,5.5939,28.355,0.2287488109
2005-08-24,0,6.0668,28.025,0.2032595413
2005-08-25,0,6.0851,28.54,0.175879977
2005-08-26,0,6.0657,27.9,0.1535913333
2005-08-27,0,5.8387,27.2,0.1350562089
2005-08-28,0,5.5761,27.82,0.1193675067
2005-08-29,17.51,3.4576,27.765,0.2790063305
2005-08-30,33.32,2.8704,27.375,0.6329829251
2005-08-31,4.64,4.2455,28.46,0.6445419345
2005-09-01,19.99,4.4157,26.685,0.7287294652
2005-09-02,0,6.0325,25.96,0.6291915777
2005-09-03,0,5.864,26.31,0.4864496268
2005-09-04,0,5.8996,26.47,0.3864110362
2005-09-05,0,5.6768,25.74,0.3145922759
2005-09-06,0,5.612,24.875,0.2616366343
2005-09-07,0,5.4334,24.935,0.2214756938
2005-09-08,0,5.3906,25.425,0.1901526271
2005-09-09,0,5.6306,24.87,0.1650688068
2005-09-10,0,5.6137,24.365,0.1445012829
2005-09-11,0,5.5453,24.26,0.1272934513
2005-09-12,0,5.5119,24.37,0.1126565619
2005-09-13,0,5.4054,24.465,0.1000422172
2005-09-14,0,5.33,24.815,0.0890602991
2005-09-15,0,5.2727,25.58,0.0794260085
2005-09-16,0,5.2564,26.765,0.0709255743
2005-09-17,0,5.2644,27.03,0.0633939431
2005-09-18,0,5.1571,28,0.0567001796
2005-09-19,0,5.1671,28.38,0.0507378008
2005-09-20,0,5.1851,28.005,0.0454183291
2005-09-21,0,5.1161,27.66,0.0406669357
2005-09-22,0,4.8071,27.745,0.0364194348
2005-09-23,4.54,3.4017,27.365,0.0689293763
2005-09-24,1.55,3.5901,27.25,0.0784366238
2005-09-25,42.95,2.769,27.315,0.4533679595
2005-09-26,30.75,2.7395,26.785,0.7538697935
2005-09-27,53.03,2.5384,25.86,1.2531176651
2005-09-28,0,3.5831,25.67,1.1316958294
