"Date","P","E","T","Q"
1980-10-01,0,2.3804,16.655,0.6321
1980-10-02,0,2.4399,16.925,0.5603
1980-10-03,0,2.6297,13.47,0.5222
1980-10-04,0,2.2834,10.365,0.4989
1980-10-05,0,2.3739,11.09,0.5053
1980-10-06,0,2.2077,8.255,0.4989
1980-10-07,0,2.4005,11.36,0.4989
1980-10-08,0,2.6537,15.69,0.4926
1980-10-09,0,2.818,18.99,0.4926
1980-10-10,0,2.9081,20.8,0.4863
1980-10-11,0,2.7654,19.325,0.4799
1980-10-12,0,2.2347,12.01,0.4651
1980-10-13,0,2.0078,8.815,0.4651
1980-10-14,0,2.0888,10.995,0.4693
1980-10-15,0,2.2117,13.595,0.4757
1980-10-16,0,2.3486,16.675,0.4863
1980-10-17,0,2.1147,20.155,0.4926
1980-10-18,10.65,1.3212,21.025,0.5222
1980-10-19,0,1.9729,17.505,0.5349
1980-10-20,0,1.8542,10.435,0.5159
1980-10-21,0,1.858,11.265,0.5053
1980-10-22,0,1.9512,13.875,0.5095
1980-10-23,0,1.9203,14.1,0.5095
1980-10-24,0.06,1.9063,15.76,0.5159
1980-10-25,10.34,1.2523,8.75,0.5349
1980-10-26,0,1.4084,6.815,0.5666
1980-10-27,13.07,1.2552,9.275,0.6047
1980-10-28,23.37,1.2699,12.93,0.9197
1980-10-29,0,1.4454,10.455,0.9704
1980-10-30,0,1.1499,4.21,0.7082
1980-10-31,0,1.2743,5.745,0.611
1980-11-01,0,1.3718,9.24,0.5856
1980-11-02,0,1.468,12.42,0.5603
1980-11-03,0,1.4736,13.03,0.5476
1980-11-04,0,1.4646,13.765,0.5476
1980-11-05,0,1.2731,9.315,0.5349
1980-11-06,0,1.1884,7.865,0.5285
1980-11-07,0,1.3331,12.36,0.5285
1980-11-08,0,1.511,17.075,0.5476
1980-11-09,0,1.4728,18.34,0.5539
1980-11-10,0,1.3523,15.385,0.5539
1980-11-11,0,1.2661,12.525,0.5539
1980-11-12,0,1.1065,8.93,0.5412
1980-11-13,0,1.0601,9.46,0.5412
1980-11-14,10.41,1.0777,11.365,0.5729
1980-11-15,10.21,0.7861,12.49,0.6321
1980-11-16,0,0.9323,9.62,0.6385
1980-11-17,24.45,0.7653,7.77,0.7505
1980-11-18,18.06,0.7813,5.79,1.0719
1980-11-19,0,0.7176,0.76,0.9197
1980-11-20,0,0.766,1.33,0.7442
1980-11-21,0,0.7743,2.51,0.6596
1980-11-22,0,0.7921,3.33,0.6194
1980-11-23,3.79,0.7691,5.76,0.6385
1980-11-24,2.39,0.7325,8.405,0.6596
1980-11-25,0,0.7438,5.455,0.6448
1980-11-26,1.22,0.7135,4.49,0.6385
1980-11-27,16.7,0.6664,3.685,0.852
1980-11-28,0,0.607,1.515,0.9408
1980-11-29,0,0.7103,3.125,0.8647
1980-11-30,0,0.7358,4.975,0.8013
