"Date","P","E","Q"
1980-10-01,3.62,2.0592,1.2576
1980-10-02,0,3.0527,0.5929
1980-10-03,0,3.3319,0.3953
1980-10-04,0,3.0855,0.3234
1980-10-05,0,3.0582,0.2875
1980-10-06,0,2.8448,0.2695
1980-10-07,0,2.865,0.2695
1980-10-08,0,3.0023,0.2695
1980-10-09,0,3.1338,0.2515
1980-10-10,0,3.1622,0.2515
1980-10-11,0,3.163,0.2515
1980-10-12,0,2.8339,0.2515
1980-10-13,0,2.6567,0.2336
1980-10-14,0,2.6109,0.2336
1980-10-15,0,2.7462,0.2515
1980-10-16,0,2.7657,0.2515
1980-10-17,0,2.45,0.2695
1980-10-18,5.56,1.564,0.3414
1980-10-19,19.61,1.4566,0.8265
1980-10-20,0,2.2829,0.6468
1980-10-21,0,2.0838,0.4312
1980-10-22,0,2.3463,0.3593
1980-10-23,0,2.4082,0.3234
1980-10-24,6.51,1.8405,0.3414
1980-10-25,0,2.1516,0.4492
1980-10-26,0,1.9028,0.3773
1980-10-27,0,2.0901,0.3414
1980-10-28,62.8,1.5419,7.3123
1980-10-29,6.66,1.4938,4.5814
1980-10-30,5,1.106,1.7068
1980-10-31,0,1.6745,0.9881
1980-11-01,0,1.7812,0.6288
1980-11-02,0,1.8559,0.5031
1980-11-03,0,1.947,0.4492
1980-11-04,0,1.9857,0.4132
1980-11-05,0,1.7818,0.3773
1980-11-06,0,1.741,0.3414
1980-11-07,0,1.8206,0.3414
1980-11-08,0,1.9018,0.3234
1980-11-09,0,1.8908,0.3234
1980-11-10,0,1.8631,0.3234
1980-11-11,0,1.7835,0.3234
1980-11-12,0,1.6603,0.3234
1980-11-13,0,1.6077,0.3234
1980-11-14,0,1.6405,0.3234
1980-11-15,5.41,1.403,0.3593
1980-11-16,0,1.5192,0.3773
1980-11-17,0.15,1.4436,0.3953
1980-11-18,6.95,1.2468,0.5031
1980-11-19,0,0.9961,0.4671
1980-11-20,0,1.1139,0.4132
1980-11-21,0,1.1608,0.3773
1980-11-22,0,1.1829,0.4312
1980-11-23,23.33,0.9241,1.9044
1980-11-24,9.39,0.8896,1.3475
1980-11-25,0,0.9561,0.7546
1980-11-26,22.55,0.8768,3.3956
1980-11-27,30.89,0.9037,7.2943
1980-11-28,0,0.9834,2.695
1980-11-29,0,1.0836,1.2576
1980-11-30,0,1.1551,0.8444
1980-12-01,0,1.2304,0.6827
1980-12-02,0,1.3905,0.5929
1980-12-03,0,1.2773,0.521
1980-12-04,0,1.1178,0.4671
1980-12-05,0,1.1942,0.4492
1980-12-06,0,1.3181,0.4312
1980-12-07,0,1.3603,0.4132
1980-12-08,0,1.3897,0.4132
1980-12-09,0,1.3784,0.4312
1980-12-10,23.57,1.1525,1.581
1980-12-11,0,0.9571,1.4912
1980-12-12,0,0.9944,0.8624
1980-12-13,0,1.0473,0.6288
1980-12-14,0,1.0768,0.521
1980-12-15,0,0.9826,0.4671
1980-12-16,0.82,1.0793,0.4492
1980-12-17,0,1.0155,0.4312
1980-12-18,0,0.9958,0.3953
1980-12-19,0,1.1013,0.3953
1980-12-20,0,1.0378,0.3773
1980-12-21,0,0.7979,0.3773
1980-12-22,0,0.8772,0.3593
1980-12-23,0,0.984,0.3773
1980-12-24,8.01,1.0134,0.4312
1980-12-25,0,0.9423,0.6288
1980-12-26,0,0.7913,0.557
1980-12-27,0,0.8252,0.4671
1980-12-28,0,0.8728,0.4132
1980-12-29,0,1.0072,0.3953
1980-12-30,0,1.0607,0.3773
1980-12-31,0,1.0432,0.3773
1981-01-01,0,1.0733,0.3593
1981-01-02,0,1.0362,0.3593
1981-01-03,0,0.9955,0.3414
1981-01-04,0,1.072,0.3414
1981-01-05,0,0.9754,0.3414
1981-01-06,0,0.9652,0.3593
1981-01-07,17.53,0.9157,1.2397
1981-01-08,0,0.9667,1.1139
1981-01-09,0,1.0105,0.6827
1981-01-10,0,1.0049,0.521
1981-01-11,0,0.9068,0.4492
1981-01-12,0,0.8422,0.4132
1981-01-13,0,0.8633,0.3773
1981-01-14,0,1.0577,0.3953
1981-01-15,0,1.1791,0.3953
1981-01-16,0,1.1454,0.3953
1981-01-17,0,1.0077,0.3773
1981-01-18,0,0.9919,0.3593
1981-01-19,0,1.1015,0.3593
1981-01-20,5,0.9615,0.3953
1981-01-21,2.03,0.8133,0.4671
1981-01-22,0,0.8531,0.4492
1981-01-23,0,1.0995,0.4132
1981-01-24,0,1.2923,0.3773
1981-01-25,0,1.4098,0.3593
1981-01-26,0,1.5358,0.3414
1981-01-27,0,1.593,0.3414
1981-01-28,0,1.5331,0.3414
1981-01-29,0,1.5252,0.3234
1981-01-30,0,1.6538,0.3234
1981-01-31,0,1.4903,0.3234
1981-02-01,8.64,1.389,0.8085
1981-02-02,28.71,1.331,4.5814
1981-02-03,0,1.1724,2.5512
1981-02-04,0,1.3209,1.1678
1981-02-05,0.36,1.3376,0.9343
1981-02-06,53.91,0.9507,17.4453
1981-02-07,0,1.1337,10.0612
1981-02-08,0,1.313,3.18
1981-02-09,0,1.6548,2.0122
1981-02-10,121.86,1.4302,60.367
1981-02-11,30.16,1.4224,47.7905
1981-02-12,0,1.1811,7.0967
1981-02-13,0,1.2978,3.9706
1981-02-14,0,1.453,3.1261
1981-02-15,7.85,1.257,3.1082
1981-02-16,7.4,1.3639,4.0065
1981-02-17,5.02,1.5232,3.3597
1981-02-18,0,2.2243,2.4973
1981-02-19,0,2.3615,2.12
1981-02-20,0,2.5381,1.8326
1981-02-21,0,2.5904,1.599
1981-02-22,2,2.3541,1.5092
1981-02-23,0,2.3953,1.4912
1981-02-24,0,2.4609,1.2936
1981-02-25,0,2.607,1.1498
1981-02-26,0,2.76,1.042
1981-02-27,0,2.8546,0.9881
1981-02-28,0,2.9339,0.8983
1981-03-01,0,2.6199,0.8804
1981-03-02,0,2.5303,0.8983
1981-03-03,0,2.6111,0.8265
1981-03-04,0,2.2759,1.0241
1981-03-05,22.39,2.1933,2.695
1981-03-06,0,2.81,1.8326
1981-03-07,0,2.2814,1.1139
1981-03-08,0,2.3825,0.8983
1981-03-09,0,2.699,0.7905
1981-03-10,0,2.7175,0.7366
1981-03-11,0,2.763,0.7007
1981-03-12,0,2.8861,0.6648
1981-03-13,0.35,2.6257,0.6648
1981-03-14,0,3.1165,0.6648
1981-03-15,0,3.2074,0.6468
1981-03-16,4.76,2.4866,0.7187
1981-03-17,0,3.054,0.6288
1981-03-18,0,3.2332,0.6109
