"Date","P","E","Q"
1980-10-01,0,3.2293,1.1619
1980-10-02,0,3.6333,1.007
1980-10-03,0,3.5701,0.8521
1980-10-04,0,3.6185,0.7746
1980-10-05,0,3.7697,0.7359
1980-10-06,0,3.6662,0.6662
1980-10-07,0,3.4265,0.5887
1980-10-08,0,3.4416,0.5422
1980-10-09,0,3.4375,0.4958
1980-10-10,0,3.3106,0.426
1980-10-11,0,3.2443,0.3873
1980-10-12,0,3.1614,0.3486
1980-10-13,0,3.1184,0.3331
1980-10-14,0,3.043,0.3331
1980-10-15,5.26,2.5468,0.3331
1980-10-16,23.87,2.1153,0.3563
1980-10-17,3.99,1.8286,0.3098
1980-10-18,0,2.8853,0.2711
1980-10-19,22.84,1.8015,0.2944
1980-10-20,0,2.2399,0.3021
1980-10-21,0,2.5606,0.2324
1980-10-22,0,2.6235,0.2091
1980-10-23,0,2.5782,0.1859
1980-10-24,0,2.5707,0.1472
1980-10-25,0,2.0975,0.1394
1980-10-26,0,2.2188,0.1317
1980-10-27,0.26,2.3549,0.1317
1980-10-28,4,2.0074,0.1317
1980-10-29,2.64,1.1327,0.1239
1980-10-30,0,1.6869,0.1162
1980-10-31,0,1.8811,0.1084
1980-11-01,0,2.0552,0.1007
1980-11-02,0,2.1146,0.093
1980-11-03,0,2.1351,0.0852
1980-11-04,0,2.1709,0.0767
1980-11-05,0,2.0327,0.0705
1980-11-06,0,2.0598,0.0705
1980-11-07,0,2.1061,0.0705
1980-11-08,0,2.1572,0.062
1980-11-09,0,2.2256,0.0604
1980-11-10,0,2.1495,0.062
1980-11-11,0,1.9626,0.0705
1980-11-12,0,1.9455,0.0705
1980-11-13,0,1.8469,0.0705
1980-11-14,0,1.8207,0.0705
1980-11-15,0,1.347,0.062
1980-11-16,30.73,0.9245,0.1782
1980-11-17,20.06,0.7846,0.2556
1980-11-18,0,0.9908,0.1627
1980-11-19,0,1.2039,0.1394
1980-11-20,0,1.3028,0.1317
1980-11-21,0,1.3335,0.1239
1980-11-22,2.24,1.0337,0.1317
1980-11-23,5.61,0.9121,0.1472
1980-11-24,0,1.3718,0.1317
1980-11-25,0,1.0088,0.2246
1980-11-26,26.57,0.8193,0.426
1980-11-27,0,1.0335,0.4105
1980-11-28,0,1.1317,0.3641
1980-11-29,0,1.2578,0.3563
1980-11-30,0,1.4047,0.3563
1980-12-01,0,1.5004,0.3563
1980-12-02,0,1.4238,0.3331
1980-12-03,0,1.113,0.3176
1980-12-04,0.67,1.2227,0.3253
1980-12-05,2,1.1847,0.3563
1980-12-06,0,1.1461,0.3331
1980-12-07,0,1.1979,0.3176
1980-12-08,7.3,1.2077,0.4183
1980-12-09,11,1.1226,0.488
1980-12-10,0,0.967,0.488
1980-12-11,0,1.0964,0.488
1980-12-12,0,1.1809,0.488
1980-12-13,0,1.3036,0.4803
1980-12-14,2,1.2782,0.4648
1980-12-15,5.65,1.0007,0.457
1980-12-16,0,1.4019,0.457
1980-12-17,0,1.404,0.4183
1980-12-18,0,1.4498,0.4183
1980-12-19,0,1.3897,0.3951
1980-12-20,0,0.8603,0.3718
1980-12-21,0,0.6891,0.3563
1980-12-22,0,0.7682,0.3563
1980-12-23,0,1.1553,0.3563
1980-12-24,0,1.3045,0.3408
1980-12-25,0,0.9836,0.3176
1980-12-26,0,1.0196,0.3176
1980-12-27,0,1.2114,0.2944
1980-12-28,0,1.2504,0.2944
1980-12-29,0,1.2813,0.2866
1980-12-30,0,1.2041,0.2556
1980-12-31,0,1.2499,0.2556
1981-01-01,0,1.307,0.2401
1981-01-02,0,1.2718,0.2091
1981-01-03,0,1.2358,0.2169
1981-01-04,0,1.2861,0.2091
1981-01-05,0,1.1211,0.2091
1981-01-06,3.11,0.9903,0.2091
1981-01-07,0,1.2403,0.1937
1981-01-08,0,1.1826,0.1937
1981-01-09,4,0.9987,0.2091
1981-01-10,0,1.0887,0.1859
1981-01-11,0,1.0622,0.1782
1981-01-12,0,1.1545,0.1627
1981-01-13,0,1.1139,0.1627
1981-01-14,6.05,1.0539,0.1627
1981-01-15,0,1.2789,0.1549
1981-01-16,0,1.2696,0.1472
1981-01-17,0,1.122,0.1394
1981-01-18,0,0.8757,0.1317
1981-01-19,17.83,0.7228,0.3253
1981-01-20,20.12,0.7649,0.4725
1981-01-21,0,1.3332,0.3563
1981-01-22,0,1.2976,0.3176
1981-01-23,0,1.394,0.3176
1981-01-24,0,1.5483,0.3021
1981-01-25,0,1.7499,0.2866
1981-01-26,0,1.8556,0.2711
1981-01-27,0,1.7476,0.2711
1981-01-28,0,1.7478,0.2556
1981-01-29,0,1.9021,0.2556
1981-01-30,0,1.8744,0.2556
1981-01-31,0,1.2719,0.2634
1981-02-01,3.76,1.2509,0.2944
1981-02-02,0,1.4517,0.2401
1981-02-03,0,1.4223,0.2401
1981-02-04,7.9,1.2453,0.3021
1981-02-05,17,0.8636,0.4183
1981-02-06,3.47,0.7896,0.4415
1981-02-07,0,1.2884,0.4415
1981-02-08,0,1.9866,0.4415
1981-02-09,0,1.7113,0.4415
1981-02-10,8,1.6348,0.55
1981-02-11,0,1.6442,0.4725
1981-02-12,0,1.2654,0.4725
1981-02-13,0,1.4169,0.488
1981-02-14,0,1.3509,0.4958
1981-02-15,0,1.9938,0.5112
1981-02-16,0,2.1039,0.5112
1981-02-17,0,2.253,0.5035
1981-02-18,0,2.3242,0.5035
1981-02-19,0,2.4551,0.4958
1981-02-20,0,2.682,0.4648
1981-02-21,0,2.707,0.4725
1981-02-22,0,2.6377,0.4415
1981-02-23,0,2.4088,0.426
1981-02-24,0,2.6266,0.4183
1981-02-25,0.64,2.6499,0.4183
1981-02-26,1,1.5815,0.4105
1981-02-27,0,2.3248,0.4183
1981-02-28,0,1.8305,0.4028
1981-03-01,11.88,2.0444,0.488
1981-03-02,8.48,1.2948,0.4415
1981-03-03,16.09,1.6024,2.3238
1981-03-04,20.57,1.8561,5.1125
1981-03-05,0,2.9846,1.4718
1981-03-06,0,2.6864,1.3943
1981-03-07,4.25,1.9209,1.4718
1981-03-08,0,2.7316,1.3943
1981-03-09,0,2.4908,1.3168
1981-03-10,0,2.624,1.2394
1981-03-11,6.01,2.1705,1.3168
1981-03-12,10.15,1.599,1.4718
1981-03-13,13.79,1.4443,1.7816
1981-03-14,0,3.0888,1.6267
1981-03-15,0,3.223,1.5492
1981-03-16,0,3.4492,1.4718
1981-03-17,0,3.3904,1.3943
1981-03-18,0,3.4849,1.3168
1981-03-19,0,3.1491,1.1619
1981-03-20,0,3.2831,1.1619
1981-03-21,0,3.4472,1.0845
1981-03-22,0,3.77,1.007
1981-03-23,0,3.1464,1.007
1981-03-24,0,3.4384,0.9295
1981-03-25,0,3.671,0.8521
1981-03-26,0,3.5734,0.8521
1981-03-27,0,3.9717,0.8521
1981-03-28,0,2.9811,0.7746
1981-03-29,11.96,3.2699,0.7746
1981-03-30,0,4.2669,0.7281
1981-03-31,0,4.4559,0.6972
1981-04-01,0,4.327,0.6739
1981-04-02,0,4.4181,0.6507
1981-04-03,0,3.2908,0.6507
1981-04-04,1.17,3.9698,0.6197
1981-04-05,0,4.1979,0.5732
1981-04-06,0,4.0542,0.5577
1981-04-07,0,4.0363,0.55
1981-04-08,0,3.747,0.5345
