"Date","P1","P2","P3","P4","P5","P6","P","E","T","Q"
2004-01-01,0,2.035714286,0.037558685,1.573643411,0,0,0,0.7246,6.13,1.685
2004-01-02,2.75,3.128571429,3.028169014,2.410852713,0,0,3,0.7979,8.47,1.5687
2004-01-03,0,0,0,0,0,0,0,1.0954,16.215,1.4609
2004-01-04,7.214285714,9.392857143,8.483568075,10.42635659,10.97663551,9.940594059,0,1.1158,19.595,1.3552
2004-01-05,6.482142857,5.714285714,7.769953052,6.364341085,3.144859813,1.04950495,11.38,0.8749,12.245,1.3552
2004-01-06,0,0,0,0,0,0,0,0.6076,-0.69,1.3721
2004-01-07,0,0,0,0,0,0,0,0.5399,-5.66,1.3023
2004-01-08,0,3.607142857,0.577464789,4.395348837,5.313084112,1.392739274,0,0.5681,-4.68,1.2178
2004-01-09,5.071428571,0,0,0,0,0,4.99,0.5357,-0.845,1.203
2004-01-10,0,0,0,0,0,0,0,0.6065,-1.99,1.1776
2004-01-11,0,0,0,0,0,0,0,0.6278,-2.1,1.1142
2004-01-12,0,0,0,0,0,0,0,0.7301,1.405,1.0655
2004-01-13,0,0,0,0,0,0,0,0.8752,6.865,1.0233
2004-01-14,0,0,0,0,0,0,0,0.824,4.18,0.9662
2004-01-15,0,0,0,0,0,0,0,0.8559,4.59,0.9323
2004-01-16,0,0,0,0,0,0,0,0.7957,2.155,0.9006
2004-01-17,0,17.12857143,2.995305164,18.84496124,17.65420561,3.798679868,0,0.8532,3.385,0.8816
2004-01-18,9.410714286,6.2,8.183098592,5.503875969,6.144859813,7.392739274,16.05,0.6799,6.82,1.0338
2004-01-19,0,0,0,0,0,0,1.55,0.7609,-0.52,1.408
2004-01-20,0,0,0,0,0,0,0,0.5808,-5.7,1.3784
2004-01-21,0,0,0,0,0,0,0,0.7082,-2.85,1.2664
2004-01-22,0,0,0,0,0,0,0,0.8292,-0.225,1.2008
2004-01-23,0,0,0,0,0,0,0,0.8587,0.315,1.1353
2004-01-24,0,30.96428571,20.92488263,32.09302326,32.48130841,32.68976898,0,0.8467,-0.655,1.0825
2004-01-25,18,12.28571429,15.56338028,10.30232558,12.73831776,16.80858086,31.84,0.9905,9.295,1.9662
2004-01-26,4.160714286,3.75,5.366197183,4.046511628,4.476635514,4.171617162,5.55,1.0903,9.815,4.334
2004-01-27,0,0,0,0,0,0,3.17,1.0632,7.265,3.1078
2004-01-28,0,0,0,0,0,1.452145215,0.01,0.7758,-4.02,2.389
2004-01-29,0,0.314285714,0.028169014,1.527131783,1.11682243,0.551155116,0,0.8515,-1.745,1.9915
2004-01-30,0,0,0,0,0,0,0.01,0.9684,0.545,1.7611
2004-01-31,0,0,0,0,0,0,0,0.826,-4.17,1.5729
2004-02-01,0,0,0,0,0,0,0,0.9047,-2.215,1.4059
2004-02-02,11.82142857,14.92857143,13.85446009,16,15.9953271,15.36963696,6.3,1.1093,5.305,1.2896
2004-02-03,19.96428571,1.35,6.9342723,0,0,0,21.22,0.8483,3.545,1.3996
2004-02-04,0,38.25,9.957746479,41.96124031,40.73364486,30.75247525,0,0.9333,-0.18,1.4228
2004-02-05,63.58928571,69.71428571,65.48826291,69.81395349,69.81775701,67.37953795,54.55,0.9943,3.105,12.7061
2004-02-06,32.23214286,29.31428571,42.44131455,36.04651163,54.13084112,77.64026403,55.35,1.0699,7.25,51.797
2004-02-07,0,0,0,0,0,0,0,0.9288,1.62,12.0084
2004-02-08,0,0,0,0,0,0,0,0.7646,-3.085,5.1163
2004-02-09,0,3.628571429,0.150234742,2.085271318,0,0,0.34,1.0491,0.1,3.5307
2004-02-10,4.571428571,3.592857143,3.995305164,3.798449612,0.228971963,0,4.38,0.9473,4.145,2.8964
2004-02-11,0,7.692857143,6.58685446,9.240310078,11.30841121,13.02970297,0,1.2313,4.67,2.4101
2004-02-12,8.160714286,1.071428571,8.352112676,0.23255814,0.630841121,11.7359736,8.76,1.0645,3.46,2.1776
2004-02-13,0,0,0,0,0,0,0,1.1761,1.515,2.0824
2004-02-14,0,3.757142857,2.483568075,4.434108527,6.121495327,7.841584158,0,1.1763,0.93,1.9302
2004-02-15,7.267857143,11.48571429,9.267605634,11.94573643,13.75700935,14.82838284,7.74,1.2006,5.555,1.8901
2004-02-16,7.5,0.071428571,0,0,0.065420561,3.95379538,8.04,0.9919,-0.19,1.9641
2004-02-17,0,0,0,0,0,0,0,1.2856,0.885,1.8964
2004-02-18,0,0,0,0,0,0,0,1.5,3.23,2.0486
2004-02-19,0,0,0,0,0,0,0,1.6354,5.335,2.1776
2004-02-20,0,0,0,0,0,0,0,1.8503,8.68,2.1142
2004-02-21,0,0,0,0,0,0,0,1.8667,8.075,1.9831
2004-02-22,0,0,0,0,0,0,0,1.7196,5.5,1.8161
2004-02-23,0,1.771428571,0.281690141,1.968992248,2.177570093,0.382838284,0,1.7752,6.2,1.6913
2004-02-24,2.089285714,2,2.098591549,2,2.551401869,3.386138614,2.14,1.7273,9.54,1.5835
2004-02-25,0.303571429,11.27142857,8.417840376,10.86046512,9.775700935,8.97029703,5.75,1.5651,7.675,1.4926
2004-02-26,15.55357143,1.828571429,11.79342723,0.325581395,0.728971963,8.630363036,12,1.0868,2.325,1.5518
2004-02-27,0,0,0,0,0,0,0.01,1.4872,2.165,1.5159
2004-02-28,0,0,0,0,0,0,0,1.746,2.98,1.4165
2004-02-29,0,0,0,0,0,0,0,2.1324,7.57,1.3214
2004-03-01,11.375,15.94285714,13.46478873,17.2248062,18.90186916,20.5049505,17.96,1.8902,12.47,1.4884
2004-03-02,20.67857143,14.50714286,19.72300469,14.50387597,16.86448598,19.69636964,23.9,1.631,13.45,3.0655
2004-03-03,0,0,0,0,0,0,0.25,2.3078,13.945,3.5095
2004-03-04,0,0,0,0,0,0,0,2.7386,16.685,2.6638
2004-03-05,10.60714286,20.33571429,14.00938967,22.72093023,24.80373832,23.16171617,11.98,2.2074,17.465,2.4524
2004-03-06,26.71428571,23.20714286,29.68544601,26.10852713,31.94859813,37.32673267,33.26,1.7627,14.595,7.1882
2004-03-07,0,0,0,0,0,3.280528053,0,2.4272,9.45,6.7019
2004-03-08,0,0,0,0,0,0,0,2.5072,9.46,3.7844
2004-03-09,0,0,0,0,0,0,0,2.0119,7.79,2.8964
2004-03-10,0,0,0,0,0,0,0,2.1559,4.61,2.389
2004-03-11,0,0,0,0,0,0,0,2.2444,5.275,2.0782
2004-03-12,0,0,0,0,0,0,0,2.4303,6.675,1.8795
2004-03-13,0,0.264285714,0,0.224806202,0,0,0,2.3749,6.85,1.6786
2004-03-14,1,1.85,0.417840376,2.03875969,1.336448598,0.547854785,1.38,2.4557,8.065,1.518
2004-03-15,3.5,5.192857143,4.197183099,5.96124031,6.602803738,6.683168317,3.49,1.6242,10.015,1.4101
2004-03-16,3,2.385714286,3.901408451,2.984496124,5.817757009,7.339933993,7.91,1.7763,9.925,1.3573
2004-03-17,0,0.135714286,0,0,0.051401869,0,0,2.6326,8.27,1.3298
2004-03-18,5.089285714,1.357142857,5.544600939,1.279069767,1.074766355,1.339933993,4.44,2.2606,9.3,1.277
2004-03-19,0,0,0,0,0,0,0,3.364,15.285,1.2347
2004-03-20,0,1.421428571,0,1.356589147,0.476635514,0,0,3.33,14.895,1.1522
2004-03-21,10.80357143,3.271428571,9.582159624,3.488372093,4.41588785,5.409240924,7.09,2.9404,16.115,1.1247
2004-03-22,0,0,0,0,0,0,0,2.3565,4.315,1.0782
2004-03-23,0,0,0,0,0,0,0,2.3784,4.42,1.0359
2004-03-24,0,0,0,0,0,0,0,3.0293,9.24,1.0063
2004-03-25,0,0,0,0,0,0,0,3.3785,16.445,0.9683
2004-03-26,0,0,0,0,0,0,0,3.694,17.19,0.9366
2004-03-27,0,0,0,0,0,0,0,3.7634,17.62,0.9218
2004-03-28,0,0,0,0,0,0,0,3.8891,18.84,0.9112
2004-03-29,13.75,16.91428571,14.87323944,17.09302326,18.03738318,17.64026403,10.69,3.172,18.835,1.0275
2004-03-30,13.67857143,11.83571429,16.81690141,14.05426357,16.70093458,18.10891089,17.96,2.2874,9.2,1.2918
2004-03-31,1.428571429,0.128571429,0.704225352,0,0,0.145214521,0.08,3.0585,10.03,1.296
2004-04-01,0,0,0,0,0,0,0,2.6336,6.8,1.1543
2004-04-02,0,0,0,0,0,0,0,3.1482,8.025,1.0951
2004-04-03,0,0,0,0,0,0,0,3.3387,9.82,1.0613
2004-04-04,0,0,0,0,0,0,0,3.2756,9.81,1.0338
2004-04-05,0,0,0,0,0,0,0,3.1991,7.775,0.9915
2004-04-06,0,0,0,0,0,0,0,3.2498,8.99,0.9598
2004-04-07,0,0.528571429,0,0.449612403,0,0,0,3.9794,13.895,0.9408
2004-04-08,2,0.242857143,1.126760563,0,0,0.112211221,0.25,4.0305,15.375,0.9366
2004-04-09,0,0,0,0,0,0,0,4.1379,14.62,0.9154
2004-04-10,0,0.064285714,0,0.503875969,0.369158879,0.132013201,0.13,3.5971,14.245,0.8837
2004-04-11,0,15.99285714,0.521126761,17.58914729,14.93457944,11.99009901,10.62,2.8072,13.745,0.8689
2004-04-12,17.26785714,17.22142857,17.3286385,17.31782946,17.3317757,17.44224422,17.35,1.6217,8.665,1.0465
2004-04-13,17.03571429,12.92142857,16.94366197,13.49612403,14.46261682,15.72607261,15.06,1.4804,4.06,1.6956
2004-04-14,7.035714286,2.714285714,6.610328638,3.620155039,5.542056075,5.818481848,5.45,1.4707,3.355,1.8731
2004-04-15,0,0,0,0,0,0,0,3.6179,8.9,1.7822
2004-04-16,0,0,0,0,0,0,0,4.3388,14.29,1.592
2004-04-17,0,0,0,0,0,0,0,4.6073,17.575,1.4355
2004-04-18,0,0,0,0,0,0,0,4.7739,18.49,1.3087
2004-04-19,0,0,0,0,0,0,0,4.6193,19.455,1.2241
2004-04-20,0,0,0,0,0,0,0,4.2239,20.13,1.1501
2004-04-21,7.410714286,4.271428571,4.812206573,4.240310078,3.219626168,1.98349835,3.11,3.4751,19.945,1.1099
2004-04-22,44.94642857,28.60714286,38.28638498,27.82945736,26.60747664,23.76237624,30.07,2.7908,18.93,1.3763
2004-04-23,5.857142857,5.971428571,6.58685446,6.542635659,7,7.627062706,6.14,2.7694,19.675,1.5264
