"Date","P1","E1","P2","E2","P3","E3","Q"
2005-01-01,1.25,1.2985,0,1.325,0,1.5554,3.0279254033
2005-01-02,8.23,0.995,0,1.4176,0,1.5933,3.4285239464
2005-01-03,0,1.2932,0,1.4599,0,1.6536,3.6944539678
2005-01-04,0,1.4628,0,1.4087,0,1.6307,3.6321331185
2005-01-05,2.94,1.1834,0,1.356,0,1.6612,3.6621207848
2005-01-06,0.14,1.3756,0.79,1.3761,1.97,1.6926,3.8640565745
2005-01-07,9.77,0.7718,7.1,1.1249,0,1.6479,4.8468930357
2005-01-08,30.93,0.9157,19.2,1.2354,27.74,1.4598,12.5762955886
2005-01-09,0,1.1734,0,1.1877,0,1.6336,13.7213241304
2005-01-10,0,1.3317,0,1.3309,0,1.5516,10.2734417664
2005-01-11,2.46,1.2798,0,1.5022,0,1.7179,8.05549991
2005-01-12,6.94,1.387,0,1.4074,0,1.7231,6.5900378796
2005-01-13,29.01,1.4303,11.7,1.3005,0,1.6077,7.5491034317
2005-01-14,0,1.192,25.03,1.1483,39.66,1.4329,19.4533029148
2005-01-15,0,1.1441,0,1.1324,0,1.3628,17.6760841555
2005-01-16,0,1.1173,0,1.1905,0,1.4,11.3743706556
2005-01-17,0,1.076,0,1.0822,0,1.3098,8.7863589344
2005-01-18,0,1.0136,0,1.0009,0,1.1689,6.7902146935
2005-01-19,0,1.1439,0,1.0937,0,1.2748,5.4546250248
2005-01-20,0,1.4304,0,1.2613,0,1.421,4.6400130835
2005-01-21,0,1.6754,0,1.5285,0,1.6525,4.1713606027
2005-01-22,0,1.7227,0,1.6287,0,1.9242,3.9118025942
2005-01-23,0,1.3546,0,1.2994,0,1.5305,3.7713817321
2005-01-24,0,1.0771,0,1.0347,0,1.1721,3.6961956337
2005-01-25,0,1.3655,0,1.2766,0,1.4216,3.6557393111
2005-01-26,0,1.7684,0,1.5753,0,1.7308,3.6333667035
2005-01-27,0,1.7368,0,1.6149,0,1.9497,3.6202210801
2005-01-28,4.12,0.9955,0,1.2551,0,1.5749,3.7429890229
2005-01-29,13.92,0.8191,9.4,0.9971,6.56,1.1159,5.55911304
2005-01-30,0,0.9129,0,1.1107,7.48,0.9932,7.3256409388
2005-01-31,11.79,0.9815,0,1.2008,0,1.5729,6.6235873815
2005-02-01,19.83,0.7665,38.11,0.7909,15.38,1.28,12.1186355913
2005-02-02,22.83,0.7689,34.89,0.9488,17.84,1.1679,21.8204615671
2005-02-03,0,0.8664,3.09,0.9169,12.51,1.1708,24.6628216066
2005-02-04,0,1.0639,0,1.2518,0,1.6646,18.1654149574
2005-02-05,0,1.6048,0,1.6468,0,1.9421,12.4042187176
2005-02-06,0,1.8181,0,1.7365,0,2.0836,8.9417547028
2005-02-07,0,1.7606,0,1.8422,0,2.2076,6.6647061062
2005-02-08,18.18,1.255,3.95,1.413,0,2.3873,6.1472619083
2005-02-09,36.04,1.2499,14.3,1.4707,12.18,1.9117,10.2275212595
2005-02-10,0,1.8265,6.61,1.5874,7.96,1.9912,12.5775633238
2005-02-11,0,1.8593,0,1.6585,0,1.8827,10.0162000638
2005-02-12,0,2.0721,0,1.8489,0,2.1319,7.5308052277
2005-02-13,7.6,1.6804,0,2.0183,0,2.3245,6.2409690377
2005-02-14,29.46,1.7374,9.66,1.7102,14.83,2.0919,9.552126618
2005-02-15,0,2.5478,0,2.2625,0,2.6142,9.0312260373
2005-02-16,0,2.5947,0,2.3265,0,2.6168,6.6645467005
2005-02-17,0,2.2488,0,2.2165,0,2.6645,5.3914926389
2005-02-18,0,1.9065,0,1.9427,0,2.3222,4.5782312877
2005-02-19,0,2.1254,0,2.0115,0,2.319,4.1038145059
2005-02-20,0,2.4505,0,2.3752,0,2.5767,3.8390998705
2005-02-21,0,2.5182,0,2.3217,0,2.8374,3.6943481041
2005-02-22,0,2.6753,0,2.5896,0,3.0055,3.6151250155
2005-02-23,0,2.91,0,2.516,0,2.7476,3.5707276315
2005-02-24,22,1.775,5.94,1.7053,4.01,1.8376,4.8164667429
2005-02-25,16.32,1.5992,7.51,1.7122,4.99,2.0637,6.7829771022
2005-02-26,0,2.3614,0,2.3156,0,2.7316,6.8482199347
2005-02-27,0.01,2.3677,5,1.7565,7.16,2.05,6.8351186836
2005-02-28,0,2.3627,3,1.5763,0.46,1.901,5.9882548192
2005-03-01,0,2.6233,0,2.3845,0,2.6253,5.256528565
2005-03-02,3.9,1.9523,0,2.2593,0,2.5969,4.8011981577
2005-03-03,4,1.4244,14.54,1.717,8,2.0774,6.1082023469
2005-03-04,0,2.6644,2.94,1.763,8.19,1.6913,7.5710939596
2005-03-05,0,2.9649,0,2.7548,0,3.0684,6.4073950522
2005-03-06,0,2.9572,0,2.8332,0,3.3105,5.2503431559
2005-03-07,13.43,2.354,0,2.8182,0,3.2769,5.0014401267
2005-03-08,16.19,2.4129,5,2.3013,7.09,2.8309,6.2860762082
2005-03-09,0,2.7197,0,2.434,0,2.8817,5.8998539448
2005-03-10,0,2.9253,0,2.5147,0,2.6904,4.9542356461
2005-03-11,0,3.1102,0,2.7513,0,3.0859,4.288450101
2005-03-12,0,3.3125,0,3.0734,0,3.4855,3.8921474244
2005-03-13,0,3.7583,0,3.3817,0,3.8142,3.6756707433
2005-03-14,7.97,2.9568,0,3.1998,0,3.7258,3.8140679187
