"Date","P","E","Q"
1980-10-01,5.5,1.8102,1.0406
1980-10-02,0,2.6321,0.7568
1980-10-03,0,2.9639,0.6811
1980-10-04,0,2.5272,0.6433
1980-10-05,0,2.3182,0.6243
1980-10-06,0,2.4209,0.6149
1980-10-07,0,2.5328,0.6054
1980-10-08,0,2.6962,0.5865
1980-10-09,0,2.8095,0.577
1980-10-10,0,2.9305,0.5676
1980-10-11,0,2.7896,0.5581
1980-10-12,0,2.4343,0.5392
1980-10-13,0,2.1921,0.5581
1980-10-14,0,2.2273,0.5581
1980-10-15,0,2.3147,0.5581
1980-10-16,0,2.3987,0.5676
1980-10-17,0,2.3835,0.5581
1980-10-18,0,1.799,1.3244
1980-10-19,47.71,1.4575,2.1757
1980-10-20,0,2.0811,0.823
1980-10-21,0,1.9876,0.7284
1980-10-22,0,2.071,0.6906
1980-10-23,0,1.9532,0.6716
1980-10-24,0,1.557,0.6716
1980-10-25,11.99,1.1629,0.9365
1980-10-26,0,1.5115,0.7379
1980-10-27,0,1.6458,0.7189
1980-10-28,28.55,1.2773,1.419
1980-10-29,0,1.4229,0.8987
1980-10-30,6.97,0.8294,0.9176
1980-10-31,0,1.4095,0.823
1980-11-01,0,1.5807,0.7757
1980-11-02,0,1.6417,0.7379
1980-11-03,0,1.6331,0.7189
1980-11-04,4.34,1.3971,0.7284
1980-11-05,0,1.4744,0.7189
1980-11-06,0,1.3209,0.7095
1980-11-07,0,1.4337,0.7
1980-11-08,0,1.5282,0.6906
1980-11-09,0,1.6031,0.6906
1980-11-10,0,1.5637,0.6906
1980-11-11,0,1.3885,0.6906
1980-11-12,0,1.2165,0.6906
1980-11-13,0,1.216,0.6906
1980-11-14,0,1.232,0.6906
1980-11-15,15.45,1.1216,2.2703
1980-11-16,20.55,1.0185,1.1352
1980-11-17,0,1.1598,0.9081
1980-11-18,7.91,0.7471,0.9081
1980-11-19,0,0.8983,0.8135
1980-11-20,0,0.8817,0.7757
1980-11-21,0,0.9258,0.7379
1980-11-22,0,0.9013,0.7189
1980-11-23,9.97,0.7971,0.7946
1980-11-24,18,0.8444,1.0406
1980-11-25,0,0.9515,0.8703
1980-11-26,0,0.8363,0.8041
1980-11-27,7,0.713,0.823
1980-11-28,1.72,0.7465,0.7852
1980-11-29,0,0.747,0.7379
1980-11-30,0,0.8188,0.7189
1980-12-01,0,0.8818,0.7189
1980-12-02,0,0.9194,0.7
1980-12-03,0,0.8293,0.6906
1980-12-04,0,0.7883,0.6906
1980-12-05,0,0.7883,0.6906
1980-12-06,0,0.8376,0.6811
1980-12-07,0,0.9087,0.6811
1980-12-08,0,0.9483,0.6622
1980-12-09,0,1.0184,0.7568
1980-12-10,18.22,0.9079,0.946
1980-12-11,0,0.7107,0.7473
1980-12-12,0,0.7351,0.7095
1980-12-13,0,0.7928,0.6906
1980-12-14,0,0.775,0.6906
1980-12-15,0,0.7213,0.6906
1980-12-16,4,0.7054,0.7095
1980-12-17,0,0.7215,0.6811
1980-12-18,0,0.7111,0.6622
1980-12-19,0,0.7667,0.6527
1980-12-20,0,0.6449,0.6527
1980-12-21,0,0.5914,0.6527
1980-12-22,0,0.5764,0.6527
1980-12-23,0,0.6417,0.6527
1980-12-24,6.76,0.7453,0.7757
1980-12-25,8.36,0.6008,0.7095
1980-12-26,0,0.515,0.6716
1980-12-27,0,0.6056,0.6527
1980-12-28,0,0.7244,0.6527
1980-12-29,0,0.8727,0.6338
1980-12-30,0,0.874,0.6054
1980-12-31,0,0.8841,0.6054
1981-01-01,0,0.7741,0.596
1981-01-02,0,0.7111,0.596
1981-01-03,0,0.7229,0.596
1981-01-04,0,0.7692,0.596
1981-01-05,0,0.5623,0.5865
1981-01-06,0,0.6318,0.5865
1981-01-07,12.55,0.6427,0.6243
1981-01-08,0,0.6568,0.596
1981-01-09,0,0.7314,0.577
1981-01-10,0,0.7255,0.577
1981-01-11,0,0.5884,0.5676
1981-01-12,0,0.5522,0.5676
1981-01-13,0,0.6157,0.5676
1981-01-14,0,0.7746,0.5581
1981-01-15,0,0.875,0.5581
1981-01-16,0,0.8152,0.5581
1981-01-17,0,0.7191,0.5487
1981-01-18,0,0.7312,0.5487
1981-01-19,0,0.8886,0.5487
1981-01-20,0,1.0296,0.596
1981-01-21,12.16,0.7188,0.6338
1981-01-22,0,0.6475,0.5676
1981-01-23,0,0.7932,0.5581
1981-01-24,0,1.0009,0.5487
1981-01-25,0,1.0971,0.5392
1981-01-26,0,1.1793,0.5203
1981-01-27,0,1.1771,0.5487
1981-01-28,4.13,1.0211,0.5297
1981-01-29,0,1.1405,0.5203
1981-01-30,0,1.2192,0.5297
1981-01-31,0.27,0.9159,0.5487
1981-02-01,0.02,0.8784,2.1757
1981-02-02,34.47,0.9295,0.946
1981-02-03,0,0.7937,0.8041
1981-02-04,0,0.8935,0.6811
1981-02-05,0,0.9723,0.6149
1981-02-06,0,1.1236,0.5676
1981-02-07,0,1.2501,0.5487
1981-02-08,2,1.157,0.5297
1981-02-09,0,1.2188,0.5203
1981-02-10,0,1.2408,7.0948
1981-02-11,65.88,1.1074,2.8379
1981-02-12,0,1.1037,1.6082
1981-02-13,0,1.1474,1.2298
