"Date","P","E","Q"
1980-10-01,0,2.6363,0.3993
1980-10-02,0,2.7553,0.3394
1980-10-03,0,2.4306,0.3061
1980-10-04,0,2.2513,0.2928
1980-10-05,0,2.4364,0.2729
1980-10-06,0,2.4484,0.2529
1980-10-07,0,2.5911,0.2596
1980-10-08,0,2.7387,0.2329
1980-10-09,0,2.8482,0.1863
1980-10-10,0,2.7626,0.1863
1980-10-11,0,2.2945,0.1597
1980-10-12,0,2.0697,0.1464
1980-10-13,0,2.1758,0.1464
1980-10-14,0,2.2836,0.1264
1980-10-15,0,2.1684,0.1131
1980-10-16,0.06,1.7776,0.1198
1980-10-17,28.42,1.5192,0.2196
1980-10-18,0,2.0274,0.2196
1980-10-19,0,1.8337,0.193
1980-10-20,0,1.8494,0.1664
1980-10-21,0,1.941,0.1597
1980-10-22,0,1.9281,0.1531
1980-10-23,0,1.8988,0.1398
1980-10-24,7,1.4346,0.1797
1980-10-25,0,1.2936,0.213
1980-10-26,0,1.3876,0.2063
1980-10-27,21.77,1.2792,0.6655
1980-10-28,1,1.4679,0.6322
1980-10-29,0,0.975,0.5058
1980-10-30,0,1.1479,0.4659
1980-10-31,0,1.3416,0.5324
1980-11-01,0,1.5196,0.5723
1980-11-02,0,1.4914,0.5391
1980-11-03,0,1.4598,0.4525
1980-11-04,0,1.3181,0.3594
1980-11-05,0,1.2812,0.4592
1980-11-06,0,1.3618,0.4991
1980-11-07,0,1.4936,0.4193
1980-11-08,0,1.4228,0.3328
1980-11-09,0,1.3926,0.3328
1980-11-10,0,1.3198,0.3461
1980-11-11,0,1.2802,0.2862
1980-11-12,0,1.164,0.2795
1980-11-13,0,1.2229,0.2729
1980-11-14,0,1.0987,0.2795
1980-11-15,7.32,0.6712,0.2995
1980-11-16,0,0.6303,0.3061
1980-11-17,13.71,0.5542,0.3793
1980-11-18,10,0.5501,0.4193
1980-11-19,0,0.6616,0.3394
1980-11-20,0,0.7304,0.2862
1980-11-21,0,0.7406,0.2729
1980-11-22,0,0.7444,0.2396
1980-11-23,7.41,0.6434,0.2462
1980-11-24,0,0.6598,0.2396
1980-11-25,0,0.6294,0.2063
1980-11-26,0,0.5926,0.2063
1980-11-27,2,0.5307,0.213
1980-11-28,2,0.612,0.2196
1980-11-29,0,0.7228,0.213
1980-11-30,0,0.837,0.2196
1980-12-01,0,0.9641,0.1997
1980-12-02,0,0.6173,0.1863
1980-12-03,0,0.5552,0.173
1980-12-04,0,0.6854,0.1664
1980-12-05,0,0.8918,0.1664
1980-12-06,0,0.833,0.1597
1980-12-07,0,0.8379,0.1597
1980-12-08,42.05,0.79,0.2462
1980-12-09,7.61,0.5666,0.5524
1980-12-10,0,0.5524,0.4525
1980-12-11,0,0.6109,0.3527
1980-12-12,0,0.697,0.3128
1980-12-13,0,0.672,0.2995
1980-12-14,0,0.5809,0.2862
1980-12-15,0,0.6989,0.2795
1980-12-16,0,0.6976,0.2596
1980-12-17,0,0.5776,0.2462
1980-12-18,0,0.7022,0.2396
1980-12-19,0,0.5226,0.2329
1980-12-20,0,0.3967,0.2263
1980-12-21,0,0.4085,0.213
1980-12-22,0,0.452,0.2263
1980-12-23,0,0.5246,0.2263
1980-12-24,1.95,0.5071,0.2329
1980-12-25,0,0.3796,0.2196
1980-12-26,0,0.4534,0.2196
1980-12-27,0,0.5366,0.2063
1980-12-28,0,0.6137,0.2063
1980-12-29,0,0.6373,0.213
1980-12-30,0,0.5573,0.213
1980-12-31,0,0.6074,0.2063
1981-01-01,0,0.6307,0.1997
1981-01-02,0,0.5259,0.1997
1981-01-03,0,0.6259,0.193
1981-01-04,0,0.5028,0.193
1981-01-05,0,0.5318,0.1863
1981-01-06,0,0.6205,0.193
1981-01-07,0,0.5825,0.193
1981-01-08,0,0.6335,0.1863
1981-01-09,0,0.6284,0.193
1981-01-10,0,0.576,0.1797
1981-01-11,0,0.5654,0.173
1981-01-12,0,0.5033,0.1797
1981-01-13,0,0.639,0.1863
1981-01-14,0,0.685,0.1997
1981-01-15,0,0.6549,0.193
1981-01-16,0,0.6019,0.1863
1981-01-17,0,0.5499,0.173
1981-01-18,0,0.6064,0.1797
1981-01-19,0,0.7073,0.193
1981-01-20,6.18,0.6002,0.2263
1981-01-21,6,0.5587,0.2462
1981-01-22,0,0.7601,0.2396
1981-01-23,0,0.8827,0.2196
1981-01-24,0,1.0044,0.213
