"Date","P","E","T","Q"
1989-10-01,0,2.4428,18.975,0.0278
1989-10-02,0,2.1317,17.895,0.0257
1989-10-03,0,2.218,11.83,0.0184
1989-10-04,0,2.1302,10.23,0.0145
1989-10-05,0,2.3364,14.09,0.0118
1989-10-06,8.94,1.9138,16.01,0.0122
1989-10-07,4,1.6772,8.75,0.013
1989-10-08,0,1.8485,10.5,0.0115
1989-10-09,0,1.9973,11.72,0.0098
1989-10-10,0,1.9667,14,0.0094
1989-10-11,0,2.1127,14.765,0.0081
1989-10-12,0,2.3374,19.965,0.0071
1989-10-13,0,2.4291,22.075,0.0075
1989-10-14,0,2.3443,21.75,0.0062
1989-10-15,0,2.1782,21,0.0086
1989-10-16,12.68,1.8249,21.27,0.0115
1989-10-17,25.93,1.4408,13.54,0.0449
1989-10-18,0,0.9186,5.245,0.0449
1989-10-19,6.39,0.7383,2.22,0.0257
1989-10-20,4.21,0.9223,3.695,0.0214
1989-10-21,0,1.4517,9.755,0.0182
1989-10-22,0,1.5119,11.75,0.0128
1989-10-23,0,1.6551,16.15,0.01
1989-10-24,0,1.6922,18.5,0.0092
1989-10-25,0,1.6774,17.75,0.0094
1989-10-26,0,1.5947,16.25,0.0083
1989-10-27,0,1.5533,16.14,0.0075
1989-10-28,0,1.4611,15,0.0068
1989-10-29,0,1.5071,16.635,0.0103
1989-10-30,0,1.4858,16.955,0.0139
1989-10-31,5,1.1008,11.515,0.018
1989-11-01,0,0.9945,6.025,0.0192
1989-11-02,0,0.8853,5.065,0.0199
1989-11-03,0,0.8145,1.25,0.0201
1989-11-04,0,0.9315,6.125,0.0212
1989-11-05,0,1.1207,12.685,0.0235
1989-11-06,0,1.0703,11.34,0.0257
1989-11-07,6.24,0.8321,9.84,0.6414
1989-11-08,7.61,0.7813,8.5,0.1561
1989-11-09,0,0.8562,6.795,0.0599
1989-11-10,0,0.8254,6.62,0.0342
1989-11-11,0,0.8955,12.65,0.0235
1989-11-12,0,0.9345,11.785,0.0175
1989-11-13,0,1.0693,15.395,0.0167
1989-11-14,0.34,1.0199,17.25,0.0199
1989-11-15,13,0.8389,11.35,0.5559
1989-11-16,4.74,0.5938,0.99,0.6628
1989-11-17,0,0.5514,-1.405,0.1368
1989-11-18,0,0.5402,-1.345,0.0684
1989-11-19,0,0.6513,6.32,0.0449
1989-11-20,0,0.8325,12.355,0.0385
1989-11-21,0,0.6251,6.06,0.0321
1989-11-22,0,0.5578,1.955,0.0278
1989-11-23,0,0.5117,-0.13,0.0235
1989-11-24,0,0.5147,0.99,0.0214
1989-11-25,0,0.6245,6.08,0.0214
1989-11-26,0,0.6445,7.63,0.0214
1989-11-27,0,0.7063,12.225,0.0214
1989-11-28,0,0.5124,8.685,0.0197
1989-11-29,0,0.3955,-4.71,0.0195
1989-11-30,0,0.4501,0.46,0.0143
1989-12-01,0,0.4631,4.115,0.0143
1989-12-02,0,0.4714,2.525,0.0139
1989-12-03,0,0.3721,-5,0.0109
1989-12-04,0,0.3756,1.635,0.0124
1989-12-05,0,0.4926,6.99,0.015
1989-12-06,1,0.5319,6.645,0.0186
1989-12-07,0,0.3842,-2.755,0.018
1989-12-08,0,0.395,-2.995,0.015
1989-12-09,0,0.3467,-4.22,0.0133
1989-12-10,0,0.3932,-0.675,0.013
1989-12-11,0,0.4085,-1.74,0.013
1989-12-12,0,0.294,-9.095,0.0113
1989-12-13,0,0.2931,-8.5,0.0109
1989-12-14,1.75,0.267,-9.205,0.0086
1989-12-15,7.53,0.2335,-14.995,0.0064
1989-12-16,0,0.2021,-18.75,0.0064
1989-12-17,0,0.2242,-16.23,0.0043
1989-12-18,0,0.2354,-13.745,0.0043
1989-12-19,2.01,0.2599,-12.095,0.0043
1989-12-20,0,0.2112,-16,0.0021
1989-12-21,0,0.2051,-17.99,0.0021
1989-12-22,0,0.1597,-24.175,0.0021
1989-12-23,0,0.1826,-22.25,0.0021
1989-12-24,0,0.208,-17.505,0
1989-12-25,0,0.3085,-6.78,0
1989-12-26,0,0.3066,-5.17,0
1989-12-27,3,0.3663,-3.185,0
1989-12-28,0,0.4705,2.17,0
1989-12-29,4.63,0.5063,3.28,0
1989-12-30,7.15,0.5166,3.75,0
1989-12-31,4.8,0.4812,1.79,0.0043
1990-01-01,0,0.4397,-0.73,0.0107
1990-01-02,0,0.4264,0.155,0.0321
1990-01-03,0,0.501,4.75,0.0535
1990-01-04,3.91,0.5255,5.485,0.0855
1990-01-05,0,0.3916,-0.75,0.1497
1990-01-06,0,0.4199,0.51,0.1005
1990-01-07,0,0.4483,1.95,0.0641
1990-01-08,0,0.4469,3.045,0.0556
1990-01-09,0.24,0.5709,6.115,0.0556
1990-01-10,0,0.5193,4.015,0.0556
1990-01-11,0,0.5958,5.2,0.0492
1990-01-12,0,0.5309,1.68,0.0406
1990-01-13,0,0.4394,-3.47,0.0299
1990-01-14,0,0.5224,1.635,0.0299
1990-01-15,0,0.6954,8.61,0.0321
1990-01-16,0,0.8657,13.25,0.0363
1990-01-17,8.88,0.8606,14.525,0.0748
1990-01-18,0.57,0.6922,8,0.0962
1990-01-19,0,0.5358,0.155,0.0791
1990-01-20,15.52,0.5926,3,0.8552
1990-01-21,3.43,0.6222,3.74,0.3635
1990-01-22,0,0.705,4.755,0.1817
1990-01-23,0,0.7633,7.005,0.1347
1990-01-24,0.9,0.8103,7.75,0.1176
1990-01-25,3.53,0.7375,6.205,0.1005
1990-01-26,0.49,0.6841,0.82,0.0834
1990-01-27,0,0.8563,6.72,0.0748
1990-01-28,0,0.7807,3.55,0.062
1990-01-29,0,0.7576,2.285,0.0535
1990-01-30,0,0.839,4.14,0.0577
1990-01-31,0,0.8324,3.805,0.0492
1990-02-01,8.75,0.8397,6.905,0.8125
1990-02-02,21.68,0.8437,6.905,4.5969
1990-02-03,2,0.72,4.645,1.0263
1990-02-04,16.34,0.7321,2.5,4.5113
1990-02-05,0,0.8522,1.225,2.1808
1990-02-06,0,0.9522,3,0.9408
1990-02-07,2.99,0.8824,4.555,1.0263
1990-02-08,0,1.1898,8.03,0.6842
1990-02-09,2.46,1.2079,10.25,0.5345
1990-02-10,0,1.049,3.5,0.4276
1990-02-11,0,1.0708,5.26,0.3421
1990-02-12,0,1.2123,6.84,0.2993
1990-02-13,0,1.3755,11.505,0.278
1990-02-14,3.36,1.1012,7.08,0.278
1990-02-15,35.07,0.7986,3.37,13.7265
1990-02-16,8.18,0.7779,2.965,3.6775
1990-02-17,0,0.9333,-1.5,0.8766
1990-02-18,0,1.0968,0.725,0.4918
1990-02-19,0,1.1305,2.205,0.3849
1990-02-20,0,1.1092,-0.585,0.2993
1990-02-21,0,1.3339,3.565,0.278
1990-02-22,14.94,1.3862,10.115,2.4374
1990-02-23,5.16,1.2301,5.79,1.3684
1990-02-24,2.87,1.009,0.785,0.5345
1990-02-25,0,0.8593,-7,0.3207
1990-02-26,0,0.9725,-3.745,0.278
1990-02-27,2.57,1.2768,3.64,0.3207
1990-02-28,0,1.3352,2.955,0.2993
1990-03-01,0,1.3662,0.275,0.2566
1990-03-02,0,1.6209,3.695,0.2352
1990-03-03,0,1.6435,4.27,0.2352
1990-03-04,0,1.5347,1.265,0.1967
1990-03-05,0,1.8963,7.22,0.1903
1990-03-06,0,1.9142,9.015,0.1839
1990-03-07,0,1.4105,4.84,0.171
1990-03-08,3,1.3335,7.78,0.1924
1990-03-09,2,2.231,13.605,0.2095
1990-03-10,1.42,2.6995,18.905,0.1924
1990-03-11,0,2.6325,21.095,0.186
1990-03-12,2.41,2.3907,20.66,0.1903
1990-03-13,0,2.7871,20.75,0.1817
1990-03-14,1,2.5779,19.535,0.1796
1990-03-15,4.5,1.915,16.465,0.1796
1990-03-16,0,2.5261,10.7,0.1582
1990-03-17,0,2.4037,9.5,0.1454
1990-03-18,0,2.2171,5.3,0.1326
1990-03-19,1,1.9631,1.855,0.1304
1990-03-20,0,1.7905,-1,0.1197
1990-03-21,0,2.3816,5.99,0.124
1990-03-22,0,2.6101,11.53,0.1304
1990-03-23,5.54,1.9501,5.41,0.1304
1990-03-24,19.99,1.232,-1,0.1689
1990-03-25,0,1.8105,-1.145,0.2352
1990-03-26,0,2.0518,2,0.449
1990-03-27,0,2.3316,3.5,0.6628
1990-03-28,0,2.3223,6.5,0.4276
1990-03-29,15.98,1.767,9.035,4.939
1990-03-30,8.07,1.4405,10.46,5.837
1990-03-31,7,1.6269,9.615,3.6347
1990-04-01,8.89,2.2713,12.655,4.8321
1990-04-02,0.58,3.1164,10.07,1.5394
1990-04-03,0,1.7049,4,0.6414
1990-04-04,0,2.9939,7.065,0.4704
1990-04-05,0,3.123,8.71,0.3635
1990-04-06,0,2.6761,4.27,0.2993
1990-04-07,0,2.6348,2.18,0.2352
1990-04-08,0,3.0996,6.75,0.2138
1990-04-09,0,3.2965,10.5,0.2138
1990-04-10,21.41,2.3644,11.115,6.8846
1990-04-11,12.17,1.9783,4.96,2.5229
1990-04-12,0,2.6849,3.25,0.6414
