"Date","P","E","T","Q" 
2004-09-02,0.1,2.114,12.648,0.374
2004-09-03,0.2,2.284,14.427,0.347
2004-09-04,0.1,2.757,17.274,0.339
2004-09-05,0.2,2.853,17.856,0.322
2004-09-06,0.2,2.882,18.049,0.315
2004-09-07,0.3,2.759,16.941,0.314
2004-09-08,0.2,2.681,16.848,0.32
2004-09-09,0.2,2.677,16.207,0.32
2004-09-10,0.2,2.387,14.465,0.331
2004-09-11,0.1,2.376,15.477,0.348
2004-09-12,3.3,2.717,17.799,0.389
2004-09-13,1.3,2.149,13.903,0.395
2004-09-14,0,2.108,14.176,0.404
2004-09-15,1.2,1.976,12.939,0.401
2004-09-16,1.4,1.704,10.947,0.375
2004-09-17,0.2,1.448,8.206,0.374
2004-09-18,0.2,1.588,9.946,0.373
2004-09-19,0.1,1.871,12.578,0.393
2004-09-20,1,1.979,13.175,0.4
2004-09-21,0.1,1.635,11.249,0.403
2004-09-22,0,1.841,12.779,0.4
2004-09-23,1.7,1.641,11.415,0.422
2004-09-24,9.6,1.87,13.138,0.498
2004-09-25,0.3,1.482,9.584,0.476
2004-09-26,1.6,1.552,10.297,0.47
2004-09-27,0.3,1.701,11.756,0.477
2004-09-28,1.1,1.708,12.304,0.455
2004-09-29,0.6,1.919,14.056,0.424
2004-09-30,0.1,1.802,12.762,0.418
2004-10-01,0.1,1.593,11.251,0.415
2004-10-02,2.3,1.871,13.524,0.421
2004-10-03,0.1,1.647,11.762,0.392
2004-10-04,0.2,1.448,10.131,0.379
2004-10-05,0.1,1.878,13.686,0.367
2004-10-06,1.1,2.073,15.568,0.364
2004-10-07,4.8,1.5,10.644,0.388
2004-10-08,0.3,1.219,7.851,0.364
2004-10-09,1.8,1.205,7.821,0.375
2004-10-10,0.8,1.369,9.282,0.386
2004-10-11,0.1,1.256,8.072,0.39
2004-10-12,0,1.159,7.568,0.392
2004-10-13,0,1.209,8.099,0.403
2004-10-14,0,1.27,8.94,0.421
2004-10-15,8.8,1.358,9.904,0.471
2004-10-16,6.7,1.145,7.525,0.574
2004-10-17,4.2,1.053,6.361,0.536
2004-10-18,6,1.068,6.747,0.607
2004-10-19,1,1.119,7.396,0.521
2004-10-20,0.2,1.072,6.799,0.481
2004-10-21,13,1.694,13.674,0.705
2004-10-22,4.1,1.454,11.177,0.796
2004-10-23,0.2,1.154,8.668,0.44
2004-10-24,0.3,1.586,13.33,0.418
2004-10-25,2.2,1.458,12.327,0.419
2004-10-26,0.2,1.477,12.133,0.463
2004-10-27,0.1,1.061,7.631,0.474
2004-10-28,1.4,1.06,7.496,0.504
2004-10-29,8.6,1.328,10.925,0.763
2004-10-30,7.2,1.258,9.856,0.789
2004-10-31,1.7,1.107,8.555,0.695
2004-11-01,0,1.089,8.171,0.537
2004-11-02,0.8,1.115,8.441,0.519
2004-11-03,2.4,1.132,8.983,0.523
2004-11-04,1.8,1.165,9.609,0.536
2004-11-05,8.5,1.214,10.23,0.926
2004-11-06,0.2,0.987,6.736,0.569
2004-11-07,2.1,0.916,6.377,0.518
2004-11-08,0.4,0.878,5.249,0.541
2004-11-09,1.2,0.771,3.966,0.536
2004-11-10,0.1,0.682,1.668,0.536
2004-11-11,5.1,0.634,1.342,0.589
2004-11-12,0.2,0.687,2.405,0.59
2004-11-13,0.2,0.714,3.087,0.538
2004-11-14,0.1,0.747,3.319,0.524
2004-11-15,0.1,0.65,1.289,0.51
2004-11-16,0.3,0.526,-0.57,0.491
2004-11-17,0.1,0.78,4.826,0.485
2004-11-18,1.2,0.969,8.065,0.493
2004-11-19,7.5,0.939,7.52,0.538
2004-11-20,7.1,0.659,2.189,0.983
2004-11-21,0.2,0.491,-1.085,0.516
2004-11-22,1.5,0.522,-0.483,0.45
2004-11-23,1,0.923,8.266,0.458
2004-11-24,2.4,0.944,7.68,0.471
2004-11-25,0.2,0.534,-0.178,0.429
2004-11-26,0.2,0.498,-1.545,0.406
2004-11-27,0.1,0.625,2.6,0.403
2004-11-28,2.2,0.84,6.681,0.42
2004-11-29,0.3,0.804,5.901,0.414
2004-11-30,0,0.789,5.535,0.398
2004-12-01,0.1,0.686,2.7,0.394
2004-12-02,5.3,0.652,2.879,0.47
2004-12-03,1.6,0.655,3.086,0.472
2004-12-04,0.2,0.634,2.644,0.454
2004-12-05,0,0.488,-0.906,0.431
2004-12-06,0.1,0.463,-1.322,0.425
2004-12-07,0,0.628,2.443,0.421
2004-12-08,0,0.609,1.921,0.413
2004-12-09,0.1,0.653,3.243,0.418
2004-12-10,0,0.538,0.119,0.441
2004-12-11,0.1,0.423,-2.882,0.45
2004-12-12,0,0.387,-3.685,0.465
2004-12-13,0,0.394,-3.585,0.468
2004-12-14,0,0.386,-3.769,0.489
2004-12-15,0,0.364,-4.374,0.452
2004-12-16,0,0.393,-3.521,0.456
2004-12-17,3.1,0.49,-0.565,0.488
2004-12-18,13.9,0.669,3.801,0.88
2004-12-19,3.2,0.611,2.396,0.654
2004-12-20,7.2,0.55,0.577,0.909
2004-12-21,0,0.389,-4.417,0.537
2004-12-22,0,0.31,-6.682,0.469
2004-12-23,0,0.428,-2.271,0.412
2004-12-24,3.2,0.658,4.124,0.459
2004-12-25,3.6,0.828,7.13,0.567
2004-12-26,6.3,0.694,3.973,0.84
2004-12-27,0,0.553,0.806,0.492
2004-12-28,0.2,0.475,-2.059,0.425
2004-12-29,0,0.464,-1.31,0.455
2004-12-30,4.7,0.544,0.662,0.399
2004-12-31,1.9,0.555,1.217,0.399
2005-01-01,1.3,0.689,4.446,0.557
2005-01-02,2,0.81,6.643,0.543
2005-01-03,1.9,0.693,4.121,0.604
2005-01-04,0.5,0.613,2.784,0.49
2005-01-05,0,0.639,2.938,0.441
2005-01-06,4.3,0.691,4.16,0.433
2005-01-07,0.6,0.789,5.831,0.469
2005-01-08,0.3,0.915,7.951,0.428
2005-01-09,2.8,0.823,6.325,0.446
2005-01-10,0,0.76,5.388,0.453
2005-01-11,1.3,0.943,7.87,0.437
2005-01-12,2.6,0.873,7.069,0.444
2005-01-13,5.1,0.835,6.255,0.472
2005-01-14,0.3,0.612,1.962,0.459
2005-01-15,0.2,0.482,-1.068,0.404
2005-01-16,0,0.451,-2.619,0.399
2005-01-17,0.1,0.395,-4.236,0.387
2005-01-18,2.9,0.519,-0.131,0.375
2005-01-19,18.1,0.706,3.403,1.831
2005-01-20,1.4,0.628,2.045,0.758
2005-01-21,9.3,0.903,7.326,0.806
2005-01-22,5.3,0.77,4.665,1.29
2005-01-23,0.5,0.622,1.217,0.665
2005-01-24,0,0.576,0.302,0.531
2005-01-25,0,0.498,-1.56,0.471
