"Date","P","E","T","Q"
1980-10-01,0,1.7475,8.98,0.3386
1980-10-02,0,1.678,9.255,0.3308
1980-10-03,0,1.674,11.44,0.3229
1980-10-04,0,1.5875,8.595,0.315
1980-10-05,0,1.5343,8.635,0.3071
1980-10-06,0,1.533,11.535,0.2993
1980-10-07,0,1.5883,13.71,0.2953
1980-10-08,0,1.3327,6.58,0.2874
1980-10-09,0,1.1687,2.67,0.2874
1980-10-10,0,1.1274,4.77,0.2796
1980-10-11,0,1.2514,8.52,0.2796
1980-10-12,9.21,0.9526,6.545,0.2953
1980-10-13,6.97,0.8257,1.39,0.4135
1980-10-14,15.94,0.6211,-1.715,0.4489
1980-10-15,6.78,0.6254,0.435,0.3938
1980-10-16,1.04,0.9135,2.385,0.3859
1980-10-17,0,0.8988,2.165,0.3583
1980-10-18,0,0.8195,0.32,0.3504
1980-10-19,0,0.8475,2.95,0.3386
1980-10-20,0,0.8246,3.435,0.3308
1980-10-21,0,0.7263,0.525,0.3386
1980-10-22,0,0.6983,0.875,0.3308
1980-10-23,0,0.6589,0.05,0.3071
1980-10-24,0,0.6959,1.895,0.2993
1980-10-25,0,0.6433,0.29,0.3071
1980-10-26,0,0.6124,-0.52,0.315
1980-10-27,0,0.5365,-3.71,0.3071
1980-10-28,0,0.5225,0.535,0.2953
1980-10-29,0,0.5233,0.32,0.2874
1980-10-30,0,0.5156,-0.07,0.2874
1980-10-31,0,0.5471,5.005,0.2874
1980-11-01,0,0.5668,5.655,0.2796
1980-11-02,4.07,0.5376,2.835,0.2953
1980-11-03,0.58,0.5216,1.075,0.2993
1980-11-04,0,0.3777,6.115,0.2993
1980-11-05,0,0.3976,5.82,0.3071
1980-11-06,9.22,0.4664,3.645,0.3504
1980-11-07,15.47,0.4697,3.88,0.7206
1980-11-08,5.94,0.4277,0.565,1.0159
1980-11-09,4.71,0.3618,-2.55,0.697
1980-11-10,0,0.2228,-1.43,0.6221
1980-11-11,0,0.3574,-4.185,0.5513
1980-11-12,0,0.276,-6.795,0.5276
1980-11-13,0,0.2032,-8.085,0.4331
1980-11-14,0,0.1816,-8,0.3583
1980-11-15,0,0.269,-4.96,0.3544
1980-11-16,0,0.2236,-10.845,0.4135
1980-11-17,0,0.1917,-1.915,0.4489
1980-11-18,0,0.1827,-0.545,0.4213
1980-11-19,0,0.2066,-3.255,0.4213
1980-11-20,0,0.3125,-3.595,0.4016
1980-11-21,10.17,0.2937,-4.475,0.4331
1980-11-22,9.57,0.278,-4.705,0.5001
1980-11-23,5.73,0.2858,-8.405,0.4489
1980-11-24,0,0.0599,-8.85,0.3938
1980-11-25,0,0.1124,-9.795,0.3544
1980-11-26,0,0.0708,-7.35,0.3938
1980-11-27,0,0.2409,-3.225,0.4331
1980-11-28,2.82,0.1129,-2.24,0.4331
1980-11-29,5.61,0.2287,-3.065,0.4213
1980-11-30,5.42,0.2446,-7.94,0.4331
1980-12-01,7.06,0.1435,-13.22,0.4016
1980-12-02,14.58,0.081,-1.35,0.4607
1980-12-03,9.62,0.4191,6.205,0.6458
1980-12-04,7.93,0.1701,-5.035,0.7993
1980-12-05,7.83,0.143,-7.7,0.7718
1980-12-06,5.59,0.2182,-10,0.6812
1980-12-07,0,0.0151,-11.47,0.5985
1980-12-08,0,0.0427,-15.23,0.5119
1980-12-09,0,0.0026,-13.885,0.4331
1980-12-10,0,0.0589,-10.345,0.4528
1980-12-11,0,0.0648,-8.105,0.4725
1980-12-12,0,0.0233,-11.1,0.4725
1980-12-13,0,0,-10.465,0.4331
1980-12-14,0,0,-8.08,0.4725
1980-12-15,0,0,-3.73,0.5119
1980-12-16,0,0,-2.555,0.4725
1980-12-17,0,0,-3.335,0.5119
1980-12-18,0,0,-4.99,0.5119
1980-12-19,0,0,-5.37,0.4725
1980-12-20,7.54,0.0808,-5.285,0.5119
1980-12-21,11.21,0.2743,-1.44,0.6221
1980-12-22,10.11,0.2155,5.16,1.1104
1980-12-23,0.09,0.2195,1.78,1.1262
1980-12-24,16.34,0.3219,-1.47,1.075
1980-12-25,17.96,0.239,5.535,2.6776
1980-12-26,7.3,0.205,6.58,6.8908
1980-12-27,0,0.1401,4.8,5.1977
1980-12-28,0,0.0532,3.77,3.7565
1980-12-29,0,0.1836,-4.46,2.9257
1980-12-30,0,0.0753,1.205,2.654
1980-12-31,0,0.1478,-1.625,2.4846
1981-01-01,0,0.209,-4.57,2.2326
1981-01-02,0,0.2967,-2.855,2.0358
1981-01-03,0,0.2771,-1.715,1.8507
1981-01-04,0,0.3213,-3.915,1.6892
1981-01-05,0,0.3263,-5.655,1.5475
1981-01-06,0,0.19,-3.95,1.4372
1981-01-07,0,0.1456,-8.34,1.3467
1981-01-08,0,0.3246,-4.53,1.2561
1981-01-09,0,0.0587,-3.755,1.2089
1981-01-10,0,0.1272,-8.615,1.0907
1981-01-11,0,0,-4.83,1.0317
1981-01-12,0,0,-5.19,0.8545
1981-01-13,0,0,-5.965,0.8545
1981-01-14,0,0.0235,-8.07,0.8269
1981-01-15,0,0.0997,-9.48,0.7993
1981-01-16,0,0.0579,-6.255,0.7875
1981-01-17,0,0.0561,-4.97,0.8545
1981-01-18,0,0.0635,-3.73,0.8112
1981-01-19,0,0.0963,0.62,0.7993
1981-01-20,0,0.0545,-0.19,0.7875
1981-01-21,0,0.3241,2.04,0.7718
1981-01-22,0,0.2833,1.02,0.76
1981-01-23,11.62,0.4048,-0.705,0.8269
1981-01-24,5.58,0.3773,-4.18,0.8663
1981-01-25,1.14,0.3305,-4.89,0.7718
1981-01-26,6.35,0.2888,-8.945,0.7324
1981-01-27,6.35,0.3336,-5.605,0.7481
1981-01-28,10.74,0.4252,2.405,0.76
1981-01-29,8.51,0.3739,-4.675,0.7875
1981-01-30,5.46,0.363,-6.145,0.7718
1981-01-31,0,0.3229,-6.475,0.7324
1981-02-01,0,0.2685,-8.58,0.6103
1981-02-02,0.01,0.2908,-8.735,0.5985
1981-02-03,0,0.3098,-8.93,0.634
1981-02-04,0,0.3265,-10.115,0.5985
1981-02-05,0,0.3709,-9.35,0.634
1981-02-06,0,0.3893,-7.03,0.7088
1981-02-07,0,0.3741,-6.48,0.5749
1981-02-08,0,0.4164,-7.915,0.5867
1981-02-09,0,0.4296,-9.44,0.5985
1981-02-10,0,0.3837,-14.44,0.4883
1981-02-11,12.23,0.4607,-7.45,0.441
1981-02-12,7.44,0.5534,-3.235,0.7088
1981-02-13,16.39,0.5211,-5.53,0.7481
1981-02-14,11.6,0.666,1.305,1.2089
1981-02-15,11.13,0.571,-3.59,1.5475
1981-02-16,19.02,0.5461,-1.195,2.7997
1981-02-17,14.71,0.6968,-2.065,4.1345
1981-02-18,17.54,0.6811,-3.265,3.2092
1981-02-19,12.84,0.5834,-2.185,5.0008
1981-02-20,3.3,0.5257,-4.35,4.292
1981-02-21,0,0.9105,-1.24,3.1304
1981-02-22,0,0.9639,-0.34,2.5555
1981-02-23,0,1.0426,1.215,2.2563
1981-02-24,2.3,0.9022,-3.025,2.0791
1981-02-25,3.32,0.7534,-4.375,1.8901
1981-02-26,0,1.0049,-3.205,1.6892
1981-02-27,0,1.038,-3.18,1.5475
