"Date","P","E","T","Q"
1980-10-01,0,3.1596,19.705,0
1980-10-02,0,3.5287,22.06,0
1980-10-03,0,3.3706,18.75,0
1980-10-04,0,3.4645,20.26,0
1980-10-05,0,3.5706,22.065,0
1980-10-06,0,3.4114,21.88,0
1980-10-07,0,3.2816,20.515,0
1980-10-08,0,3.317,21.12,0
1980-10-09,0,3.2846,21.51,0
1980-10-10,0,3.185,20.585,0
1980-10-11,0,3.1238,20.385,0
1980-10-12,0,2.9813,18.51,0
1980-10-13,0,2.9375,18.84,0
1980-10-14,0,2.978,21,0
1980-10-15,0,2.5854,23.99,0
1980-10-16,4.45,2.0225,24.08,0
1980-10-17,0,2.2325,24.475,0
1980-10-18,0,2.7668,19.48,0
1980-10-19,11.33,1.7865,16.42,0
1980-10-20,0,2.2633,15.535,0
1980-10-21,0,2.5308,16.995,0
1980-10-22,0,2.5419,17.745,0
1980-10-23,0,2.5202,17.905,0
1980-10-24,0,2.4449,16.69,0
1980-10-25,0,2.0219,10.52,0
1980-10-26,0,2.1301,13.25,0
1980-10-27,0,2.1794,19.74,0
1980-10-28,0,2.2546,16.25,0
1980-10-29,0,1.4031,7.61,0
1980-10-30,0,1.6293,6.5,0
1980-10-31,0,1.8276,10.485,0
1980-11-01,0,1.9749,13.92,0
1980-11-02,0,2.0191,15.905,0
1980-11-03,0,2.0725,17.245,0
1980-11-04,0,2.0759,18.125,0
1980-11-05,0,1.9018,14.96,0
1980-11-06,0,1.9473,16.42,0
1980-11-07,0,2.0362,18.55,0
1980-11-08,0,2.0858,19.815,0
1980-11-09,0,2.1536,21.77,0
1980-11-10,0,2.0646,21.145,0
1980-11-11,0,1.906,19.12,0
1980-11-12,0,1.8436,18.18,0
1980-11-13,0,1.775,16.66,0
1980-11-14,0.6,1.6772,16.085,0
1980-11-15,0,1.1008,9.795,0
1980-11-16,17.14,0.8346,7.27,0
1980-11-17,9.79,0.7064,3.775,0
1980-11-18,0,0.9272,3.495,0
1980-11-19,0,1.1573,5.855,0
1980-11-20,0,1.2086,7.285,0
1980-11-21,0,1.2242,8.56,0
1980-11-22,5.2,0.9097,8.265,0
1980-11-23,6.51,0.8545,9,0
1980-11-24,0,1.235,11.14,0
1980-11-25,0,0.8867,6.715,0
1980-11-26,31.36,0.7756,3.18,0
1980-11-27,0,0.9475,3.125,0
1980-11-28,0,1.0741,5.49,0
1980-11-29,0,1.1803,8.79,0
1980-11-30,0,1.3058,12.17,0
1980-12-01,0,1.4387,16.89,0
1980-12-02,0,1.2794,12.125,0
1980-12-03,0,1.0125,5.615,0
1980-12-04,0,1.1637,10.3,0
1980-12-05,3.97,0.9934,16,0
1980-12-06,0,1.2124,18.92,0
1980-12-07,0,1.1573,19.955,0
1980-12-08,14.78,1.1603,17.535,0.0099
1980-12-09,23.46,1.0024,8.835,0.0426
1980-12-10,0,0.9874,5.82,0.0187
1980-12-11,0,1.0235,5.5,0.0105
1980-12-12,0,1.0973,8.735,0.0099
1980-12-13,0,1.2462,11.995,0.0099
1980-12-14,0,1.2623,13.095,0.0099
1980-12-15,0,1.2654,14,0.0099
1980-12-16,0,1.3501,14.75,0.0094
1980-12-17,0,1.2855,13.975,0.0108
1980-12-18,0,1.3236,14.885,0.0122
1980-12-19,0,1.2736,14.745,0.0114
1980-12-20,0,0.7415,1.485,0.0054
1980-12-21,0,0.6127,-0.15,0.0037
1980-12-22,0,0.7528,2.465,0.0133
1980-12-23,0,1.1357,9.75,0.0145
1980-12-24,0,1.2241,11.985,0.0145
1980-12-25,0,0.8787,1.625,0.0128
1980-12-26,0,0.943,3.75,0.0065
1980-12-27,0,1.0946,9,0.0079
