"Date","P","E","T","Q"
1980-10-01,0,1.9482,16.555,1.5084
1980-10-02,0,2.5223,17.095,0.6157
1980-10-03,0,2.7592,14.86,0.3283
1980-10-04,0,2.5882,11.645,0.2155
1980-10-05,0,2.5903,12.01,0.1642
1980-10-06,0,2.3156,9.695,0.1437
1980-10-07,0,2.5143,11.78,0.1231
1980-10-08,0,2.7004,14.935,0.1129
1980-10-09,0,2.818,17.245,0.1129
1980-10-10,0,2.9544,20.16,0.1006
1980-10-11,0,2.8357,19.78,0.0923
1980-10-12,0,2.4012,13,0.0852
1980-10-13,0,2.1532,9.955,0.0811
1980-10-14,0,2.2146,11.505,0.079
1980-10-15,0,2.3248,13.74,0.078
1980-10-16,0,2.4203,16.3,0.078
1980-10-17,0,2.2437,19.285,0.079
1980-10-18,6.78,1.4766,20.76,0.0944
1980-10-19,8.62,1.6152,19.76,0.1231
1980-10-20,0,2.0506,12.005,0.1026
1980-10-21,0,1.9362,11.255,0.0923
1980-10-22,0,2.0574,13.865,0.0923
1980-10-23,0,2.0905,15.605,0.0923
1980-10-24,11.13,1.5724,15.47,0.1539
1980-10-25,17.74,1.3264,8.41,0.3078
1980-10-26,0,1.5114,7.32,0.1847
1980-10-27,15.07,1.4265,10.96,0.2257
1980-10-28,29.28,1.3458,14.135,2.4011
1980-10-29,0,1.5668,11.845,0.8619
1980-10-30,0,1.1806,5.56,0.472
1980-10-31,0,1.4139,7.03,0.3386
1980-11-01,0,1.4938,9.42,0.277
1980-11-02,0,1.6095,12.765,0.2463
1980-11-03,0,1.6858,15.375,0.2052
1980-11-04,0,1.6212,15.22,0.195
1980-11-05,0,1.46,11.29,0.2052
1980-11-06,0,1.3366,8.955,0.2052
1980-11-07,0,1.462,12.435,0.195
1980-11-08,0,1.602,16.91,0.1642
1980-11-09,0,1.5557,17.985,0.1642
1980-11-10,0,1.4859,15.32,0.1539
1980-11-11,0,1.3981,13.295,0.1437
1980-11-12,0,1.2592,10.35,0.1437
1980-11-13,0,1.2503,10.75,0.1334
1980-11-14,0,1.2803,13.155,0.1744
1980-11-15,30.05,0.8802,13.28,1.3031
1980-11-16,2.27,1.0249,11.285,1.1287
1980-11-17,23.19,0.8951,10.18,4.5558
1980-11-18,6.09,0.9148,7.66,3.735
1980-11-19,0,0.7512,1.435,1.847
1980-11-20,0,0.8671,2.88,1.2313
1980-11-21,0,0.8715,2.965,0.8619
1980-11-22,0,0.8911,4.2,0.6362
1980-11-23,18.93,0.7906,5.795,4.4532
1980-11-24,16.44,0.7335,8.505,10.3635
1980-11-25,0,0.808,6.625,3.6426
1980-11-26,0,0.8175,5.42,2.3908
1980-11-27,23.44,0.696,4.235,6.9364
1980-11-28,1.05,0.5787,1.245,4.3814
1980-11-29,0,0.7318,2.255,2.5447
1980-11-30,0,0.8422,5.46,1.7546
1980-12-01,0,0.9402,9.11,1.3442
1980-12-02,0,0.974,10.135,1.0466
1980-12-03,0,0.8079,5.12,0.8106
1980-12-04,0,0.7712,4.22,0.6875
1980-12-05,0,0.8557,7.825,0.6054
1980-12-06,0,0.9058,10.115,0.5541
1980-12-07,0,0.9943,12.665,0.5233
1980-12-08,0,1.0456,13.655,0.4925
1980-12-09,14.11,0.9958,14.48,0.8106
1980-12-10,13.22,0.8445,9.665,1.4468
1980-12-11,0,0.6941,2.45,1.2313
1980-12-12,0,0.7438,4.39,1.1082
1980-12-13,0,0.7953,7.01,0.9748
1980-12-14,0,0.7485,5.265,0.7901
1980-12-15,0,0.7109,3.525,0.7183
1980-12-16,0,0.7527,4.835,0.6977
1980-12-17,0,0.6993,2.81,0.5849
1980-12-18,0,0.7258,4.32,0.4925
1980-12-19,0,0.7849,6.63,0.4515
1980-12-20,0,0.6009,-1.425,0.3797
1980-12-21,0,0.5362,-3.975,0.3489
1980-12-22,0,0.6032,-1.41,0.3489
1980-12-23,0,0.6479,0.73,0.3489
1980-12-24,5.97,0.7764,7.545,0.4104
1980-12-25,0,0.6203,0.685,0.4104
1980-12-26,0,0.5262,-3.855,0.3694
1980-12-27,0,0.5959,-1.405,0.3591
1980-12-28,0,0.6708,1.415,0.3283
1980-12-29,0,0.7241,3.665,0.3386
1980-12-30,0,0.7671,4.95,0.3386
1980-12-31,0,0.7555,4.305,0.3386
1981-01-01,0,0.7599,4.58,0.3386
1981-01-02,0,0.7046,1.895,0.3078
1981-01-03,0,0.7407,2.89,0.2873
1981-01-04,0,0.7406,3.445,0.277
1981-01-05,0,0.5678,-4.87,0.2668
1981-01-06,0,0.6239,-2.23,0.277
1981-01-07,10.48,0.5811,1.315,0.431
1981-01-08,0,0.6629,-1.525,0.3797
1981-01-09,0,0.7306,1.25,0.3181
1981-01-10,0,0.7052,-0.45,0.2873
1981-01-11,0,0.5937,-5.185,0.3694
1981-01-12,0,0.5474,-7.855,0.4104
1981-01-13,0,0.6309,-4.8,0.3283
1981-01-14,0,0.8072,2.14,0.3283
1981-01-15,0,0.8395,2.95,0.3078
1981-01-16,0,0.7971,0.85,0.2668
1981-01-17,0,0.6954,-3.17,0.2873
1981-01-18,0,0.7164,-3.26,0.3899
1981-01-19,0,0.8269,0.66,0.2873
1981-01-20,8.52,0.9045,4.26,0.3797
1981-01-21,17.24,0.638,3.015,1.9085
1981-01-22,0,0.7125,3.295,1.5904
1981-01-23,0,0.8552,4.585,1.3647
1981-01-24,0,0.9904,3.69,1.1492
1981-01-25,0,1.1253,6.72,0.9543
1981-01-26,0,1.2701,10.325,0.7901
1981-01-27,2.44,1.1289,11.74,0.7183
1981-01-28,0,1.1497,5.945,0.6362
1981-01-29,0,1.1666,5.9,0.5438
1981-01-30,0.91,1.2434,7.315,0.4823
1981-01-31,0,1.0046,3.18,0.4412
1981-02-01,12.48,0.9683,5.05,1.0979
1981-02-02,31.09,0.9995,1.445,7.9933
1981-02-03,0,0.841,-6.23,3.8068
1981-02-04,0,0.9309,-4.135,2.4524
1981-02-05,0,1.0407,-2.53,1.8264
1981-02-06,0,1.0689,-0.2,1.5084
1981-02-07,0,1.3416,4.465,1.1287
1981-02-08,3.1,1.1415,4.155,1.0261
1981-02-09,0,1.2724,0.28,0.9235
1981-02-10,19.66,1.2238,3.945,0.8722
1981-02-11,16.16,1.2235,2.255,10.2609
1981-02-12,0,0.9411,-8.34,7.1826
1981-02-13,0,1.0987,-5.335,4.1044
1981-02-14,0,1.4061,2.155,2.0522
