"Date","P","E","T","Q"
1980-10-01,0,1.146,16.555,1.5084
1980-10-02,0,1.4639,17.095,0.6157
1980-10-03,0,1.574,14.86,0.3283
1980-10-04,0,1.4489,11.645,0.2155
1980-10-05,0,1.425,12.01,0.1642
1980-10-06,0,1.2519,9.695,0.1437
1980-10-07,0,1.3386,11.78,0.1231
1980-10-08,0,1.4139,14.935,0.1129
1980-10-09,0,1.4495,17.245,0.1129
1980-10-10,0,1.492,20.16,0.1006
1980-10-11,0,1.4048,19.78,0.0923
1980-10-12,0,1.1681,13,0.0852
1980-10-13,0,1.0315,9.955,0.0811
1980-10-14,0,1.0465,11.505,0.079
1980-10-15,0,1.0833,13.74,0.078
1980-10-16,0,1.1115,16.3,0.078
1980-10-17,0,1.015,19.285,0.079
1980-10-18,6.78,0.6587,20.76,0.0944
1980-10-19,8.62,0.8306,19.76,0.1231
1980-10-20,0,1.231,12.005,0.1026
1980-10-21,0,1.1432,11.255,0.0923
1980-10-22,0,1.1962,13.865,0.0923
1980-10-23,0,1.1956,15.605,0.0923
1980-10-24,11.13,0.8845,15.47,0.1539
1980-10-25,17.74,0.8964,8.41,0.3078
1980-10-26,0,1.2993,7.32,0.1847
1980-10-27,15.07,1.2076,10.96,0.2257
1980-10-28,29.28,1.339,14.135,2.4011
1980-10-29,0,1.559,11.845,0.8619
1980-10-30,0,1.1571,5.56,0.472
1980-10-31,0,1.3703,7.03,0.3386
1980-11-01,0,1.4286,9.42,0.277
1980-11-02,0,1.5179,12.765,0.2463
1980-11-03,0,1.5663,15.375,0.2052
1980-11-04,0,1.4831,15.22,0.195
1980-11-05,0,1.3162,11.29,0.2052
1980-11-06,0,1.1892,8.955,0.2052
1980-11-07,0,1.2853,12.435,0.195
1980-11-08,0,1.3903,16.91,0.1642
1980-11-09,0,1.3312,17.985,0.1642
1980-11-10,0,1.2545,15.32,0.1539
1980-11-11,0,1.1652,13.295,0.1437
1980-11-12,0,1.037,10.35,0.1437
1980-11-13,0,1.0187,10.75,0.1334
1980-11-14,0,1.0323,13.155,0.1744
1980-11-15,30.05,0.7021,13.28,1.3031
1980-11-16,2.27,1.0198,11.285,1.1287
1980-11-17,23.19,0.8906,10.18,4.5558
1980-11-18,6.09,0.9102,7.66,3.735
1980-11-19,0,0.7474,1.435,1.847
1980-11-20,0,0.8576,2.88,1.2313
1980-11-21,0,0.8562,2.965,0.8619
1980-11-22,0,0.8695,4.2,0.6362
1980-11-23,18.93,0.7661,5.795,4.4532
1980-11-24,16.44,0.7298,8.505,10.3635
1980-11-25,0,0.8039,6.625,3.6426
1980-11-26,0,0.8092,5.42,2.3908
1980-11-27,23.44,0.6852,4.235,6.9364
1980-11-28,1.05,0.5758,1.245,4.3814
1980-11-29,0,0.7281,2.255,2.5447
1980-11-30,0,0.8346,5.46,1.7546
1980-12-01,0,0.9273,9.11,1.3442
1980-12-02,0,0.9556,10.135,1.0466
1980-12-03,0,0.7884,5.12,0.8106
1980-12-04,0,0.7493,4.22,0.6875
1980-12-05,0,0.828,7.825,0.6054
1980-12-06,0,0.8724,10.115,0.5541
1980-12-07,0,0.9531,12.665,0.5233
1980-12-08,0,0.997,13.655,0.4925
1980-12-09,14.11,0.9443,14.48,0.8106
1980-12-10,13.22,0.8403,9.665,1.4468
1980-12-11,0,0.6907,2.45,1.2313
1980-12-12,0,0.7376,4.39,1.1082
1980-12-13,0,0.7857,7.01,0.9748
1980-12-14,0,0.7366,5.265,0.7901
1980-12-15,0,0.697,3.525,0.7183
1980-12-16,0,0.7355,4.835,0.6977
1980-12-17,0,0.6809,2.81,0.5849
1980-12-18,0,0.7043,4.32,0.4925
1980-12-19,0,0.7591,6.63,0.4515
1980-12-20,0,0.5791,-1.425,0.3797
1980-12-21,0,0.5152,-3.975,0.3489
1980-12-22,0,0.5781,-1.41,0.3489
1980-12-23,0,0.6193,0.73,0.3489
1980-12-24,5.97,0.7399,7.545,0.4104
1980-12-25,0,0.6075,0.685,0.4104
1980-12-26,0,0.5138,-3.855,0.3694
1980-12-27,0,0.5803,-1.405,0.3591
1980-12-28,0,0.6514,1.415,0.3283
1980-12-29,0,0.7009,3.665,0.3386
1980-12-30,0,0.74,4.95,0.3386
1980-12-31,0,0.7263,4.305,0.3386
1981-01-01,0,0.7279,4.58,0.3386
1981-01-02,0,0.6726,1.895,0.3078
1981-01-03,0,0.7047,2.89,0.2873
1981-01-04,0,0.7023,3.445,0.277
1981-01-05,0,0.5366,-4.87,0.2668
1981-01-06,0,0.5881,-2.23,0.277
1981-01-07,10.48,0.5462,1.315,0.431
1981-01-08,0,0.6563,-1.525,0.3797
1981-01-09,0,0.721,1.25,0.3181
1981-01-10,0,0.6934,-0.45,0.2873
1981-01-11,0,0.5817,-5.185,0.3694
1981-01-12,0,0.5348,-7.855,0.4104
1981-01-13,0,0.6147,-4.8,0.3283
1981-01-14,0,0.7841,2.14,0.3283
1981-01-15,0,0.8124,2.95,0.3078
1981-01-16,0,0.7682,0.85,0.2668
1981-01-17,0,0.6677,-3.17,0.2873
1981-01-18,0,0.6856,-3.26,0.3899
1981-01-19,0,0.7887,0.66,0.2873
1981-01-20,8.52,0.8594,4.26,0.3797
1981-01-21,17.24,0.6311,3.015,1.9085
1981-01-22,0,0.709,3.295,1.5904
1981-01-23,0,0.8482,4.585,1.3647
1981-01-24,0,0.9787,3.69,1.1492
1981-01-25,0,1.1071,6.72,0.9543
1981-01-26,0,1.2435,10.325,0.7901
1981-01-27,2.44,1.0993,11.74,0.7183
1981-01-28,0,1.1265,5.945,0.6362
1981-01-29,0,1.1375,5.9,0.5438
1981-01-30,0.91,1.2063,7.315,0.4823
1981-01-31,0,0.9737,3.18,0.4412
1981-02-01,12.48,0.9346,5.05,1.0979
1981-02-02,31.09,0.9945,1.445,7.9933
1981-02-03,0,0.8368,-6.23,3.8068
1981-02-04,0,0.9231,-4.135,2.4524
1981-02-05,0,1.0281,-2.53,1.8264
1981-02-06,0,1.0516,-0.2,1.5084
1981-02-07,0,1.3143,4.465,1.1287
1981-02-08,3.1,1.1125,4.155,1.0261
1981-02-09,0,1.2506,0.28,0.9235
1981-02-10,19.66,1.1968,3.945,0.8722
1981-02-11,16.16,1.2174,2.255,10.2609
1981-02-12,0,0.9364,-8.34,7.1826
