Date,P,E,T,Q
1980-10-01,3.39,2.1864,22.265,0.3521
1980-10-02,0,2.9404,22.265,0.3428
1980-10-03,0,3.2649,21.5,0.3243
1980-10-04,0,3.2069,17.375,0.2872
1980-10-05,0,3.2632,18.295,0.2409
1980-10-06,0,3.1492,17.46,0.2038
1980-10-07,0,3.0736,17.375,0.1668
1980-10-08,0,3.1268,17.64,0.139
1980-10-09,0,3.1799,18.665,0.1204
1980-10-10,0,3.2621,20.585,0.0927
1980-10-11,0,3.2752,22.035,0.0825
1980-10-12,0,3.037,18.99,0.0723
1980-10-13,0,2.759,15.97,0.063
1980-10-14,0,2.7767,16.92,0.0593
1980-10-15,0,2.8779,19.985,0.0528
1980-10-16,0,2.8798,21.755,0.0491
1980-10-17,0,2.7876,22.995,0.0473
1980-10-18,0,2.7629,23.805,0.0454
1980-10-19,3.32,2.1619,24.76,0.0454
1980-10-20,3.09,2.1208,22.46,0.0454
1980-10-21,0,2.3463,20.285,0.0435
1980-10-22,2.31,2.0706,19.24,0.0435
1980-10-23,15.02,1.4713,19.19,0.0556
1980-10-24,0,1.4288,18.02,0.0658
1980-10-25,14.17,1.6413,14.425,0.0556
1980-10-26,0,2.0314,11.525,0.051
1980-10-27,0,2.1237,13.42,0.0454
1980-10-28,53.35,1.432,18.37,0.139
1980-10-29,17.12,1.2498,18.7,0.3706
1980-10-30,17.65,1.2457,18.5,0.7505
1980-10-31,0.05,1.5161,15.565,1.1674
1980-11-01,0,1.9125,12.72,1.2045
1980-11-02,0,2.0592,15.5,1.084
1980-11-03,0,2.1444,18.305,0.8802
1980-11-04,0,2.1378,21.435,0.7041
1980-11-05,0,1.9941,15.92,0.5744
1980-11-06,0,1.7731,12.08,0.4633
1980-11-07,0,1.7562,12.445,0.3706
1980-11-08,0,1.8247,14.2,0.2965
1980-11-09,0,1.9503,16.775,0.2409
1980-11-10,0,1.9971,18.06,0.2038
1980-11-11,0,1.756,17.23,0.1668
1980-11-12,0,1.696,14.25,0.1482
1980-11-13,0,1.7069,13.86,0.1297
1980-11-14,0,1.79,17.715,0.1112
1980-11-15,0,1.8128,20.01,0.0927
1980-11-16,0,1.7066,20.245,0.0871
1980-11-17,0,1.4063,19.435,0.0788
1980-11-18,0,1.5227,15.475,0.0723
1980-11-19,0,1.3054,9.01,0.0676
1980-11-20,0,1.3208,8.62,0.0611
1980-11-21,0,1.3175,8.705,0.0574
1980-11-22,0,1.3414,9.97,0.0528
1980-11-23,0,1.4655,15.665,0.0528
1980-11-24,30.04,1.1867,17.58,0.3799
1980-11-25,0,1.3723,12.675,1.0562
1980-11-26,10.14,1.1146,13.03,1.1952
1980-11-27,16.15,1.0741,13.19,2.0846
1980-11-28,0,1.1791,8.3,2.5942
1980-11-29,0,1.148,7.455,2.6405
1980-11-30,0,1.187,8.855,2.3811
1980-12-01,0,1.221,10.32,2.029
1980-12-02,0,1.3914,14.255,1.7326
1980-12-03,0,1.3899,14.77,1.4731
1980-12-04,0,1.2264,10.87,1.26
1980-12-05,0,1.3291,13.61,1.0562
