Date,P,E,T,Q
1980-10-01,3.39,1.1291,22.265,0.3521
1980-10-02,0,2.9257,22.265,0.3428
1980-10-03,0,1.7065,21.5,0.3243
1980-10-04,0,1.6375,17.375,0.2872
1980-10-05,0,1.6547,18.295,0.2409
1980-10-06,0,1.5856,17.46,0.2038
1980-10-07,0,1.537,17.375,0.1668
1980-10-08,0,1.5531,17.64,0.139
1980-10-09,0,1.5688,18.665,0.1204
1980-10-10,0,1.5982,20.585,0.0927
1980-10-11,0,1.5933,22.035,0.0825
1980-10-12,0,1.467,18.99,0.0723
1980-10-13,0,1.3239,15.97,0.063
1980-10-14,0,1.3242,16.92,0.0593
1980-10-15,0,1.3641,19.985,0.0528
1980-10-16,0,1.3564,21.755,0.0491
1980-10-17,0,1.3046,22.995,0.0473
1980-10-18,0,1.2852,23.805,0.0454
1980-10-19,3.32,0.9995,24.76,0.0454
1980-10-20,3.09,2.1102,22.46,0.0454
1980-10-21,0,2.3346,20.285,0.0435
1980-10-22,2.31,1.0312,19.24,0.0435
1980-10-23,15.02,1.4085,19.19,0.0556
1980-10-24,0,1.4217,18.02,0.0658
1980-10-25,14.17,1.1538,14.425,0.0556
1980-10-26,0,2.0212,11.525,0.051
1980-10-27,0,1.3034,13.42,0.0454
1980-10-28,53.35,0.7438,18.37,0.139
1980-10-29,17.12,1.2436,18.7,0.3706
1980-10-30,17.65,1.2395,18.5,0.7505
1980-10-31,0.05,1.5085,15.565,1.1674
1980-11-01,0,1.497,12.72,1.2045
1980-11-02,0,1.3716,15.5,1.084
1980-11-03,0,1.356,18.305,0.8802
1980-11-04,0,1.3305,21.435,0.7041
1980-11-05,0,1.2308,15.92,0.5744
1980-11-06,0,1.0871,12.08,0.4633
1980-11-07,0,1.0706,12.445,0.3706
1980-11-08,0,1.1061,14.2,0.2965
1980-11-09,0,1.1753,16.775,0.2409
1980-11-10,0,1.1959,18.06,0.2038
1980-11-11,0,1.0448,17.23,0.1668
1980-11-12,0,1.0033,14.25,0.1482
1980-11-13,0,1.0042,13.86,0.1297
1980-11-14,0,1.0473,17.715,0.1112
1980-11-15,0,1.0546,20.01,0.0927
1980-11-16,0,0.987,20.245,0.0871
1980-11-17,0,0.8089,19.435,0.0788
1980-11-18,0,0.8718,15.475,0.0723
1980-11-19,0,0.7437,9.01,0.0676
1980-11-20,0,0.7494,8.62,0.0611
1980-11-21,0,0.7443,8.705,0.0574
1980-11-22,0,0.7546,9.97,0.0528
1980-11-23,0,0.8208,15.665,0.0528
1980-11-24,30.04,0.6615,17.58,0.3799
1980-11-25,0,1.3654,12.675,1.0562
1980-11-26,10.14,0.8655,13.03,1.1952
1980-11-27,16.15,1.0688,13.19,2.0846
1980-11-28,0,1.1732,8.3,2.5942
1980-11-29,0,0.9456,7.455,2.6405
1980-11-30,0,0.8726,8.855,2.3811
1980-12-01,0,0.835,10.32,2.029
1980-12-02,0,0.9109,14.255,1.7326
1980-12-03,0,0.8841,14.77,1.4731
1980-12-04,0,0.768,10.87,1.26
1980-12-05,0,0.8253,13.61,1.0562
1980-12-06,0,0.8557,15.275,0.8987
1980-12-07,0,0.8336,14.915,0.7597
1980-12-08,0,0.8295,14.88,0.6393
1980-12-09,0,0.8858,17.12,0.5466
1980-12-10,0,0.8787,18.22,0.4725
1980-12-11,0,0.7227,11.34,0.4077
1980-12-12,0,0.6509,8.64,0.3613
1980-12-13,0,0.6834,10.655,0.3057
1980-12-14,0,0.7006,11.25,0.2687
1980-12-15,0,0.6557,9.815,0.2316
1980-12-16,6.89,0.6029,10.325,0.2131
1980-12-17,0,1.0745,10.175,0.278
1980-12-18,0,0.8349,7.235,0.2965
1980-12-19,0,0.8243,10.71,0.278
1980-12-20,0,0.7446,11.25,0.2594
1980-12-21,0,0.5916,9.03,0.2316
1980-12-22,0,0.4613,5.25,0.2131
1980-12-23,6.65,0.4761,6.86,0.2594
1980-12-24,0,1.0749,9.04,0.2965
1980-12-25,4.03,0.8015,9.075,0.3428
1980-12-26,0,0.9036,4.44,0.3613
1980-12-27,0,0.7325,4.025,0.3428
1980-12-28,0,0.6964,4.65,0.315
1980-12-29,1.98,0.7438,9.705,0.2872
1980-12-30,0,1.0661,9.64,0.2594
1980-12-31,0.99,0.8738,9.67,0.2409
1981-01-01,0,0.9399,8.295,0.2224
1981-01-02,0,0.819,8.455,0.2038
1981-01-03,0,0.6837,6.09,0.1853
1981-01-04,0,0.7116,8.8,0.1668
1981-01-05,0,0.623,5.795,0.1575
1981-01-06,0,0.5765,4.29,0.139
1981-01-07,13.78,0.585,8.885,0.1668
1981-01-08,0,0.9854,4.025,0.2316
1981-01-09,0,0.8385,4.465,0.2594
1981-01-10,0,0.7539,5.43,0.278
1981-01-11,0,0.6609,3.415,0.2594
1981-01-12,0,0.5654,0.22,0.2316
1981-01-13,0,0.5244,-1.955,0.2131
1981-01-14,0,0.6203,3.68,0.1946
1981-01-15,0,0.7037,8.235,0.1946
1981-01-16,0,0.7195,8.345,0.1946
1981-01-17,0,0.6342,5.43,0.1853
1981-01-18,0,0.6168,3.505,0.1668
1981-01-19,0,0.6939,6.725,0.1575
1981-01-20,12,0.6428,9.71,0.1668
1981-01-21,4.08,0.957,8.66,0.2872
1981-01-22,0,1.0109,6.24,0.3243
1981-01-23,0,0.9406,5.71,0.3335
1981-01-24,0,0.9069,6.62,0.3057
1981-01-25,0,0.8709,7.605,0.278
1981-01-26,0,0.8887,9.695,0.2502
1981-01-27,0,0.9106,11.795,0.2224
1981-01-28,18.37,0.7729,14,0.2965
1981-01-29,0,1.4756,8.5,0.4818
1981-01-30,0,1.178,9.715,0.5281
1981-01-31,0,1.0146,10.21,0.5096
1981-02-01,0,0.8982,12.71,0.4633
1981-02-02,16.58,0.8504,12.15,0.5096
1981-02-03,0,1.3095,3.505,0.6856
1981-02-04,0,1.0173,2.63,0.7134
1981-02-05,0,0.9922,5.405,0.6856
1981-02-06,12.15,0.7357,7.175,0.6486
1981-02-07,9.55,1.2335,10.47,0.8431
1981-02-08,0.54,1.5377,12.675,0.9728
1981-02-09,0,1.4439,8.82,0.9821
1981-02-10,0,1.2853,12.16,0.9172
1981-02-11,122.92,1.0221,14.15,8.4034
1981-02-12,0,1.599,4.305,23.9037
1981-02-13,0,1.4495,4.075,28.4436
1981-02-14,0,1.3533,9.645,21.4948
1981-02-15,0,1.3086,14.23,13.0637
1981-02-16,0,1.2884,16,8.1439
1981-02-17,0,1.2438,18.255,5.8925
1981-02-18,7.17,1.0609,19.615,4.6603
1981-02-19,0,2.4337,17.185,3.8357
1981-02-20,0,1.8881,17.365,3.2057
1981-02-21,0,1.6945,14.615,2.6127
1981-02-22,0,1.74,16.74,2.1124
1981-02-23,0,1.6565,14.88,1.7048
1981-02-24,0,1.6024,12.285,1.362
1981-02-25,0,1.6294,12.575,1.0933
1981-02-26,0,1.7586,15.245,0.8802
1981-02-27,0,1.8139,16.325,0.7041
1981-02-28,0,1.817,16.25,0.5744
1981-03-01,0,1.804,17.78,0.4725
1981-03-02,0,1.6032,19.75,0.3984
