"Date","P","E","MI_Q_sim"
2004-09-02,0,2.113637,0
2004-09-03,0,2.284305,0
2004-09-04,0,2.757288,0
2004-09-05,0,2.852728,0
2004-09-06,0,2.882288,0
2004-09-07,0,2.759263,0
2004-09-08,0,2.680601,0
2004-09-09,0,2.677378,0
2004-09-10,0,2.387042,0
2004-09-11,0,2.376496,0
2004-09-12,2.56,2.716567,0.032328062108313
2004-09-13,0.4,2.149183,0.000861208205571545
2004-09-14,0,2.107571,2.44447419982135e-06
2004-09-15,1.41,1.976001,0.00817915190690486
2004-09-16,0.28,1.704098,0.000418604454729336
2004-09-17,0,1.448402,2.92507522213933e-06
2004-09-18,0,1.587894,1.57216890710251e-08
2004-09-19,0,1.871197,5.65851852717383e-11
2004-09-20,2.26,1.978648,0.0589211084691579
2004-09-21,0,1.634728,0.000401142280312917
2004-09-22,1.32,1.840719,0.00971532468723499
2004-09-23,1.79,1.640583,0.071221248501441
2004-09-24,14.07,1.869767,9.51789610065807
2004-09-25,0.45,1.48158,0.748121215775538
2004-09-26,0.67,1.552072,0.0624669740944584
2004-09-27,0.19,1.701439,0.00105588437300098
2004-09-28,0.17,1.707937,6.64032138462279e-05
2004-09-29,0.22,1.918793,3.77710127999606e-05
2004-09-30,0.24,1.802173,5.03924140023855e-05
2004-10-01,0,1.592697,2.73074737177479e-07
2004-10-02,1.83,1.870887,0.027837555492392
2004-10-03,0,1.646764,0.000172061857048991
2004-10-04,0,1.448458,1.18421538349858e-06
2004-10-05,0,1.877995,4.24340686645858e-09
2004-10-06,0.18,2.073062,1.03223407584332e-05
2004-10-07,6.15,1.500013,2.62176624981994
2004-10-08,0,1.218998,0.131670803363861
2004-10-09,0.46,1.205347,0.0147169495372482
2004-10-10,1.81,1.369293,0.136927065075683
2004-10-11,0,1.256048,0.00212013946414908
2004-10-12,0.03,1.158983,4.41170244049036e-05
2004-10-13,0.09,1.209478,1.4101113262772e-05
2004-10-14,0,1.27022,1.28512837977279e-07
2004-10-15,12.23,1.358412,7.88912911435814
2004-10-16,6.52,1.145263,5.62894259108232
2004-10-17,7.73,1.05341,6.47571196892849
2004-10-18,8.21,1.068011,6.99633317686269
2004-10-19,3.43,1.118989,2.97080006512987
2004-10-20,0,1.071919,0.204833024509375
2004-10-21,26.45,1.69434,21.2990323875508
2004-10-22,6.71,1.454203,6.57673288479187
2004-10-23,0,1.153814,0.468734576613606
2004-10-24,0,1.585888,0.00521283547360738
2004-10-25,1.91,1.457917,0.116955333004955
2004-10-26,0.13,1.476742,0.0021236583562062
2004-10-27,0,1.06086,3.21090962718633e-05
2004-10-28,1.34,1.060081,0.0447270976009689
2004-10-29,11.48,1.32757,7.65510390739741
2004-10-30,9.61,1.257509,8.19883768625717
2004-10-31,1.02,1.106807,1.27565163837462
2004-11-01,0,1.089128,0.0612668920623906
2004-11-02,0.51,1.114508,0.0122936923465936
2004-11-03,2.28,1.132146,0.404796180233061
2004-11-04,0.87,1.165112,0.123328173783667
2004-11-05,7.84,1.214399,4.77947816179884
2004-11-06,0,0.9872853,0.406555614587297
2004-11-07,5.06,0.9161867,3.03051339631015
2004-11-08,0.3,0.8776983,0.431208816620965
2004-11-09,2.13,0.7714481,0.971895367023676
2004-11-10,0,0.6820809,0.109794606999871
2004-11-11,7.52,0.6343335,5.00964471681792
2004-11-12,0.06,0.6871911,0.631759264707285
2004-11-13,0.32,0.7144714,0.137016209321065
2004-11-14,0.25,0.7467596,0.0229901594623523
2004-11-15,0.03,0.6498458,0.00157744481701603
2004-11-16,0,0.5261134,0.000100313283755078
2004-11-17,0.13,0.7804892,0.000102838832422238
2004-11-18,1.38,0.9692749,0.0653914665494671
2004-11-19,8.88,0.9393669,5.80501581714798
2004-11-20,5.37,0.6592451,4.83237062604264
2004-11-21,0,0.4911742,0.699460823836168
2004-11-22,1.16,0.5215181,0.648544991026056
2004-11-23,1.51,0.9227881,0.589910395946418
2004-11-24,3.09,0.943699,1.59842657052448
2004-11-25,0,0.5339188,0.255019011923599
2004-11-26,0,0.4981881,0.0354169800953338
2004-11-27,0.03,0.6245914,0.00271881068963041
2004-11-28,4.11,0.839671,1.70884748525312
2004-11-29,0.04,0.8040129,0.181838659736267
2004-11-30,0,0.7893474,0.00947710225748126
2004-12-01,0,0.6858214,0.000408296093167456
2004-12-02,4.03,0.6522361,1.73562373331593
2004-12-03,0.91,0.6546811,0.695808199063206
2004-12-04,0.34,0.6343503,0.18344683515881
2004-12-05,0,0.4875218,0.0246232776130091
2004-12-06,0,0.4631441,0.00251972246892888
2004-12-07,0,0.6280405,0.000117321250044809
2004-12-08,0,0.6087703,5.20070455939087e-06
2004-12-09,0,0.6529787,1.94183885485467e-07
2004-12-10,0,0.5383515,1.03038736035124e-08
2004-12-11,0,0.422851,8.29756639005851e-10
2004-12-12,0,0.3872977,7.70226412777216e-11
2004-12-13,0,0.3944114,6.93988070633764e-12
2004-12-14,0,0.3857142,6.47970826820809e-13
2004-12-15,0,0.363615,6.64016715221454e-14
2004-12-16,0,0.3932182,6.01040925877217e-15
2004-12-17,4.62,0.4902821,2.24790607975001
2004-12-18,17.88,0.6691674,15.3425508714066
2004-12-19,2.04,0.611173,3.01034279635202
2004-12-20,5.29,0.5502534,4.4047375741079
2004-12-21,0,0.3892653,0.716192701648166
2004-12-22,0.12,0.3102131,0.22697329107651
2004-12-23,1.32,0.4280471,0.562884339382076
2004-12-24,3.09,0.6583146,1.80766204875371
2004-12-25,5.01,0.8281793,3.64150008489875
2004-12-26,7.73,0.6941871,6.48676537664677
2004-12-27,0,0.5527822,0.827103330207217
2004-12-28,0,0.4746404,0.145656700373043
2004-12-29,5.72,0.4642913,3.70878095167203
2004-12-30,4.41,0.5442014,3.80923292797622
2004-12-31,0.03,0.5549419,0.561009655907305
2005-01-01,1.26,0.6894726,0.551516591042877
2005-01-02,2.69,0.8096346,1.39309202167291
2005-01-03,1.61,0.6931758,1.03578887179938
2005-01-04,0.55,0.6132231,0.363232653733902
2005-01-05,0.03,0.6386116,0.0399615277769874
2005-01-06,3.78,0.6912808,1.78166459076933
2005-01-07,1.83,0.7893056,1.21383799118338
2005-01-08,0.06,0.9149299,0.0991981918933956
2005-01-09,1.97,0.8233667,0.580327501860201
2005-01-10,0.07,0.7597027,0.0582895232124218
2005-01-11,1.94,0.9431185,0.439289765574695
2005-01-12,1.97,0.8727531,0.804974628654429
2005-01-13,4.68,0.8354181,3.01735466117257
2005-01-14,0.04,0.6119324,0.436368788789335
2005-01-15,0,0.4819481,0.0702785614378665
2005-01-16,0,0.4505649,0.0089064450318684
2005-01-17,0,0.3954557,0.00105722991821096
2005-01-18,5.88,0.5186266,3.3202373242415
2005-01-19,17.98,0.7058651,15.6536493957995
2005-01-20,0.63,0.6284215,1.91601791220871
