"Date","P","E","MXI_Q_sim"
2004-09-02,0,2.113637,0
2004-09-03,0,2.284305,0
2004-09-04,0,2.757288,0
2004-09-05,0,2.852728,0
2004-09-06,0,2.882288,0
2004-09-07,0,2.759263,0
2004-09-08,0,2.680601,0
2004-09-09,0,2.677378,0
2004-09-10,0,2.387042,0
2004-09-11,0,2.376496,0
2004-09-12,2.56,2.716567,0.0222607584862233
2004-09-13,0.4,2.149183,0.0433512828004039
2004-09-14,0,2.107571,0.0348726740000933
2004-09-15,1.41,1.976001,0.0373447193092717
2004-09-16,0.28,1.704098,0.042485309762234
2004-09-17,0,1.448402,0.0332514228538415
2004-09-18,0,1.587894,0.0240598951670571
2004-09-19,0,1.871197,0.0174957974726943
2004-09-20,2.26,1.978648,0.0323879841633641
2004-09-21,0,1.634728,0.0445327587418929
2004-09-22,1.32,1.840719,0.043693838543531
2004-09-23,1.79,1.640583,0.0595041109662437
2004-09-24,14.07,1.869767,0.184298018722125
2004-09-25,0.45,1.48158,0.270402685467554
2004-09-26,0.67,1.552072,0.204936067123229
2004-09-27,0.19,1.701439,0.156071087886121
2004-09-28,0.17,1.707937,0.116467676201958
2004-09-29,0.22,1.918793,0.0884430610057709
2004-09-30,0.24,1.802173,0.0690825560708066
2004-10-01,0,1.592697,0.0533344671293754
2004-10-02,1.83,1.870887,0.0559510424555826
2004-10-03,0,1.646764,0.0590524281357805
2004-10-04,0,1.448458,0.0439948068231543
2004-10-05,0,1.877995,0.0332284798141084
2004-10-06,0.18,2.073062,0.0271053497297745
2004-10-07,6.15,1.500013,0.0772691537492012
2004-10-08,0,1.218998,0.115588371209397
2004-10-09,0.46,1.205347,0.0887907420421654
2004-10-10,1.81,1.369293,0.0859881499970037
2004-10-11,0,1.256048,0.0808599544683952
2004-10-12,0.03,1.158983,0.0603005457587249
2004-10-13,0.09,1.209478,0.0464182502241612
2004-10-14,0,1.27022,0.0362643873021254
2004-10-15,12.23,1.358412,0.138029958344022
2004-10-16,6.52,1.145263,0.278275810261467
2004-10-17,7.73,1.05341,0.336285417873541
2004-10-18,8.21,1.068011,0.396049560584749
2004-10-19,3.43,1.118989,0.400758015363941
2004-10-20,0,1.071919,0.325183567675482
2004-10-21,26.45,1.69434,0.492416548177766
2004-10-22,6.71,1.454203,0.696877412275847
2004-10-23,0,1.153814,0.574788614390973
2004-10-24,0,1.585888,0.417705085914551
2004-10-25,1.91,1.457917,0.324102796764988
2004-10-26,0.13,1.476742,0.259923423323987
2004-10-27,0,1.06086,0.194253706181071
2004-10-28,1.34,1.060081,0.158995821984069
2004-10-29,11.48,1.32757,0.24823743328846
2004-10-30,9.61,1.257509,0.402917201960941
2004-10-31,1.02,1.106807,0.409602507179323
2004-11-01,0,1.089128,0.312224271820475
2004-11-02,0.51,1.114508,0.236808108366376
2004-11-03,2.28,1.132146,0.206160675511393
2004-11-04,0.87,1.165112,0.189245973395971
2004-11-05,7.84,1.214399,0.232798971164996
2004-11-06,0,0.9872853,0.260624942545973
2004-11-07,5.06,0.9161867,0.247001227400117
2004-11-08,0.3,0.8776983,0.244243168525117
2004-11-09,2.13,0.7714481,0.209014334684404
2004-11-10,0,0.6820809,0.182190000327399
2004-11-11,7.52,0.6343335,0.217266264138961
2004-11-12,0.06,0.6871911,0.248842586441314
2004-11-13,0.32,0.7144714,0.191665777138401
2004-11-14,0.25,0.7467596,0.152925645166402
2004-11-15,0.03,0.6498458,0.122154270208657
2004-11-16,0,0.5261134,0.0973589914316588
2004-11-17,0.13,0.7804892,0.0805712972498127
2004-11-18,1.38,0.9692749,0.0828284621118399
2004-11-19,8.88,0.9393669,0.176665853701971
2004-11-20,5.37,0.6592451,0.291931835944457
2004-11-21,0,0.4911742,0.279420515756967
2004-11-22,1.16,0.5215181,0.222263265570257
2004-11-23,1.51,0.9227881,0.198205503550338
2004-11-24,3.09,0.943699,0.201773506337229
2004-11-25,0,0.5339188,0.189746138188368
2004-11-26,0,0.4981881,0.14614141623588
2004-11-27,0.03,0.6245914,0.115227246381825
2004-11-28,4.11,0.839671,0.136683671658459
2004-11-29,0.04,0.8040129,0.155361060113805
2004-11-30,0,0.7893474,0.122000121767607
2004-12-01,0,0.6858214,0.0976282590760923
2004-12-02,4.03,0.6522361,0.123031996205504
2004-12-03,0.91,0.6546811,0.1540835110176
2004-12-04,0.34,0.6343503,0.13464400633718
2004-12-05,0,0.4875218,0.110576948959405
2004-12-06,0,0.4631441,0.0894198060422125
2004-12-07,0,0.6280405,0.0742140412137061
2004-12-08,0,0.6087703,0.0632573763418252
2004-12-09,0,0.6529787,0.0553347214877755
2004-12-10,0,0.5383515,0.0495787399209589
2004-12-11,0,0.422851,0.0453703199479541
2004-12-12,0,0.3872977,0.0422675320758882
2004-12-13,0,0.3944114,0.0399549189007986
2004-12-14,0,0.3857142,0.0382072984189364
2004-12-15,0,0.363615,0.0368639269650086
2004-12-16,0,0.3932182,0.0358100568133307
2004-12-17,4.62,0.4902821,0.0842876419543429
2004-12-18,17.88,0.6691674,0.318050360594714
2004-12-19,2.04,0.611173,0.469576109212893
2004-12-20,5.29,0.5502534,0.428748159715259
2004-12-21,0,0.3892653,0.380121304439581
2004-12-22,0.12,0.3102131,0.28424430803648
2004-12-23,1.32,0.4280471,0.230369188355516
2004-12-24,3.09,0.6583146,0.22575493460398
2004-12-25,5.01,0.8281793,0.26527151706006
2004-12-26,7.73,0.6941871,0.348094600486578
2004-12-27,0,0.5527822,0.354124946561893
2004-12-28,0,0.4746404,0.265275439254076
2004-12-29,5.72,0.4642913,0.266533016169728
2004-12-30,4.41,0.5442014,0.322561072776609
2004-12-31,0.03,0.5549419,0.297378355011137
2005-01-01,1.26,0.6894726,0.239959274721164
2005-01-02,2.69,0.8096346,0.230347804560768
2005-01-03,1.61,0.6931758,0.228822883137727
2005-01-04,0.55,0.6132231,0.202452690311672
2005-01-05,0.03,0.6386116,0.1646201714677
2005-01-06,3.78,0.6912808,0.174249674214055
2005-01-07,1.83,0.7893056,0.205082720853507
2005-01-08,0.06,0.9149299,0.182807233025098
2005-01-09,1.97,0.8233667,0.167017168046508
2005-01-10,0.07,0.7597027,0.15744763466685
2005-01-11,1.94,0.9431185,0.148663174334405
2005-01-12,1.97,0.8727531,0.165945279733861
2005-01-13,4.68,0.8354181,0.210428765149543
2005-01-14,0.04,0.6119324,0.22235538704063
2005-01-15,0,0.4819481,0.172528412916306
2005-01-16,0,0.4505649,0.136332644973511
2005-01-17,0,0.3954557,0.110365708709632
2005-01-18,5.88,0.5186266,0.160548808506159
2005-01-19,17.98,0.7058651,0.416840427375778
2005-01-20,0.63,0.6284215,0.550271339999244
2005-01-21,11.24,0.902652,0.552238507644151
2005-01-22,5.7,0.7698514,0.625651299515094
2005-01-23,0.09,0.6219703,0.538516433183154
