"Date","P","E","MXII_Q_sim"
2004-09-02,0,2.113637,0
2004-09-03,0,2.284305,0
2004-09-04,0,2.757288,0
2004-09-05,0,2.852728,0
2004-09-06,0,2.882288,0
2004-09-07,0,2.759263,0
2004-09-08,0,2.680601,0
2004-09-09,0,2.677378,0
2004-09-10,0,2.387042,0
2004-09-11,0,2.376496,0
2004-09-12,2.56,2.716567,0.00196481419712346
2004-09-13,0.4,2.149183,0.00365685035576709
2004-09-14,0,2.107571,0.00277437827252327
2004-09-15,1.41,1.976001,0.00270666194063789
2004-09-16,0.28,1.704098,0.00278726276347494
2004-09-17,0,1.448402,0.0020921708083543
2004-09-18,0,1.587894,0.00151652104563217
2004-09-19,0,1.871197,0.00110539529616073
2004-09-20,2.26,1.978648,0.00274414121596339
2004-09-21,0,1.634728,0.00406345344956186
2004-09-22,1.32,1.840719,0.00372166207103324
2004-09-23,1.79,1.640583,0.00555820810741458
2004-09-24,14.07,1.869767,0.097377220560455
2004-09-25,0.45,1.48158,0.168943572090452
2004-09-26,0.67,1.552072,0.123513759871873
2004-09-27,0.19,1.701439,0.0900534639336429
2004-09-28,0.17,1.707937,0.0652417925121421
2004-09-29,0.22,1.918793,0.0474481895692085
2004-09-30,0.24,1.802173,0.0347258477862747
2004-10-01,0,1.592697,0.0256076427258652
2004-10-02,1.83,1.870887,0.0203347986089879
2004-10-03,0,1.646764,0.0166619020845801
2004-10-04,0,1.448458,0.0126724685694696
2004-10-05,0,1.877995,0.00981710961674944
2004-10-06,0.18,2.073062,0.00778044693807224
2004-10-07,6.15,1.500013,0.0289593852359183
2004-10-08,0,1.218998,0.0458146539937245
2004-10-09,0.46,1.205347,0.0340590842639562
2004-10-10,1.81,1.369293,0.0285287512842623
2004-10-11,0,1.256048,0.0243343882495725
2004-10-12,0.03,1.158983,0.018306726881849
2004-10-13,0.09,1.209478,0.014009331488264
2004-10-14,0,1.27022,0.0109247075340996
2004-10-15,12.23,1.358412,0.0811862760372829
2004-10-16,6.52,1.145263,0.182667161191952
2004-10-17,7.73,1.05341,0.239716268193994
2004-10-18,8.21,1.068011,0.299913905074923
2004-10-19,3.43,1.118989,0.307375900072708
2004-10-20,0,1.071919,0.246146670070655
2004-10-21,26.45,1.69434,0.399120323269935
2004-10-22,6.71,1.454203,0.57547070559273
2004-10-23,0,1.153814,0.469488858967386
2004-10-24,0,1.585888,0.340224917369525
2004-10-25,1.91,1.457917,0.251042058934826
2004-10-26,0.13,1.476742,0.187663965250121
2004-10-27,0,1.06086,0.139029151808289
2004-10-28,1.34,1.060081,0.105463087564198
2004-10-29,11.48,1.32757,0.160412317109885
2004-10-30,9.61,1.257509,0.282916398742834
2004-10-31,1.02,1.106807,0.296848003582156
2004-11-01,0,1.089128,0.223066385621932
2004-11-02,0.51,1.114508,0.165928279459466
2004-11-03,2.28,1.132146,0.131273945095051
2004-11-04,0.87,1.165112,0.108016503518287
2004-11-05,7.84,1.214399,0.137466411503405
2004-11-06,0,0.9872853,0.160590627079276
2004-11-07,5.06,0.9161867,0.153157515889446
2004-11-08,0.3,0.8776983,0.151343373551243
2004-11-09,2.13,0.7714481,0.1257640847218
2004-11-10,0,0.6820809,0.107112113326117
2004-11-11,7.52,0.6343335,0.140192392079933
2004-11-12,0.06,0.6871911,0.168438764044693
2004-11-13,0.32,0.7144714,0.128096421107338
2004-11-14,0.25,0.7467596,0.0995105630024321
2004-11-15,0.03,0.6498458,0.0781501232875627
2004-11-16,0,0.5261134,0.0623359776025908
2004-11-17,0.13,0.7804892,0.0510108399322736
2004-11-18,1.38,0.9692749,0.0446005359103613
2004-11-19,8.88,0.9393669,0.102249520434362
2004-11-20,5.37,0.6592451,0.19154119771794
2004-11-21,0,0.4911742,0.192189809969978
2004-11-22,1.16,0.5215181,0.150371382268671
2004-11-23,1.51,0.9227881,0.128140917466703
2004-11-24,3.09,0.943699,0.125128619168743
2004-11-25,0,0.5339188,0.116666472772463
2004-11-26,0,0.4981881,0.0903030491801044
2004-11-27,0.03,0.6245914,0.0714623608009638
2004-11-28,4.11,0.839671,0.0791407510144633
2004-11-29,0.04,0.8040129,0.086254287823473
2004-11-30,0,0.7893474,0.0686131336320199
2004-12-01,0,0.6858214,0.055836486086112
2004-12-02,4.03,0.6522361,0.0655632007822261
2004-12-03,0.91,0.6546811,0.077787994812976
2004-12-04,0.34,0.6343503,0.0675784783728335
2004-12-05,0,0.4875218,0.0561534638956073
2004-12-06,0,0.4631441,0.0468036777856059
2004-12-07,0,0.6280405,0.0400632790048898
2004-12-08,0,0.6087703,0.0351861101646847
2004-12-09,0,0.6529787,0.0316395603902067
2004-12-10,0,0.5383515,0.0290434475730302
2004-12-11,0,0.422851,0.0271263927511362
2004-12-12,0,0.3872977,0.0256946803041781
2004-12-13,0,0.3944114,0.0246100304768859
2004-12-14,0,0.3857142,0.0237737334889142
2004-12-15,0,0.363615,0.023115324521272
2004-12-16,0,0.3932182,0.0225844999634491
2004-12-17,4.62,0.4902821,0.0422627964231574
2004-12-18,17.88,0.6691674,0.227926105928566
2004-12-19,2.04,0.611173,0.368351644812308
2004-12-20,5.29,0.5502534,0.335920438207304
2004-12-21,0,0.3892653,0.299011904345555
2004-12-22,0.12,0.3102131,0.221815510532372
2004-12-23,1.32,0.4280471,0.174206260940174
2004-12-24,3.09,0.6583146,0.16278691701863
2004-12-25,5.01,0.8281793,0.190618787962593
2004-12-26,7.73,0.6941871,0.262892860692887
2004-12-27,0,0.5527822,0.274818401908362
2004-12-28,0,0.4746404,0.204718589646911
2004-12-29,5.72,0.4642913,0.201651470670772
2004-12-30,4.41,0.5442014,0.243331939888981
2004-12-31,0.03,0.5549419,0.225972006313792
2005-01-01,1.26,0.6894726,0.176982077294786
2005-01-02,2.69,0.8096346,0.159923472335864
2005-01-03,1.61,0.6931758,0.152227337287087
2005-01-04,0.55,0.6132231,0.131202522434312
2005-01-05,0.03,0.6386116,0.105464496930463
2005-01-06,3.78,0.6912808,0.108561560510829
2005-01-07,1.83,0.7893056,0.124008092821918
2005-01-08,0.06,0.9149299,0.109954271515862
2005-01-09,1.97,0.8233667,0.0962014210768503
2005-01-10,0.07,0.7597027,0.0869502273895658
2005-01-11,1.94,0.9431185,0.0782310052212423
2005-01-12,1.97,0.8727531,0.0817248279002168
2005-01-13,4.68,0.8354181,0.113523151029496
2005-01-14,0.04,0.6119324,0.129052960331146
2005-01-15,0,0.4819481,0.101152124430452
2005-01-16,0,0.4505649,0.0809566247108888
2005-01-17,0,0.3954557,0.0664544647888724
2005-01-18,5.88,0.5186266,0.098013138281742
2005-01-19,17.98,0.7058651,0.313429267114333
2005-01-20,0.63,0.6284215,0.441289261360585
2005-01-21,11.24,0.902652,0.443198793354382
2005-01-22,5.7,0.7698514,0.504873339474688
