"Date","P","E","MIII_Q_sim"
2004-09-02,0,2.113637,0
2004-09-03,0,2.284305,0
2004-09-04,0,2.757288,0
2004-09-05,0,2.852728,0
2004-09-06,0,2.882288,0
2004-09-07,0,2.759263,0
2004-09-08,0,2.680601,0
2004-09-09,0,2.677378,0
2004-09-10,0,2.387042,0
2004-09-11,0,2.376496,0
2004-09-12,2.56,2.716567,0.0590956728427246
2004-09-13,0.4,2.149183,0.0664507584870315
2004-09-14,0,2.107571,0.0501903577954922
2004-09-15,1.41,1.976001,0.125612187306965
2004-09-16,0.28,1.704098,0.104207967211676
2004-09-17,0,1.448402,0.0732110613201622
2004-09-18,0,1.587894,0.0545010463715341
2004-09-19,0,1.871197,0.0423270148003766
2004-09-20,2.26,1.978648,0.18532490623173
2004-09-21,0,1.634728,0.116322846296592
2004-09-22,1.32,1.840719,0.18055817604098
2004-09-23,1.79,1.640583,0.273307972415626
2004-09-24,14.07,1.869767,2.16642990508363
2004-09-25,0.45,1.48158,0.703865423899948
2004-09-26,0.67,1.552072,0.385292669150673
2004-09-27,0.19,1.701439,0.220400211903921
2004-09-28,0.17,1.707937,0.146782935351617
2004-09-29,0.22,1.918793,0.112334875033622
2004-09-30,0.24,1.802173,0.0934624101253507
2004-10-01,0,1.592697,0.0669031528139838
2004-10-02,1.83,1.870887,0.180491847911877
2004-10-03,0,1.646764,0.113935476975398
2004-10-04,0,1.448458,0.0787780617426477
2004-10-05,0,1.877995,0.0579832231943248
2004-10-06,0.18,2.073062,0.0536000894702547
2004-10-07,6.15,1.500013,0.657010221100163
2004-10-08,0,1.218998,0.295810757424052
2004-10-09,0.46,1.205347,0.20794656331855
2004-10-10,1.81,1.369293,0.295406351892553
2004-10-11,0,1.256048,0.166315059870136
2004-10-12,0.03,1.158983,0.10897964104811
2004-10-13,0.09,1.209478,0.0815905052679647
2004-10-14,0,1.27022,0.0597205094947523
2004-10-15,12.23,1.358412,1.59625686928446
2004-10-16,6.52,1.145263,1.49727977542009
2004-10-17,7.73,1.05341,1.67475652970504
2004-10-18,8.21,1.068011,1.81096584971433
2004-10-19,3.43,1.118989,1.07095026524381
2004-10-20,0,1.071919,0.411230675906522
2004-10-21,26.45,1.69434,4.70301691047952
2004-10-22,6.71,1.454203,2.14398463256923
2004-10-23,0,1.153814,0.638869982630652
2004-10-24,0,1.585888,0.290131427425114
2004-10-25,1.91,1.457917,0.365650333166464
2004-10-26,0.13,1.476742,0.207433872233303
2004-10-27,0,1.06086,0.127007413736762
2004-10-28,1.34,1.060081,0.197279502464197
2004-10-29,11.48,1.32757,1.75833443362683
2004-10-30,9.61,1.257509,2.13370099833847
2004-10-31,1.02,1.106807,0.784999580749998
2004-11-01,0,1.089128,0.334170770147985
2004-11-02,0.51,1.114508,0.232943754055934
2004-11-03,2.28,1.132146,0.379045055120725
2004-11-04,0.87,1.165112,0.291787659597463
2004-11-05,7.84,1.214399,1.24455213436293
2004-11-06,0,0.9872853,0.453572727688558
2004-11-07,5.06,0.9161867,0.905059465455243
2004-11-08,0.3,0.8776983,0.404920254902109
2004-11-09,2.13,0.7714481,0.458799212726577
2004-11-10,0,0.6820809,0.229708520808201
2004-11-11,7.52,0.6343335,1.15153598010749
2004-11-12,0.06,0.6871911,0.438979124638731
2004-11-13,0.32,0.7144714,0.256491603209761
2004-11-14,0.25,0.7467596,0.172336303911372
2004-11-15,0.03,0.6498458,0.112214049177986
2004-11-16,0,0.5261134,0.0778022837474589
2004-11-17,0.13,0.7804892,0.0651368474421806
2004-11-18,1.38,0.9692749,0.148840208659324
2004-11-19,8.88,0.9393669,1.30260023491469
2004-11-20,5.37,0.6592451,1.29274200779296
2004-11-21,0,0.4911742,0.464843123291224
2004-11-22,1.16,0.5215181,0.365352113160276
2004-11-23,1.51,0.9227881,0.363999088255265
2004-11-24,3.09,0.943699,0.573323728724219
2004-11-25,0,0.5339188,0.269038484764392
2004-11-26,0,0.4981881,0.155006605982252
2004-11-27,0.03,0.6245914,0.103301559325125
2004-11-28,4.11,0.839671,0.514006611503843
2004-11-29,0.04,0.8040129,0.253473772504213
2004-11-30,0,0.7893474,0.148153621036584
2004-12-01,0,0.6858214,0.0974272297028249
2004-12-02,4.03,0.6522361,0.496737915289793
2004-12-03,0.91,0.6546811,0.348303370427723
2004-12-04,0.34,0.6343503,0.222611064323956
2004-12-05,0,0.4875218,0.134133190000728
2004-12-06,0,0.4631441,0.0899487096642885
2004-12-07,0,0.6280405,0.0648017664082995
2004-12-08,0,0.6087703,0.049124439613404
2004-12-09,0,0.6529787,0.0386758241102015
2004-12-10,0,0.5383515,0.0313487604079027
2004-12-11,0,0.422851,0.0260014519681367
2004-12-12,0,0.3872977,0.0219716710082494
2004-12-13,0,0.3944114,0.0188537398806109
2004-12-14,0,0.3857142,0.0163877234804239
2004-12-15,0,0.363615,0.0144007004795992
2004-12-16,0,0.3932182,0.0127739173215029
2004-12-17,4.62,0.4902821,0.404927432336053
2004-12-18,17.88,0.6691674,3.26000992292894
2004-12-19,2.04,0.611173,1.15410165389619
2004-12-20,5.29,0.5502534,1.25444540237137
2004-12-21,0,0.3892653,0.455902525065796
2004-12-22,0.12,0.3102131,0.241725616184578
2004-12-23,1.32,0.4280471,0.279620445286858
2004-12-24,3.09,0.6583146,0.532656230936717
2004-12-25,5.01,0.8281793,0.971281709852042
2004-12-26,7.73,0.6941871,1.63559999555793
2004-12-27,0,0.5527822,0.540010779833758
2004-12-28,0,0.4746404,0.257946631745035
2004-12-29,5.72,0.4642913,0.927394692503161
2004-12-30,4.41,0.5442014,1.04205352552225
2004-12-31,0.03,0.5549419,0.407861368121938
2005-01-01,1.26,0.6894726,0.359023270467713
2005-01-02,2.69,0.8096346,0.529029683804407
2005-01-03,1.61,0.6931758,0.45787897210608
2005-01-04,0.55,0.6132231,0.292524003822709
2005-01-05,0.03,0.6386116,0.168017010495851
2005-01-06,3.78,0.6912808,0.55584212270007
2005-01-07,1.83,0.7893056,0.500202728858972
2005-01-08,0.06,0.9149299,0.25111972183185
2005-01-09,1.97,0.8233667,0.369196833148661
2005-01-10,0.07,0.7597027,0.203548857066844
2005-01-11,1.94,0.9431185,0.334477767183137
2005-01-12,1.97,0.8727531,0.417534690484238
2005-01-13,4.68,0.8354181,0.872863101627876
2005-01-14,0.04,0.6119324,0.364142870155843
2005-01-15,0,0.4819481,0.194241737327164
2005-01-16,0,0.4505649,0.120677633050072
2005-01-17,0,0.3954557,0.0825626694510669
2005-01-18,5.88,0.5186266,0.783337541190101
2005-01-19,17.98,0.7058651,3.65786621510742
2005-01-20,0.63,0.6284215,0.984860953794572
2005-01-21,11.24,0.902652,2.3785668842454
2005-01-22,5.7,0.7698514,1.68752275565905
2005-01-23,0.09,0.6219703,0.56420748826938
