"Date","P","E","MIV_Q_sim"
2004-09-02,0,2.113637,0
2004-09-03,0,2.284305,0
2004-09-04,0,2.757288,0
2004-09-05,0,2.852728,0
2004-09-06,0,2.882288,0
2004-09-07,0,2.759263,0
2004-09-08,0,2.680601,0
2004-09-09,0,2.677378,0
2004-09-10,0,2.387042,0
2004-09-11,0,2.376496,0
2004-09-12,2.56,2.716567,0.00583258872069716
2004-09-13,0.4,2.149183,0.00808333560287661
2004-09-14,0,2.107571,0.00742392364488539
2004-09-15,1.41,1.976001,0.020341498184349
2004-09-16,0.28,1.704098,0.0209676982066507
2004-09-17,0,1.448402,0.0180650479268904
2004-09-18,0,1.587894,0.0157558993465495
2004-09-19,0,1.871197,0.0138860100862
2004-09-20,2.26,1.978648,0.0444128117566349
2004-09-21,0,1.634728,0.0354118041778736
2004-09-22,1.32,1.840719,0.0525880747271942
2004-09-23,1.79,1.640583,0.0799369803771318
2004-09-24,14.07,1.869767,0.644721218781623
2004-09-25,0.45,1.48158,0.311550868422415
2004-09-26,0.67,1.552072,0.197548620762896
2004-09-27,0.19,1.701439,0.12820725392894
2004-09-28,0.17,1.707937,0.0912910117684294
2004-09-29,0.22,1.918793,0.0708300545043864
2004-09-30,0.24,1.802173,0.0581512960159297
2004-10-01,0,1.592697,0.0447642529648583
2004-10-02,1.83,1.870887,0.0740982856520476
2004-10-03,0,1.646764,0.0550599769248616
2004-10-04,0,1.448458,0.0427023256245382
2004-10-05,0,1.877995,0.0342109804762245
2004-10-06,0.18,2.073062,0.0309002521281302
2004-10-07,6.15,1.500013,0.189354629998768
2004-10-08,0,1.218998,0.118298750791963
2004-10-09,0.46,1.205347,0.0935010809064547
2004-10-10,1.81,1.369293,0.115855693801656
2004-10-11,0,1.256048,0.0798619122471158
2004-10-12,0.03,1.158983,0.0593204843549358
2004-10-13,0.09,1.209478,0.0473123541369385
2004-10-14,0,1.27022,0.0374278824941393
2004-10-15,12.23,1.358412,0.480387135848697
2004-10-16,6.52,1.145263,0.549279179703007
2004-10-17,7.73,1.05341,0.650963886599931
2004-10-18,8.21,1.068011,0.726774739010242
2004-10-19,3.43,1.118989,0.48852010592263
2004-10-20,0,1.071919,0.240253150181773
2004-10-21,26.45,1.69434,1.74195356125679
2004-10-22,6.71,1.454203,0.979211053045468
2004-10-23,0,1.153814,0.387613955493503
2004-10-24,0,1.585888,0.20332912376654
2004-10-25,1.91,1.457917,0.197447506533721
2004-10-26,0.13,1.476742,0.126682090694553
2004-10-27,0,1.06086,0.0858852499889448
2004-10-28,1.34,1.060081,0.10016441279598
2004-10-29,11.48,1.32757,0.605531554856269
2004-10-30,9.61,1.257509,0.837029975215082
2004-10-31,1.02,1.106807,0.402900178403245
2004-11-01,0,1.089128,0.209138074958643
2004-11-02,0.51,1.114508,0.146526735577222
2004-11-03,2.28,1.132146,0.179836816885344
2004-11-04,0.87,1.165112,0.144801212639154
2004-11-05,7.84,1.214399,0.456608108210236
2004-11-06,0,0.9872853,0.228920860222894
2004-11-07,5.06,0.9161867,0.371060653641861
2004-11-08,0.3,0.8776983,0.210034402654123
2004-11-09,2.13,0.7714481,0.214963711226963
2004-11-10,0,0.6820809,0.130562924847989
2004-11-11,7.52,0.6343335,0.432308038018927
2004-11-12,0.06,0.6871911,0.222819092483853
2004-11-13,0.32,0.7144714,0.146445394111863
2004-11-14,0.25,0.7467596,0.104813948757414
2004-11-15,0.03,0.6498458,0.0744264367960221
2004-11-16,0,0.5261134,0.0552663168859411
2004-11-17,0.13,0.7804892,0.0457580147601095
2004-11-18,1.38,0.9692749,0.0698193739608293
2004-11-19,8.88,0.9393669,0.442632639240913
2004-11-20,5.37,0.6592451,0.515904577987705
2004-11-21,0,0.4911742,0.249749812329043
2004-11-22,1.16,0.5215181,0.195233976018884
2004-11-23,1.51,0.9227881,0.181584180602909
2004-11-24,3.09,0.943699,0.246008502628944
2004-11-25,0,0.5339188,0.144816679422719
2004-11-26,0,0.4981881,0.0956663092694101
2004-11-27,0.03,0.6245914,0.0690660385098015
2004-11-28,4.11,0.839671,0.198873550716109
2004-11-29,0.04,0.8040129,0.124404883274485
2004-11-30,0,0.7893474,0.0846303238346557
2004-12-01,0,0.6858214,0.0615823880430972
2004-12-02,4.03,0.6522361,0.187113844142686
2004-12-03,0.91,0.6546811,0.152439088096682
2004-12-04,0.34,0.6343503,0.111561168572323
2004-12-05,0,0.4875218,0.0774311694845696
2004-12-06,0,0.4631441,0.0571461029121884
2004-12-07,0,0.6280405,0.0440963215697672
2004-12-08,0,0.6087703,0.0351902722456056
2004-12-09,0,0.6529787,0.028828484634834
2004-12-10,0,0.5383515,0.0241165533283295
2004-12-11,0,0.422851,0.0205225156117648
2004-12-12,0,0.3872977,0.0177137233134594
2004-12-13,0,0.3944114,0.0154733569114693
2004-12-14,0,0.3857142,0.0136550787663321
2004-12-15,0,0.363615,0.0121571421515718
2004-12-16,0,0.3932182,0.0109069680553302
2004-12-17,4.62,0.4902821,0.122751595306671
2004-12-18,17.88,0.6691674,1.1757237739185
2004-12-19,2.04,0.611173,0.565344357179933
2004-12-20,5.29,0.5502534,0.581968826140703
2004-12-21,0,0.3892653,0.271874391523508
2004-12-22,0.12,0.3102131,0.16138824255382
2004-12-23,1.32,0.4280471,0.156391205825474
2004-12-24,3.09,0.6583146,0.235721403393198
2004-12-25,5.01,0.8281793,0.398131643531369
2004-12-26,7.73,0.6941871,0.677174090106658
2004-12-27,0,0.5527822,0.302048384783055
2004-12-28,0,0.4746404,0.169107635138912
2004-12-29,5.72,0.4642913,0.397377019332346
2004-12-30,4.41,0.5442014,0.458741439300957
2004-12-31,0.03,0.5549419,0.231218103020834
2005-01-01,1.26,0.6894726,0.194863565580765
2005-01-02,2.69,0.8096346,0.245964603199377
2005-01-03,1.61,0.6931758,0.220189026976297
2005-01-04,0.55,0.6132231,0.156611364468725
2005-01-05,0.03,0.6386116,0.102952443953468
2005-01-06,3.78,0.6912808,0.233445278135215
2005-01-07,1.83,0.7893056,0.225156810840123
2005-01-08,0.06,0.9149299,0.137842200673002
2005-01-09,1.97,0.8233667,0.173240132801437
2005-01-10,0.07,0.7597027,0.113031592586446
2005-01-11,1.94,0.9431185,0.153934571352392
2005-01-12,1.97,0.8727531,0.184554750598582
2005-01-13,4.68,0.8354181,0.354961427073235
2005-01-14,0.04,0.6119324,0.192576558578396
2005-01-15,0,0.4819481,0.119869196484607
2005-01-16,0,0.4505649,0.0821119236227627
2005-01-17,0,0.3954557,0.0600410333004801
2005-01-18,5.88,0.5186266,0.303210194051146
2005-01-19,17.98,0.7058651,1.49556987944253
2005-01-20,0.63,0.6284215,0.55435861497737
2005-01-21,11.24,0.902652,1.08452804337613
2005-01-22,5.7,0.7698514,0.835648850506831
