"Date","P","E","MV_Q_sim"
2004-09-02,0,2.113637,0
2004-09-03,0,2.284305,0
2004-09-04,0,2.757288,0
2004-09-05,0,2.852728,0
2004-09-06,0,2.882288,0
2004-09-07,0,2.759263,0
2004-09-08,0,2.680601,0
2004-09-09,0,2.677378,0
2004-09-10,0,2.387042,0
2004-09-11,0,2.376496,0
2004-09-12,2.56,2.716567,0.00076775342759072
2004-09-13,0.4,2.149183,0.00700195275772199
2004-09-14,0,2.107571,0.00792229105242688
2004-09-15,1.41,1.976001,0.0128477267392603
2004-09-16,0.28,1.704098,0.0209933679092687
2004-09-17,0,1.448402,0.0198526985052719
2004-09-18,0,1.587894,0.0171832280157386
2004-09-19,0,1.871197,0.0150454176452212
2004-09-20,2.26,1.978648,0.0263220524658803
2004-09-21,0,1.634728,0.0407251029028466
2004-09-22,1.32,1.840719,0.0437788760523074
2004-09-23,1.79,1.640583,0.0656304366734925
2004-09-24,14.07,1.869767,0.303884142671921
2004-09-25,0.45,1.48158,0.504280003628588
2004-09-26,0.67,1.552072,0.268595105714842
2004-09-27,0.19,1.701439,0.17015098143102
2004-09-28,0.17,1.707937,0.114119225262899
2004-09-29,0.22,1.918793,0.083879217624471
2004-09-30,0.24,1.802173,0.0663980293222089
2004-10-01,0,1.592697,0.0527612050108851
2004-10-02,1.83,1.870887,0.0588458134136607
2004-10-03,0,1.646764,0.0657501285427532
2004-10-04,0,1.448458,0.0497381801025122
2004-10-05,0,1.877995,0.0390964575439857
2004-10-06,0.18,2.073062,0.0330422570119714
2004-10-07,6.15,1.500013,0.0916491060776398
2004-10-08,0,1.218998,0.160191184074155
2004-10-09,0.46,1.205347,0.110069609473295
2004-10-10,1.81,1.369293,0.106560300577906
2004-10-11,0,1.256048,0.099854029160649
2004-10-12,0.03,1.158983,0.0710217904257195
2004-10-13,0.09,1.209478,0.0543564109170507
2004-10-14,0,1.27022,0.0431214248445
2004-10-15,12.23,1.358412,0.201184166492102
2004-10-16,6.52,1.145263,0.541186533979043
2004-10-17,7.73,1.05341,0.609842519380316
2004-10-18,8.21,1.068011,0.692477307384707
2004-10-19,3.43,1.118989,0.612679719957976
2004-10-20,0,1.071919,0.365969554559864
2004-10-21,26.45,1.69434,0.879945738488072
2004-10-22,6.71,1.454203,1.42883166345712
2004-10-23,0,1.153814,0.701770410644802
2004-10-24,0,1.585888,0.309553978285505
2004-10-25,1.91,1.457917,0.209151164938777
2004-10-26,0.13,1.476742,0.16683774708679
2004-10-27,0,1.06086,0.109282886600778
2004-10-28,1.34,1.060081,0.0946312703625989
2004-10-29,11.48,1.32757,0.306958353534296
2004-10-30,9.61,1.257509,0.73723063371944
2004-10-31,1.02,1.106807,0.630421083146259
2004-11-01,0,1.089128,0.313776848550008
2004-11-02,0.51,1.114508,0.183884510907158
2004-11-03,2.28,1.132146,0.165664764721658
2004-11-04,0.87,1.165112,0.165155588261602
2004-11-05,7.84,1.214399,0.280122783512625
2004-11-06,0,0.9872853,0.35071726731735
2004-11-07,5.06,0.9161867,0.300728502021527
2004-11-08,0.3,0.8776983,0.295658345468858
2004-11-09,2.13,0.7714481,0.216358208865562
2004-11-10,0,0.6820809,0.174890334808102
2004-11-11,7.52,0.6343335,0.261144983355544
2004-11-12,0.06,0.6871911,0.336145081254683
2004-11-13,0.32,0.7144714,0.190971672407868
2004-11-14,0.25,0.7467596,0.129494466048016
2004-11-15,0.03,0.6498458,0.0920045320899091
2004-11-16,0,0.5261134,0.0664641190128505
2004-11-17,0.13,0.7804892,0.0516871781681586
2004-11-18,1.38,0.9692749,0.0574696857512741
2004-11-19,8.88,0.9393669,0.218730151438444
2004-11-20,5.37,0.6592451,0.494865611913836
2004-11-21,0,0.4911742,0.389460619259219
2004-11-22,1.16,0.5215181,0.229445478221832
2004-11-23,1.51,0.9227881,0.192233900928134
2004-11-24,3.09,0.943699,0.213522358321487
2004-11-25,0,0.5339188,0.196960310490769
2004-11-26,0,0.4981881,0.12199284760233
2004-11-27,0.03,0.6245914,0.083739588794618
2004-11-28,4.11,0.839671,0.124943112900372
2004-11-29,0.04,0.8040129,0.165349016020659
2004-11-30,0,0.7893474,0.107059047773415
2004-12-01,0,0.6858214,0.0748562665269606
2004-12-02,4.03,0.6522361,0.11556099298269
2004-12-03,0.91,0.6546811,0.174387084570731
2004-12-04,0.34,0.6343503,0.134706296638402
2004-12-05,0,0.4875218,0.0961601918648255
2004-12-06,0,0.4631441,0.0685032847280829
2004-12-07,0,0.6280405,0.0515090566852716
2004-12-08,0,0.6087703,0.0403044996593331
2004-12-09,0,0.6529787,0.032512643964761
2004-12-10,0,0.5383515,0.0268636802222716
2004-12-11,0,0.422851,0.0226293998249225
2004-12-12,0,0.3872977,0.0193677758271408
2004-12-13,0,0.3944114,0.0167977231701041
2004-12-14,0,0.3857142,0.0147334396378969
2004-12-15,0,0.363615,0.0130480175150983
2004-12-16,0,0.3932182,0.0116523104901066
2004-12-17,4.62,0.4902821,0.0490763460877378
2004-12-18,17.88,0.6691674,0.5569605424011
2004-12-19,2.04,0.611173,0.926815991246583
2004-12-20,5.29,0.5502534,0.597438068142805
2004-12-21,0,0.3892653,0.434932500366388
2004-12-22,0.12,0.3102131,0.223832449812535
2004-12-23,1.32,0.4280471,0.163605015153738
2004-12-24,3.09,0.6583146,0.19563792348046
2004-12-25,5.01,0.8281793,0.312341433021938
2004-12-26,7.73,0.6941871,0.529495489432134
2004-12-27,0,0.5527822,0.492528887655975
2004-12-28,0,0.4746404,0.241656122570534
2004-12-29,5.72,0.4642913,0.274647448183388
2004-12-30,4.41,0.5442014,0.433936012689668
2004-12-31,0.03,0.5549419,0.347835988395007
2005-01-01,1.26,0.6894726,0.217754893510183
2005-01-02,2.69,0.8096346,0.221112382966635
2005-01-03,1.61,0.6931758,0.235259997278733
2005-01-04,0.55,0.6132231,0.189843126331454
2005-01-05,0.03,0.6386116,0.130752534132443
2005-01-06,3.78,0.6912808,0.160829683319562
2005-01-07,1.83,0.7893056,0.232519193607719
2005-01-08,0.06,0.9149299,0.183139447267248
2005-01-09,1.97,0.8233667,0.155922354221238
2005-01-10,0.07,0.7597027,0.144441621959216
2005-01-11,1.94,0.9431185,0.132993729491017
2005-01-12,1.97,0.8727531,0.169307659964121
2005-01-13,4.68,0.8354181,0.261709885264289
2005-01-14,0.04,0.6119324,0.27623960350327
2005-01-15,0,0.4819481,0.15908058556632
2005-01-16,0,0.4505649,0.103114840812556
2005-01-17,0,0.3954557,0.072577203755133
2005-01-18,5.88,0.5186266,0.158501971078361
2005-01-19,17.98,0.7058651,0.830351864329818
2005-01-20,0.63,0.6284215,1.06483386729686
2005-01-21,11.24,0.902652,0.824474495307531
2005-01-22,5.7,0.7698514,0.98194075775226
2005-01-23,0.09,0.6219703,0.599490922186563
