"Date","P","E","MVII_Q_sim"
2004-09-02,0,2.113637,0
2004-09-03,0,2.284305,0
2004-09-04,0,2.757288,0
2004-09-05,0,2.852728,0
2004-09-06,0,2.882288,0
2004-09-07,0,2.759263,0
2004-09-08,0,2.680601,0
2004-09-09,0,2.677378,0
2004-09-10,0,2.387042,0
2004-09-11,0,2.376496,0
2004-09-12,2.56,2.716567,0.101991990861347
2004-09-13,0.4,2.149183,0.101147590347402
2004-09-14,0,2.107571,0.0824598976653197
2004-09-15,1.41,1.976001,0.125890568382556
2004-09-16,0.28,1.704098,0.118560265133664
2004-09-17,0,1.448402,0.0972872548603042
2004-09-18,0,1.587894,0.0791513209320775
2004-09-19,0,1.871197,0.0645604424199382
2004-09-20,2.26,1.978648,0.15074267586863
2004-09-21,0,1.634728,0.134015509906865
2004-09-22,1.32,1.840719,0.168080239534039
2004-09-23,1.79,1.640583,0.227109381378761
2004-09-24,14.07,1.869767,0.914084818014583
2004-09-25,0.45,1.48158,0.949748675532881
2004-09-26,0.67,1.552072,0.705530827394687
2004-09-27,0.19,1.701439,0.543531045915124
2004-09-28,0.17,1.707937,0.427136745465223
2004-09-29,0.22,1.918793,0.346009212017564
2004-09-30,0.24,1.802173,0.286685916217686
2004-10-01,0,1.592697,0.229891393332702
2004-10-02,1.83,1.870887,0.269577030340927
2004-10-03,0,1.646764,0.230266468393049
2004-10-04,0,1.448458,0.183232475751379
2004-10-05,0,1.877995,0.146902236060934
2004-10-06,0.18,2.073062,0.126640648851496
2004-10-07,6.15,1.500013,0.39240287635707
2004-10-08,0,1.218998,0.377148345752404
2004-10-09,0.46,1.205347,0.311407576838986
2004-10-10,1.81,1.369293,0.336336165607025
2004-10-11,0,1.256048,0.281604309903861
2004-10-12,0.03,1.158983,0.221931777723098
2004-10-13,0.09,1.209478,0.180477987106785
2004-10-14,0,1.27022,0.144981033240907
2004-10-15,12.23,1.358412,0.719100311403068
2004-10-16,6.52,1.145263,1.11058155510492
2004-10-17,7.73,1.05341,1.34180544489197
2004-10-18,8.21,1.068011,1.56304653045458
2004-10-19,3.43,1.118989,1.4425565015064
2004-10-20,0,1.071919,1.07115402557854
2004-10-21,26.45,1.69434,2.33229125376539
2004-10-22,6.71,1.454203,2.68174797347359
2004-10-23,0,1.153814,1.8499640255613
2004-10-24,0,1.585888,1.29666943658559
2004-10-25,1.91,1.457917,1.08285478951723
2004-10-26,0.13,1.476742,0.870905573894543
2004-10-27,0,1.06086,0.679875090768616
2004-10-28,1.34,1.060081,0.603112940030294
2004-10-29,11.48,1.32757,1.10135440173925
2004-10-30,9.61,1.257509,1.61678398534821
2004-10-31,1.02,1.106807,1.38516155393337
2004-11-01,0,1.089128,0.982692155395344
2004-11-02,0.51,1.114508,0.759389447150542
2004-11-03,2.28,1.132146,0.711683581760872
2004-11-04,0.87,1.165112,0.628325817079055
2004-11-05,7.84,1.214399,0.918987360410523
2004-11-06,0,0.9872853,0.829463494479678
2004-11-07,5.06,0.9161867,0.885895632483353
2004-11-08,0.3,0.8776983,0.764344607913447
2004-11-09,2.13,0.7714481,0.686586643536014
2004-11-10,0,0.6820809,0.553190445282346
2004-11-11,7.52,0.6343335,0.827171223535094
2004-11-12,0.06,0.6871911,0.757568164937821
2004-11-13,0.32,0.7144714,0.571462190179739
2004-11-14,0.25,0.7467596,0.452854485731956
2004-11-15,0.03,0.6498458,0.356506899743134
2004-11-16,0,0.5261134,0.281045904082413
2004-11-17,0.13,0.7804892,0.229707723894864
2004-11-18,1.38,0.9692749,0.250711365260453
2004-11-19,8.88,0.9393669,0.670753462691196
2004-11-20,5.37,0.6592451,0.974094559843899
2004-11-21,0,0.4911742,0.791426031278886
2004-11-22,1.16,0.5215181,0.629780510629337
2004-11-23,1.51,0.9227881,0.572122699409859
2004-11-24,3.09,0.943699,0.623795911088595
2004-11-25,0,0.5339188,0.52034765065405
2004-11-26,0,0.4981881,0.39448115619211
2004-11-27,0.03,0.6245914,0.308350758795819
2004-11-28,4.11,0.839671,0.450742718928458
2004-11-29,0.04,0.8040129,0.408898860821383
2004-11-30,0,0.7893474,0.313268071798695
2004-12-01,0,0.6858214,0.244797900882825
2004-12-02,4.03,0.6522361,0.394837293972774
2004-12-03,0.91,0.6546811,0.409486730354135
2004-12-04,0.34,0.6343503,0.341991329053525
2004-12-05,0,0.4875218,0.268230869246418
2004-12-06,0,0.4631441,0.21029632730873
2004-12-07,0,0.6280405,0.166958996075107
2004-12-08,0,0.6087703,0.133725464934654
2004-12-09,0,0.6529787,0.107838770283845
2004-12-10,0,0.5383515,0.0874632606207598
2004-12-11,0,0.422851,0.0713066292842762
2004-12-12,0,0.3872977,0.0584239936684598
2004-12-13,0,0.3944114,0.0481063997557287
2004-12-14,0,0.3857142,0.0398122990690427
2004-12-15,0,0.363615,0.0331227538026468
2004-12-16,0,0.3932182,0.027710704912816
2004-12-17,4.62,0.4902821,0.232425015428608
2004-12-18,17.88,0.6691674,1.23411523066505
2004-12-19,2.04,0.611173,1.42626909143365
2004-12-20,5.29,0.5502534,1.28175098916085
2004-12-21,0,0.3892653,1.00390741477619
2004-12-22,0.12,0.3102131,0.724803533997588
2004-12-23,1.32,0.4280471,0.62150771538764
2004-12-24,3.09,0.6583146,0.665208807841237
2004-12-25,5.01,0.8281793,0.83935898009476
2004-12-26,7.73,0.6941871,1.1749857188801
2004-12-27,0,0.5527822,1.00107094299645
2004-12-28,0,0.4746404,0.70480219000108
2004-12-29,5.72,0.4642913,0.847772071745542
2004-12-30,4.41,0.5442014,1.0025681231412
2004-12-31,0.03,0.5549419,0.812891954689887
2005-01-01,1.26,0.6894726,0.663922468928089
2005-01-02,2.69,0.8096346,0.671712367049652
2005-01-03,1.61,0.6931758,0.64365733912708
2005-01-04,0.55,0.6132231,0.541546347280272
2005-01-05,0.03,0.6386116,0.422644307290097
2005-01-06,3.78,0.6912808,0.527527612098605
2005-01-07,1.83,0.7893056,0.566713226861744
2005-01-08,0.06,0.9149299,0.458957534348396
2005-01-09,1.97,0.8233667,0.454769375372318
2005-01-10,0.07,0.7597027,0.382329224752537
2005-01-11,1.94,0.9431185,0.396835012423319
2005-01-12,1.97,0.8727531,0.439716914229263
2005-01-13,4.68,0.8354181,0.624405843502807
2005-01-14,0.04,0.6119324,0.552298416835965
2005-01-15,0,0.4819481,0.406524169587592
2005-01-16,0,0.4505649,0.310863774954218
2005-01-17,0,0.3954557,0.242968312589135
2005-01-18,5.88,0.5186266,0.495497272373421
2005-01-19,17.98,0.7058651,1.57958591038694
2005-01-20,0.63,0.6284215,1.59531414890189
2005-01-21,11.24,0.902652,1.73021221819143
2005-01-22,5.7,0.7698514,1.84262537006881
2005-01-23,0.09,0.6219703,1.36459767284747
2005-01-24,0.58,0.5759695,0.99135214696236
