"Date","P","E","MIX_Q_sim"
2004-09-02,0,2.113637,0
2004-09-03,0,2.284305,0
2004-09-04,0,2.757288,0
2004-09-05,0,2.852728,0
2004-09-06,0,2.882288,0
2004-09-07,0,2.759263,0
2004-09-08,0,2.680601,0
2004-09-09,0,2.677378,0
2004-09-10,0,2.387042,0
2004-09-11,0,2.376496,0
2004-09-12,2.56,2.716567,0.046061266217724
2004-09-13,0.4,2.149183,0.0402550411297468
2004-09-14,0,2.107571,0.0289470354952425
2004-09-15,1.41,1.976001,0.0462034723837127
2004-09-16,0.28,1.704098,0.0383173648190092
2004-09-17,0,1.448402,0.0276791974276029
2004-09-18,0,1.587894,0.0200824615313796
2004-09-19,0,1.871197,0.0146567202430251
2004-09-20,2.26,1.978648,0.0512966443025154
2004-09-21,0,1.634728,0.0370945066868283
2004-09-22,1.32,1.840719,0.0506072998352278
2004-09-23,1.79,1.640583,0.06881762477083
2004-09-24,14.07,1.869767,0.30749153951405
2004-09-25,0.45,1.48158,0.229447580894634
2004-09-26,0.67,1.552072,0.177783252023207
2004-09-27,0.19,1.701439,0.132147430717992
2004-09-28,0.17,1.707937,0.0992005510530323
2004-09-29,0.22,1.918793,0.0765878831505157
2004-09-30,0.24,1.802173,0.060807020164364
2004-10-01,0,1.592697,0.0451655861144992
2004-10-02,1.83,1.870887,0.0673730687078921
2004-10-03,0,1.646764,0.0499524847676599
2004-10-04,0,1.448458,0.0374993013354027
2004-10-05,0,1.877995,0.0285920123291327
2004-10-06,0.18,2.073062,0.0254850431680109
2004-10-07,6.15,1.500013,0.132618134102466
2004-10-08,0,1.218998,0.096901530379954
2004-10-09,0.46,1.205347,0.0798006309829731
2004-10-10,1.81,1.369293,0.0923635912995645
2004-10-11,0,1.256048,0.068269685764204
2004-10-12,0.03,1.158983,0.0515973014419831
2004-10-13,0.09,1.209478,0.0407725931958024
2004-10-14,0,1.27022,0.0313842099802463
2004-10-15,12.23,1.358412,0.252033478364238
2004-10-16,6.52,1.145263,0.305362392480536
2004-10-17,7.73,1.05341,0.368159803698486
2004-10-18,8.21,1.068011,0.424426374189356
2004-10-19,3.43,1.118989,0.373787741804418
2004-10-20,0,1.071919,0.271794473945047
2004-10-21,26.45,1.69434,0.727335815019188
2004-10-22,6.71,1.454203,0.661396466269577
2004-10-23,0,1.153814,0.479599684762363
2004-10-24,0,1.585888,0.349759584523641
2004-10-25,1.91,1.457917,0.295486722047602
2004-10-26,0.13,1.476742,0.220966384488294
2004-10-27,0,1.06086,0.165094140040233
2004-10-28,1.34,1.060081,0.152125996997312
2004-10-29,11.48,1.32757,0.35070793361121
2004-10-30,9.61,1.257509,0.45759577196757
2004-10-31,1.02,1.106807,0.356702220996307
2004-11-01,0,1.089128,0.263540059847633
2004-11-02,0.51,1.114508,0.207515222214255
2004-11-03,2.28,1.132146,0.204252258708722
2004-11-04,0.87,1.165112,0.172762042219683
2004-11-05,7.84,1.214399,0.296690949341884
2004-11-06,0,0.9872853,0.221235903554531
2004-11-07,5.06,0.9161867,0.274057545955474
2004-11-08,0.3,0.8776983,0.211654261082046
2004-11-09,2.13,0.7714481,0.205758778712153
2004-11-10,0,0.6820809,0.156589451826093
2004-11-11,7.52,0.6343335,0.281956294438878
2004-11-12,0.06,0.6871911,0.212716167666326
2004-11-13,0.32,0.7144714,0.168746006282271
2004-11-14,0.25,0.7467596,0.135793206404033
2004-11-15,0.03,0.6498458,0.107499411381842
2004-11-16,0,0.5261134,0.0865677711152269
2004-11-17,0.13,0.7804892,0.0743002955893275
2004-11-18,1.38,0.9692749,0.0921377470269006
2004-11-19,8.88,0.9393669,0.267152244451977
2004-11-20,5.37,0.6592451,0.317780018315864
2004-11-21,0,0.4911742,0.237552824453184
2004-11-22,1.16,0.5215181,0.205419434886731
2004-11-23,1.51,0.9227881,0.19014150108996
2004-11-24,3.09,0.943699,0.21392982796387
2004-11-25,0,0.5339188,0.163510667335651
2004-11-26,0,0.4981881,0.127414635419357
2004-11-27,0.03,0.6245914,0.102198726371605
2004-11-28,4.11,0.839671,0.173664566204498
2004-11-29,0.04,0.8040129,0.135592183938605
2004-11-30,0,0.7893474,0.107435682869139
2004-12-01,0,0.6858214,0.0872322171487939
2004-12-02,4.03,0.6522361,0.161483703411983
2004-12-03,0.91,0.6546811,0.146024220723174
2004-12-04,0.34,0.6343503,0.122398180172514
2004-12-05,0,0.4875218,0.0979626709262204
2004-12-06,0,0.4631441,0.0804157816352452
2004-12-07,0,0.6280405,0.067787002321113
2004-12-08,0,0.6087703,0.0586697800559975
2004-12-09,0,0.6529787,0.0520601124441
2004-12-10,0,0.5383515,0.0472413362522777
2004-12-11,0,0.422851,0.04370188996517
2004-12-12,0,0.3872977,0.0410766130041203
2004-12-13,0,0.3944114,0.0391048453285567
2004-12-14,0,0.3857142,0.037600519087448
2004-12-15,0,0.363615,0.0364308101511893
2004-12-16,0,0.3932182,0.0355008996540832
2004-12-17,4.62,0.4902821,0.136802507951696
2004-12-18,17.88,0.6691674,0.511746336609113
2004-12-19,2.04,0.611173,0.422783334222162
2004-12-20,5.29,0.5502534,0.433827642184353
2004-12-21,0,0.3892653,0.321372664504962
2004-12-22,0.12,0.3102131,0.243724215965832
2004-12-23,1.32,0.4280471,0.215613427620813
2004-12-24,3.09,0.6583146,0.236248916714874
2004-12-25,5.01,0.8281793,0.295868371239624
2004-12-26,7.73,0.6941871,0.403248755817304
2004-12-27,0,0.5527822,0.300464866449531
2004-12-28,0,0.4746404,0.226973075080679
2004-12-29,5.72,0.4642913,0.308477014671976
2004-12-30,4.41,0.5442014,0.336920171369314
2004-12-31,0.03,0.5549419,0.254289320868604
2005-01-01,1.26,0.6894726,0.22419385413163
2005-01-02,2.69,0.8096346,0.236619324436586
2005-01-03,1.61,0.6931758,0.220129742893716
2005-01-04,0.55,0.6132231,0.183271664454239
2005-01-05,0.03,0.6386116,0.144560313785164
2005-01-06,3.78,0.6912808,0.206043083662385
2005-01-07,1.83,0.7893056,0.203840324788126
2005-01-08,0.06,0.9149299,0.160116215059779
2005-01-09,1.97,0.8233667,0.174383913491604
2005-01-10,0.07,0.7597027,0.139266934180705
2005-01-11,1.94,0.9431185,0.158788971456008
2005-01-12,1.97,0.8727531,0.17359083964656
2005-01-13,4.68,0.8354181,0.249745174625221
2005-01-14,0.04,0.6119324,0.192673799770495
2005-01-15,0,0.4819481,0.150844184797299
2005-01-16,0,0.4505649,0.120854524171342
2005-01-17,0,0.3954557,0.0993174840621261
2005-01-18,5.88,0.5186266,0.226272161682701
2005-01-19,17.98,0.7058651,0.620295251720523
2005-01-20,0.63,0.6284215,0.473412553395405
2005-01-21,11.24,0.902652,0.635187089835117
2005-01-22,5.7,0.7698514,0.613446538603223
2005-01-23,0.09,0.6219703,0.456515959509818
