"Date","P","E","Q"
2005-01-01,0,0.9428,0.092381718
2005-01-02,0,0.9377,0.092978572
2005-01-03,28.38,0.8657,13.67108023
2005-01-04,37.25,0.727,17.12845472
2005-01-05,52.07,0.6537,22.82452383
2005-01-06,6.81,0.4365,2.891730297
2005-01-07,0,0.4832,0.093968248
2005-01-08,0,0.6059,0.094056744
2005-01-09,0,0.7575,0.094130223
2005-01-10,0,0.854,0.094191808
2005-01-11,0,0.9212,0.094243902
2005-01-12,0,0.9612,0.094288278
2005-01-13,44.78,0.739,13.10439592
2005-01-14,0,0.5918,0.09436579
2005-01-15,0,0.5885,0.094397146
2005-01-16,0,0.5436,0.094424578
2005-01-17,0,0.5343,0.094448653
2005-01-18,0,0.6298,0.094469683
2005-01-19,0,0.7941,0.094487987
2005-01-20,0,0.9408,0.094503836
2005-01-21,0,0.9727,0.094517519
2005-01-22,0,0.8623,0.094529353
2005-01-23,0,0.6258,0.09453967
2005-01-24,0,0.7767,0.094548567
2005-01-25,0,1.0463,0.094556067
2005-01-26,0,1.1025,0.094562294
2005-01-27,0,0.9019,0.094567479
2005-01-28,0,0.6924,0.094571832
2005-01-29,7,0.5504,1.110727024
2005-01-30,0,0.6685,0.094579673
2005-01-31,3,0.6448,0.503475435
2005-02-01,0,0.7124,0.094585671
2005-02-02,6.06,0.6356,0.885285876
2005-02-03,0,0.9668,0.094590473
2005-02-04,0,1.109,0.094592046
2005-02-05,0,1.2206,0.094593087
2005-02-06,6.5,1.0771,0.877404902
2005-02-07,4.57,1.0562,0.635196896
2005-02-08,0,1.0987,0.094595536
2005-02-09,5.19,0.9087,0.691277236
2005-02-10,0,1.1116,0.094596151
2005-02-11,0,1.315,0.094595835
2005-02-12,0,1.4144,0.0945951
2005-02-13,10,1.2747,1.194427653
2005-02-14,0,1.7343,0.094593801
2005-02-15,0,1.9302,0.094592364
2005-02-16,0,1.6916,0.094590519
2005-02-17,0,1.2488,0.094588242
2005-02-18,0,1.461,0.094585468
2005-02-19,3.3,1.2448,0.440988117
2005-02-20,0,1.8874,0.094579702
2005-02-21,4.53,1.7143,0.565586547
2005-02-22,0,1.7733,0.09457333
2005-02-23,15.47,1.2676,1.692416772
2005-02-24,4.02,1.1443,0.507628328
2005-02-25,0,1.7049,0.094566097
2005-02-26,0,1.9004,0.0945631
2005-02-27,0,1.8419,0.09455946
2005-02-28,0,1.5018,0.094555397
2005-03-01,0,1.4992,0.094550944
2005-03-02,0,1.7286,0.094546015
2005-03-03,0,1.9588,0.094540529
2005-03-04,0,2.2214,0.094534392
2005-03-05,0,2.2613,0.094527628
2005-03-06,0,2.3404,0.094520238
2005-03-07,0,2.3512,0.094512254
2005-03-08,0.4,1.8854,0.134434297
2005-03-09,0,1.6717,0.094496449
2005-03-10,0,2.0267,0.094488527
2005-03-11,0,2.1982,0.094480093
2005-03-12,0,2.7128,0.094470897
2005-03-13,0,2.8065,0.094460928
2005-03-14,0,2.0585,0.094450639
2005-03-15,0,1.8443,0.09444016
2005-03-16,0,1.8218,0.094429505
2005-03-17,0,2.2555,0.094418429
2005-03-18,0,2.5308,0.094406785
2005-03-19,0,2.5321,0.094394595
2005-03-20,0,2.7414,0.094381751
2005-03-21,16.87,2.191,1.774037617
2005-03-22,17.89,1.3409,1.875724164
2005-03-23,8.09,1.4944,0.89920488
2005-03-24,0,2.2697,0.094344098
2005-03-25,10,1.8736,1.088761659
2005-03-26,0,1.1752,0.094328613
2005-03-27,5.98,1.133,0.688760367
2005-03-28,0,2.7742,0.094314127
2005-03-29,0,3.4156,0.094305761
2005-03-30,0,2.9129,0.094296203
2005-03-31,0,3.3239,0.094285252
2005-04-01,14.75,2.5687,1.559654506
2005-04-02,0,3.1072,0.094265093
2005-04-03,0,3.6046,0.094253937
2005-04-04,0,3.6923,0.094241145
2005-04-05,0,2.8015,0.094227413
2005-04-06,19.09,2.4926,1.990378216
2005-04-07,9.31,1.7499,1.018670354
2005-04-08,0,3.458,0.09419314
2005-04-09,0,3.9565,0.094180547
2005-04-10,0,3.6903,0.094166213
2005-04-11,20.15,2.8111,2.095040854
2005-04-12,5.53,3.081,0.642755357
2005-04-13,0,3.0733,0.094128371
2005-04-14,0,3.6778,0.094114471
2005-04-15,0,4.267,0.094098254
2005-04-16,0,4.4271,0.094079667
2005-04-17,0,4.3596,0.094058826
2005-04-18,0,4.2905,0.09403582
2005-04-19,0,3.7688,0.094011118
2005-04-20,0,3.7219,0.093984745
2005-04-21,0,4.1957,0.093956232
2005-04-22,0,4.6282,0.093925121
2005-04-23,0,3.6844,0.093892274
2005-04-24,0,3.7339,0.093857558
2005-04-25,0,3.6422,0.093820966
2005-04-26,10,2.9246,1.086020389
2005-04-27,0,3.9612,0.093749762
2005-04-28,6.77,3.3976,0.765211842
2005-04-29,3.58,3.3677,0.448622419
2005-04-30,0,3.6468,0.093641627
2005-05-01,0,3.7698,0.093603488
2005-05-02,0,3.5154,0.093562498
2005-05-03,0,3.8913,0.093517909
2005-05-04,0,4.3288,0.093468766
2005-05-05,0,4.3276,0.093414667
2005-05-06,0,4.6106,0.093354596
2005-05-07,0,4.7126,0.093287629
2005-05-08,0,4.2013,0.093213814
2005-05-09,7.59,3.2795,0.846009782
2005-05-10,0,5.1547,0.09305697
2005-05-11,0,5.1766,0.092970798
2005-05-12,0,5.0815,0.09288223
2005-05-13,0,4.2167,0.092793746
2005-05-14,21.43,3.4712,2.219746581
2005-05-15,0,4.6097,0.092631225
2005-05-16,0,4.6549,0.092544363
2005-05-17,0,5.0103,0.092456201
2005-05-18,0,5.065,0.092368123
2005-05-19,0,4.8535,0.092280128
2005-05-20,0,4.9445,0.092192218
2005-05-21,0,5.6559,0.092104391
2005-05-22,0,5.2745,0.092016648
2005-05-23,42.44,4.1069,4.305735742
2005-05-24,7.85,3.7887,0.870520553
2005-05-25,12.02,3.5553,1.284438216
2005-05-26,0,4.8957,0.0917966
2005-05-27,0,4.3214,0.091713579
2005-05-28,0,5.1904,0.091626208
2005-05-29,0,5.2831,0.09153892
2005-05-30,0,5.2655,0.091451716
2005-05-31,0,5.2797,0.091364594
2005-06-01,0,4.7874,0.091277556
2005-06-02,0,5.2214,0.091190601
2005-06-03,0,5.3,0.091103728
2005-06-04,0,4.5449,0.091016938
2005-06-05,10.94,4.121,1.176205745
2005-06-06,1.5,4.6127,0.239494195
2005-06-07,0,5.2545,0.090816815
2005-06-08,0,5.2811,0.09073265
2005-06-09,6.92,4.3334,0.776910375
2005-06-10,0,5.1997,0.090602662
2005-06-11,0,5.1126,0.09052045
2005-06-12,4.21,4.2923,0.507818609
2005-06-13,33.3,4.5695,3.396065371
2005-06-14,22.82,4.3704,2.355383684
2005-06-15,0,5.911,0.090634604
2005-06-16,10.88,4.5196,1.169839577
2005-06-17,9.1,3.8126,0.993254929
2005-06-18,0,5.5655,0.090541774
2005-06-19,0,5.7176,0.090464203
2005-06-20,0,5.9417,0.090378023
2005-06-21,0,5.9097,0.090291924
2005-06-22,0,6.0002,0.090205908
2005-06-23,0,5.9681,0.090119973
2005-06-24,0,6.0301,0.090034121
2005-06-25,0,6.0214,0.08994835
2005-06-26,0,5.9215,0.08986266
2005-06-27,0,5.9224,0.089777053
2005-06-28,0,6.0843,0.089691527
2005-06-29,0,6.1319,0.089606082
2005-06-30,0,6.1279,0.089520719
2005-07-01,20.05,5.0343,2.079192184
2005-07-02,0,5.6534,0.089727407
2005-07-03,0,5.9743,0.089671747
2005-07-04,9.98,4.564,1.079612447
2005-07-05,0,5.2616,0.089691252
2005-07-06,0,5.6623,0.089622519
2005-07-07,0,5.7912,0.08953714
2005-07-08,0,5.945,0.089451842
2005-07-09,0,5.8176,0.089366626
2005-07-10,0,5.6994,0.089281491
2005-07-11,0,5.3299,0.089196437
2005-07-12,0,5.6655,0.089111465
2005-07-13,0,5.6147,0.089026573
2005-07-14,0,5.6126,0.088941762
2005-07-15,4.06,4.2614,0.491461183
2005-07-16,0,5.8032,0.088936428
2005-07-17,0,5.5508,0.088866319
2005-07-18,0,5.3,0.088781661
2005-07-19,0,5.5881,0.088697083
2005-07-20,0,5.6012,0.088612586
2005-07-21,0,5.8055,0.088528169
2005-07-22,0,6.1221,0.088443833
2005-07-23,0,6.3809,0.088359577
2005-07-24,5.33,4.6067,0.617004356
2005-07-25,0,5.6051,0.088557496
2005-07-26,0,5.3853,0.088502181
2005-07-27,27.7,4.7792,2.838501263
2005-07-28,0,5.0726,0.089391708
2005-07-29,0,5.5375,0.089365712
2005-07-30,0,5.5654,0.089280578
2005-07-31,0,5.6531,0.089195525
2005-08-01,0,5.8266,0.089110553
2005-08-02,0,5.816,0.089025662
2005-08-03,0,5.7346,0.088940851
2005-08-04,0,5.727,0.088856122
2005-08-05,5.06,4.6468,0.590594041
2005-08-06,0.38,5.1453,0.126524878
2005-08-07,19.36,4.1084,2.010542647
2005-08-08,0,5.3976,0.089378283
2005-08-09,0,5.1736,0.089336664
2005-08-10,0,5.173,0.089251558
