"Date","P","E","Q"
2005-01-01,0,0.9428,1.325021429
2005-01-02,0,0.9377,1.956112038
2005-01-03,28.38,0.8657,2.502921297
2005-01-04,37.25,0.727,3.324180816
2005-01-05,52.07,0.6537,18.88837938
2005-01-06,6.81,0.4365,12.27550038
2005-01-07,0,0.4832,4.326551016
2005-01-08,0,0.6059,2.301498732
2005-01-09,0,0.7575,1.997333722
2005-01-10,0,0.854,1.936458845
2005-01-11,0,0.9212,1.902724638
2005-01-12,0,0.9612,1.87206589
2005-01-13,44.78,0.739,15.92386086
2005-01-14,0,0.5918,8.806826396
2005-01-15,0,0.5885,2.948550415
2005-01-16,0,0.5436,1.970036172
2005-01-17,0,0.5343,1.830694953
2005-01-18,0,0.6298,1.790883406
2005-01-19,0,0.7941,1.761495641
2005-01-20,0,0.9408,1.733478845
2005-01-21,0,0.9727,1.705989839
2005-01-22,0,0.8623,1.678948619
2005-01-23,0,0.6258,1.652341969
2005-01-24,0,0.7767,1.626162378
2005-01-25,0,1.0463,1.600402898
2005-01-26,0,1.1025,1.575056732
2005-01-27,0,0.9019,1.550117194
2005-01-28,0,0.6924,1.525577709
2005-01-29,7,0.5504,1.988492504
2005-01-30,0,0.6685,1.717848964
2005-01-31,3,0.6448,1.882894153
2005-02-01,0,0.7124,1.629545541
2005-02-02,6.06,0.6356,2.863485636
2005-02-03,0,0.9668,2.097324316
2005-02-04,0,1.109,1.482881895
2005-02-05,0,1.2206,1.364949656
2005-02-06,6.5,1.0771,2.695795938
2005-02-07,4.57,1.0562,3.062214363
2005-02-08,0,1.0987,1.934639613
2005-02-09,5.19,0.9087,2.584797085
2005-02-10,0,1.1116,1.873207199
2005-02-11,0,1.315,1.343670386
2005-02-12,0,1.4144,1.241654052
2005-02-13,10,1.2747,3.640097347
2005-02-14,0,1.7343,2.395432397
2005-02-15,0,1.9302,1.370362652
2005-02-16,0,1.6916,1.187980558
2005-02-17,0,1.2488,1.150674101
2005-02-18,0,1.461,1.130759021
2005-02-19,3.3,1.2448,1.217049544
2005-02-20,0,1.8874,1.146716075
2005-02-21,4.53,1.7143,1.255014246
2005-02-22,0,1.7733,1.145453038
2005-02-23,15.47,1.2676,5.143259269
2005-02-24,4.02,1.1443,4.063948578
2005-02-25,0,1.7049,1.844741557
2005-02-26,0,1.9004,1.134874695
2005-02-27,0,1.8419,1.018911244
2005-02-28,0,1.5018,0.992128647
2005-03-01,0,1.4992,0.975593208
2005-03-02,0,1.7286,0.960283534
2005-03-03,0,1.9588,0.945304207
2005-03-04,0,2.2214,0.930570271
2005-03-05,0,2.2613,0.916070923
2005-03-06,0,2.3404,0.901801826
2005-03-07,0,2.3512,0.887759234
2005-03-08,0.4,1.8854,0.883574007
2005-03-09,0,1.6717,0.865083257
2005-03-10,0,2.0267,0.847690587
2005-03-11,0,2.1982,0.833865913
2005-03-12,0,2.7128,0.820826773
2005-03-13,0,2.8065,0.80806127
2005-03-14,0,2.0585,0.795504849
2005-03-15,0,1.8443,0.783148046
2005-03-16,0,1.8218,0.770987093
2005-03-17,0,2.2555,0.759018798
2005-03-18,0,2.5308,0.747240065
2005-03-19,0,2.5321,0.735647855
2005-03-20,0,2.7414,0.724239174
2005-03-21,16.87,2.191,1.102009025
2005-03-22,17.89,1.3409,1.412879599
2005-03-23,8.09,1.4944,2.20146158
2005-03-24,0,2.2697,1.328572717
2005-03-25,10,1.8736,3.049948809
2005-03-26,0,1.1752,1.803448434
2005-03-27,5.98,1.133,2.20072033
2005-03-28,0,2.7742,1.350472262
2005-03-29,0,3.4156,0.758777442
2005-03-30,0,2.9129,0.65519348
2005-03-31,0,3.3239,0.634489946
2005-04-01,14.75,2.5687,2.968374916
2005-04-02,0,3.1072,1.770944649
2005-04-03,0,3.6046,0.787234159
2005-04-04,0,3.6923,0.619330733
2005-04-05,0,2.8015,0.591746486
2005-04-06,19.09,2.4926,4.745150469
2005-04-07,9.31,1.7499,4.949012569
2005-04-08,0,3.458,2.044047927
2005-04-09,0,3.9565,0.793786963
2005-04-10,0,3.6903,0.596032758
2005-04-11,20.15,2.8111,5.514155452
2005-04-12,5.53,3.081,4.014893722
2005-04-13,0,3.0733,1.445081348
2005-04-14,0,3.6778,0.684074285
2005-04-15,0,4.267,0.5686906
2005-04-16,0,4.4271,0.54850908
2005-04-17,0,4.3596,0.539075034
2005-04-18,0,4.2905,0.530807335
2005-04-19,0,3.7688,0.522760506
2005-04-20,0,3.7219,0.514846929
2005-04-21,0,4.1957,0.507057258
2005-04-22,0,4.6282,0.499388926
2005-04-23,0,3.6844,0.491839961
2005-04-24,0,3.7339,0.484408466
2005-04-25,0,3.6422,0.477092576
2005-04-26,10,2.9246,0.672676607
2005-04-27,0,3.9612,0.562655764
2005-04-28,6.77,3.3976,0.61284443
2005-04-29,3.58,3.3677,0.596680256
2005-04-30,0,3.6468,0.490731919
2005-05-01,0,3.7698,0.442601476
2005-05-02,0,3.5154,0.429755541
2005-05-03,0,3.8913,0.422590154
2005-05-04,0,4.3288,0.416165777
2005-05-05,0,4.3276,0.409903489
2005-05-06,0,4.6106,0.403743976
2005-05-07,0,4.7126,0.397680411
2005-05-08,0,4.2013,0.391710827
2005-05-09,7.59,3.2795,0.510430522
2005-05-10,0,5.1547,0.441401226
2005-05-11,0,5.1766,0.383871957
2005-05-12,0,5.0815,0.36982793
2005-05-13,0,4.2167,0.363328058
2005-05-14,21.43,3.4712,0.77906822
2005-05-15,0,4.6097,0.559875756
2005-05-16,0,4.6549,0.379354042
2005-05-17,0,5.0103,0.345644248
2005-05-18,0,5.065,0.337228841
2005-05-19,0,4.8535,0.331870084
2005-05-20,0,4.9445,0.326888338
2005-05-21,0,5.6559,0.322010479
2005-05-22,0,5.2745,0.317210181
2005-05-23,42.44,4.1069,1.402125384
2005-05-24,7.85,3.7887,1.057211925
2005-05-25,12.02,3.5553,1.45840451
2005-05-26,0,4.8957,0.801429619
2005-05-27,0,4.3214,0.372056515
2005-05-28,0,5.1904,0.299725279
2005-05-29,0,5.2831,0.287573381
2005-05-30,0,5.2655,0.282540517
2005-05-31,0,5.2797,0.278279868
2005-06-01,0,4.7874,0.274148396
2005-06-02,0,5.2214,0.270085886
2005-06-03,0,5.3,0.266086196
2005-06-04,0,4.5449,0.262147915
2005-06-05,10.94,4.121,0.480682803
2005-06-06,1.5,4.6127,0.393740179
2005-06-07,0,5.2545,0.282345829
2005-06-08,0,5.2811,0.251201688
2005-06-09,6.92,4.3334,0.376430011
2005-06-10,0,5.1997,0.30510915
2005-06-11,0,5.1126,0.24635836
2005-06-12,4.21,4.2923,0.308775213
2005-06-13,33.3,4.5695,1.174735742
2005-06-14,22.82,4.3704,5.998734425
2005-06-15,0,5.911,2.926143815
2005-06-16,10.88,4.5196,2.247663654
2005-06-17,9.1,3.8126,2.724812536
2005-06-18,0,5.5655,1.187208809
2005-06-19,0,5.7176,0.388406016
2005-06-20,0,5.9417,0.260689172
2005-06-21,0,5.9097,0.242950929
2005-06-22,0,6.0002,0.23804159
2005-06-23,0,5.9681,0.234459565
2005-06-24,0,6.0301,0.23104632
2005-06-25,0,6.0214,0.227694599
2005-06-26,0,5.9215,0.224394368
2005-06-27,0,5.9224,0.22114407
2005-06-28,0,6.0843,0.217942868
2005-06-29,0,6.1319,0.214789993
2005-06-30,0,6.1279,0.211684694
2005-07-01,20.05,5.0343,0.59132403
2005-07-02,0,5.6534,0.394060983
2005-07-03,0,5.9743,0.231890472
2005-07-04,9.98,4.564,0.395151547
2005-07-05,0,5.2616,0.291765686
2005-07-06,0,5.6623,0.208719989
2005-07-07,0,5.7912,0.192895019
2005-07-08,0,5.945,0.188634239
2005-07-09,0,5.8176,0.185774778
2005-07-10,0,5.6994,0.183092711
2005-07-11,0,5.3299,0.180463262
2005-07-12,0,5.6655,0.177874341
2005-07-13,0,5.6147,0.17532434
2005-07-14,0,5.6126,0.172812576
2005-07-15,4.06,4.2614,0.217166141
2005-07-16,0,5.8032,0.190960154
2005-07-17,0,5.5508,0.16907909
2005-07-18,0,5.3,0.163544042
2005-07-19,0,5.5881,0.160847105
2005-07-20,0,5.6012,0.15851599
2005-07-21,0,5.8055,0.156252438
2005-07-22,0,6.1221,0.154025696
2005-07-23,0,6.3809,0.151832451
2005-07-24,5.33,4.6067,0.194971143
2005-07-25,0,5.6051,0.169849779
2005-07-26,0,5.3853,0.148908597
2005-07-27,27.7,4.7792,0.585317365
2005-07-28,0,5.0726,0.358808672
2005-07-29,0,5.5375,0.173086407
2005-07-30,0,5.5654,0.141214989
2005-07-31,0,5.6531,0.13580313
2005-08-01,0,5.8266,0.133541484
2005-08-02,0,5.816,0.131622129
2005-08-03,0,5.7346,0.129759626
