"Date","P","E","Q"
2005-01-01,0,0.9428,0.058905263
2005-01-02,0,0.9377,0.087903572
2005-01-03,28.38,0.8657,0.66736695
2005-01-04,37.25,0.727,1.130627352
2005-01-05,52.07,0.6537,10.10528419
2005-01-06,6.81,0.4365,5.13003286
2005-01-07,0,0.4832,0.958826531
2005-01-08,0,0.6059,0.20071543
2005-01-09,0,0.7575,0.108134928
2005-01-10,0,0.854,0.0986371
2005-01-11,0,0.9212,0.097742479
2005-01-12,0,0.9612,0.097652531
2005-01-13,44.78,0.739,7.380651268
2005-01-14,0,0.5918,3.686393083
2005-01-15,0,0.5885,0.65787984
2005-01-16,0,0.5436,0.165000494
2005-01-17,0,0.5343,0.10784144
2005-01-18,0,0.6298,0.102136081
2005-01-19,0,0.7941,0.101602754
2005-01-20,0,0.9408,0.101544353
2005-01-21,0,0.9727,0.101527111
2005-01-22,0,0.8623,0.101513297
2005-01-23,0,0.6258,0.101499762
2005-01-24,0,0.7767,0.101486252
2005-01-25,0,1.0463,0.101472745
2005-01-26,0,1.1025,0.101459241
2005-01-27,0,0.9019,0.101445739
2005-01-28,0,0.6924,0.10143224
2005-01-29,7,0.5504,0.254339243
2005-01-30,0,0.6685,0.176705982
2005-01-31,3,0.6448,0.178831042
2005-02-01,0,0.7124,0.135088794
2005-02-02,6.06,0.6356,0.263888293
2005-02-03,0,0.9668,0.179513651
2005-02-04,0,1.109,0.113557895
2005-02-05,0,1.2206,0.102848382
2005-02-06,6.5,1.0771,0.283020425
2005-02-07,4.57,1.0562,0.325749443
2005-02-08,0,1.0987,0.182156991
2005-02-09,5.19,0.9087,0.268933723
2005-02-10,0,1.1116,0.17995575
2005-02-11,0,1.315,0.114388406
2005-02-12,0,1.4144,0.10378503
2005-02-13,10,1.2747,0.499064538
2005-02-14,0,1.7343,0.297993453
2005-02-15,0,1.9302,0.133182787
2005-02-16,0,1.6916,0.106350025
2005-02-17,0,1.2488,0.103226459
2005-02-18,0,1.461,0.102902883
2005-02-19,3.3,1.2448,0.175803062
2005-02-20,0,1.8874,0.138762687
2005-02-21,4.53,1.7143,0.208611422
2005-02-22,0,1.7733,0.152796009
2005-02-23,15.47,1.2676,1.008327964
2005-02-24,4.02,1.1443,0.66351455
2005-02-25,0,1.7049,0.230249457
2005-02-26,0,1.9004,0.120783442
2005-02-27,0,1.8419,0.105803998
2005-02-28,0,1.5018,0.104169902
2005-03-01,0,1.4992,0.104000361
2005-03-02,0,1.7286,0.10397254
2005-03-03,0,1.9588,0.103957438
2005-03-04,0,2.2214,0.103943425
2005-03-05,0,2.2613,0.103929503
2005-03-06,0,2.3404,0.10391559
2005-03-07,0,2.3512,0.103901681
2005-03-08,0.4,1.8854,0.112796701
2005-03-09,0,1.6717,0.108260781
