"Date","P","E","Q"
1981-10-01,0,3.4581,0.0905
1981-10-02,0,3.2067,0.1028
1981-10-03,0,2.6833,0.1028
1981-10-04,0,2.7785,0.1166
1981-10-05,0,2.9852,0.1028
1981-10-06,0,3.0541,0.1166
1981-10-07,0,2.6571,0.1319
1981-10-08,8.93,1.6965,0.2301
1981-10-09,13.07,1.5614,0.2455
1981-10-10,16.15,1.2003,0.1994
1981-10-11,5.66,1.422,0.1488
1981-10-12,0,2.0444,0.1319
1981-10-13,0,2.1126,0.1319
1981-10-14,0,2.2194,0.1166
1981-10-15,0,2.0239,0.1319
1981-10-16,0,2.1965,0.1488
1981-10-17,0,2.3622,0.1488
1981-10-18,7.32,1.9148,0.1688
1981-10-19,4.91,1.5837,0.1688
1981-10-20,0,1.8345,0.1488
1981-10-21,0,1.9719,0.1688
1981-10-22,0,2.1507,0.1488
1981-10-23,16.29,1.7088,1.0586
1981-10-24,4,1.2982,0.3068
1981-10-25,8.36,1.2573,1.3194
1981-10-26,32.99,1.0563,1.258
1981-10-27,10.06,1.2477,0.4449
1981-10-28,0,1.5861,0.3375
1981-10-29,0,1.839,0.3068
1981-10-30,0,1.969,0.2761
1981-10-31,0,1.8909,0.2761
1981-11-01,0,1.826,0.3068
1981-11-02,0,1.7759,0.3222
1981-11-03,0,1.8925,0.3222
1981-11-04,0,1.9071,0.3222
1981-11-05,1.69,1.928,0.3222
1981-11-06,0,1.7605,0.3068
1981-11-07,0,1.51,0.3222
1981-11-08,0,1.4501,0.3375
1981-11-09,0,1.4948,0.3068
1981-11-10,0,1.4923,0.3375
1981-11-11,0,1.3886,0.3375
1981-11-12,0,1.2738,0.3068
1981-11-13,0,1.3066,0.2455
1981-11-14,0,1.2196,0.2148
1981-11-15,0,1.2246,0.2301
1981-11-16,1.36,1.2682,0.2301
1981-11-17,0,1.2496,0.2301
1981-11-18,0,1.1723,0.2301
1981-11-19,0,1.2691,0.2455
1981-11-20,5.25,1.095,0.2915
1981-11-21,0,0.8605,0.2301
1981-11-22,0,0.8944,0.2301
1981-11-23,0,0.9927,0.2761
1981-11-24,5,0.9593,0.3989
1981-11-25,0,0.9873,0.2761
1981-11-26,0,1.0949,0.2455
1981-11-27,0,1.241,0.3068
1981-11-28,4.83,1.0077,0.3375
1981-11-29,0,0.9757,0.2761
1981-11-30,20.51,0.8504,0.9665
1981-12-01,42.63,0.9476,3.5285
1981-12-02,0,0.9421,0.5676
1981-12-03,0,0.8581,0.3989
1981-12-04,0,0.8815,0.3682
1981-12-05,0,0.7968,0.3068
1981-12-06,0,0.7941,0.3068
1981-12-07,0,0.8473,0.3068
1981-12-08,0,0.92,0.2761
1981-12-09,0,0.8293,0.2761
1981-12-10,0,0.7189,0.2761
1981-12-11,0,0.6446,0.3068
1981-12-12,6.57,0.6032,0.3068
1981-12-13,0,0.6823,0.3068
1981-12-14,36.54,0.6301,3.2217
1981-12-15,8.04,0.6636,0.8745
1981-12-16,0,0.7107,0.5523
1981-12-17,0,0.7454,0.5216
1981-12-18,0,0.64,0.4449
1981-12-19,0,0.5081,0.3989
1981-12-20,0,0.5446,0.3989
1981-12-21,0,0.6084,0.3989
1981-12-22,5.81,0.8269,0.4449
1981-12-23,6,0.9249,0.5983
1981-12-24,6.2,0.6508,0.6443
1981-12-25,20,0.6503,1.5341
1981-12-26,0,0.8275,0.8131
1981-12-27,0,0.8522,0.5983
1981-12-28,0,0.9102,0.5216
1981-12-29,0,0.8838,0.4449
1981-12-30,0,0.7902,0.3989
1981-12-31,26.93,0.751,5.8297
1982-01-01,24.18,0.72,2.3012
1982-01-02,0,0.8673,1.3194
1982-01-03,20.65,0.9458,7.5173
1982-01-04,43.49,0.9954,6.7502
1982-01-05,0,0.7947,2.9149
1982-01-06,0,0.9147,1.9944
1982-01-07,3.93,0.9795,1.841
1982-01-08,6.2,0.774,1.35
1982-01-09,0,0.7216,1.258
1982-01-10,0,0.6903,0.9818
1982-01-11,0,0.4856,0.8591
1982-01-12,0,0.5589,0.8898
1982-01-13,19.13,0.5598,1.5341
1982-01-14,4.41,0.5376,1.3194
1982-01-15,0,0.6631,1.2273
1982-01-16,0,0.7947,1.2887
1982-01-17,0,0.6813,1.1199
1982-01-18,0,0.758,1.1046
1982-01-19,3.2,1.1034,1.1506
1982-01-20,0,1.525,0.9818
1982-01-21,5.66,1.2018,1.1506
1982-01-22,10.32,1.0105,1.4881
1982-01-23,30.38,1.1806,11.8129
1982-01-24,0,1.0276,4.6024
1982-01-25,0,1.0647,2.7615
1982-01-26,0,1.0745,1.9944
1982-01-27,0,0.9378,1.5341
1982-01-28,0,1.0834,1.3654
1982-01-29,2.15,1.1325,1.1966
1982-01-30,0,1.4606,1.0432
1982-01-31,11.46,1.2854,1.6876
1982-02-01,2.45,1.1829,1.2887
1982-02-02,23.48,0.9878,6.9036
1982-02-03,41.11,0.9748,7.057
1982-02-04,2.35,1.1074,4.2956
1982-02-05,0,1.0485,2.9149
1982-02-06,2.27,1.2396,2.1478
1982-02-07,4.14,0.9306,1.6876
1982-02-08,3.01,1.1538,1.5341
1982-02-09,11.45,1.3841,1.6876
1982-02-10,4.17,1.1587,1.304
1982-02-11,0,1.3236,1.1966
1982-02-12,0,1.4752,1.1353
1982-02-13,2,1.3049,0.9972
1982-02-14,0,1.4081,0.9358
1982-02-15,0,1.6751,1.0586
1982-02-16,32.31,1.4174,12.7334
1982-02-17,24.35,1.6443,5.6763
1982-02-18,0,2.0705,3.3751
1982-02-19,0,2.0284,2.4546
1982-02-20,0,1.9519,1.9944
1982-02-21,0,2.0816,1.6876
1982-02-22,0,2.0088,1.3347
1982-02-23,0,2.1587,1.1813
1982-02-24,0,2.4451,1.0739
1982-02-25,0,2.2926,0.9512
1982-02-26,9.1,1.1288,1.841
1982-02-27,43.38,0.8905,7.8241
1982-02-28,0,1.0956,3.9888
1982-03-01,0,1.591,2.608
1982-03-02,0,2.234,1.9944
1982-03-03,0,2.3822,1.6876
1982-03-04,0,2.3987,1.4421
1982-03-05,0,2.5379,1.2733
1982-03-06,0,2.0069,2.608
1982-03-07,25.89,1.2312,3.8354
1982-03-08,0,1.9774,2.7615
1982-03-09,0,2.3006,1.9944
1982-03-10,0,2.5802,1.6876
1982-03-11,0,2.8335,1.4421
1982-03-12,0,2.8472,1.1813
1982-03-13,0,2.6671,1.1199
1982-03-14,0,2.786,1.0586
1982-03-15,0,3.0596,1.1199
1982-03-16,0,2.8157,0.9972
1982-03-17,0,2.7599,1.2427
1982-03-18,9.37,2.6785,1.0432
1982-03-19,0,3.7054,0.9051
1982-03-20,0,3.5072,0.8284
1982-03-21,0,3.2643,1.3961
1982-03-22,16.42,2.3981,1.5341
1982-03-23,2.19,2.8699,1.2273
1982-03-24,0,3.2492,1.1046
1982-03-25,0,3.3969,2.9149
1982-03-26,0,3.18,3.0683
1982-03-27,0,2.5522,1.841
1982-03-28,0,2.6429,1.4574
1982-03-29,0,3.0816,1.2733
1982-03-30,0,3.4555,1.1046
1982-03-31,0,3.6383,1.1353
1982-04-01,3.52,3.2425,0.9818
1982-04-02,0,4.0052,0.9205
1982-04-03,11.66,2.8779,0.9512
1982-04-04,0,3.6098,0.7517
1982-04-05,32.54,2.5519,6.1366
1982-04-06,0,3.2077,3.0683
1982-04-07,0,2.9708,2.3012
1982-04-08,4.14,2.4725,1.841
1982-04-09,3.27,2.5989,1.4574
1982-04-10,0,3.3271,1.2427
1982-04-11,0,3.5119,1.0892
1982-04-12,0,3.9915,1.0125
1982-04-13,0,4.1498,0.9205
1982-04-14,0,3.5847,0.8745
1982-04-15,5.41,3.3576,0.9818
1982-04-16,6.41,3.2583,1.2427
1982-04-17,0,3.7585,3.0683
1982-04-18,20.98,3.2119,2.3012
1982-04-19,26.24,2.7723,7.6707
1982-04-20,62.12,2.3532,12.4265
1982-04-21,6,2.8676,6.5968
1982-04-22,0,3.3093,3.9888
1982-04-23,0,3.9419,2.7615
1982-04-24,0,4.2148,2.1478
1982-04-25,11.31,3.0964,3.5285
1982-04-26,26.02,3.1361,3.3751
1982-04-27,3.29,3.4626,3.0683
1982-04-28,0,4.3234,2.3012
1982-04-29,0,4.1561,2.608
1982-04-30,15.1,3.2923,2.9149
1982-05-01,0.93,4.3813,2.1478
1982-05-02,0,4.7103,1.6876
1982-05-03,0,5.045,1.3654
1982-05-04,0,5.2034,1.1659
1982-05-05,0,5.3034,0.9972
1982-05-06,0,5.2329,0.8745
1982-05-07,0,4.4537,1.6876
1982-05-08,28.11,3.1754,1.3347
1982-05-09,0,4.8297,0.9205
1982-05-10,0,5.1762,0.7517
1982-05-11,0,5.3666,0.6597
1982-05-12,0,5.4677,0.5983
1982-05-13,0,5.4565,0.5523
1982-05-14,0,5.4649,0.5216
1982-05-15,0,5.1608,0.5063
1982-05-16,0,5.5038,0.4602
1982-05-17,0,5.5265,0.4296
1982-05-18,0,5.4789,0.4142
1982-05-19,0,5.4248,0.3989
1982-05-20,0,5.0954,0.3989
1982-05-21,0,5.132,0.3989
1982-05-22,0,5.3027,0.4756
1982-05-23,4.99,3.9425,0.4909
1982-05-24,0,4.9385,0.3835
1982-05-25,0,4.7913,0.3529
1982-05-26,7.19,3.6136,0.4756
1982-05-27,10,3.8344,0.5063
1982-05-28,0,5.1701,0.3682
1982-05-29,0,5.2364,0.3222
1982-05-30,0,5.5053,0.2915
1982-05-31,3.3,4.2591,0.3529
1982-06-01,12.17,3.7163,0.3835
1982-06-02,0,5.118,0.2915
1982-06-03,0,5.1703,0.7057
1982-06-04,61.6,3.4348,6.9036
1982-06-05,38.04,3.349,2.1478
1982-06-06,0,5.1279,1.0432
1982-06-07,0,5.6454,0.6904
1982-06-08,0,5.9883,0.5369
1982-06-09,0,6.1232,0.4756
1982-06-10,0,5.7266,0.4142
1982-06-11,0,5.6462,0.3682
1982-06-12,0,5.6826,0.5216
1982-06-13,19.89,4.056,0.4449
1982-06-14,0,5.1517,0.3682
1982-06-15,0,5.4926,0.3375
1982-06-16,0,5.1998,0.3375
1982-06-17,6.87,3.7023,0.4449
1982-06-18,0,5.3371,0.3682
1982-06-19,0,5.7133,0.3375
1982-06-20,0,5.5715,0.3068
1982-06-21,0,5.3744,0.3068
1982-06-22,1.9,5.0456,0.3222
1982-06-23,0,5.4357,0.3068
1982-06-24,0,5.7957,0.2761
1982-06-25,0,6.0065,0.2761
1982-06-26,0,5.797,0.3682
1982-06-27,18,3.8754,0.4756
1982-06-28,7.86,3.7067,1.1966
1982-06-29,25.94,3.7676,1.3194
1982-06-30,12.34,3.8741,0.7057
1982-07-01,6.12,4.3113,1.0586
1982-07-02,0,5.3667,0.4449
1982-07-03,0,5.7388,0.3682
1982-07-04,0,5.6741,0.3375
1982-07-05,0,5.6451,0.3068
1982-07-06,0,5.4914,0.2761
1982-07-07,0,5.6345,0.2455
