"Date","P","E","T","Q"
1980-10-01,0,1.8577,11.97,0.2716
1980-10-02,0,1.6671,11.855,0.258
1980-10-03,11.29,1.3948,12.405,0.4345
1980-10-04,20.05,1.1476,10.38,2.1861
1980-10-05,4.04,1.2621,7.43,1.3035
1980-10-06,0,1.3472,7.02,0.7332
1980-10-07,0,1.2721,6.745,0.5567
1980-10-08,0,1.1396,4.89,0.4617
1980-10-09,0,1.3506,7.4,0.4073
1980-10-10,0,1.0621,1.945,0.353
1980-10-11,0,1.1517,3.49,0.3666
1980-10-12,8.45,0.9301,6.755,0.5567
1980-10-13,3.42,0.9757,5.055,0.4888
1980-10-14,1.32,0.8968,0.375,0.4073
1980-10-15,0,0.7672,-1.85,0.3666
1980-10-16,0,0.9315,0.84,0.3395
1980-10-17,0,0.9612,4.01,0.3395
1980-10-18,7.09,0.9499,6.9,0.4481
1980-10-19,12.86,0.9919,10.785,1.0727
1980-10-20,4.55,0.8834,6.085,0.6925
1980-10-21,2.88,0.7555,1.975,0.5567
1980-10-22,0.29,0.7169,0.67,0.4888
1980-10-23,0,0.7101,-0.545,0.4345
1980-10-24,0,0.6468,-1.24,0.3938
1980-10-25,0,0.7184,1.275,1.5072
1980-10-26,50.07,0.7172,4.145,27.835
1980-10-27,6.8,0.6122,0.845,4.5351
1980-10-28,0,0.5804,-0.365,2.3626
1980-10-29,1,0.5622,-1.76,1.6837
1980-10-30,0,0.552,-1.88,1.3306
1980-10-31,0,0.5523,-1.21,1.1677
1980-11-01,4.18,0.5742,1.58,1.0727
1980-11-02,2.68,0.4984,-1.52,0.964
1980-11-03,0,0.4214,-6.31,0.8147
1980-11-04,0,0.4394,-3.605,0.8554
1980-11-05,1.5,0.5645,3.33,0.9233
1980-11-06,0,0.4452,-0.415,0.8283
1980-11-07,0,0.4376,-1.955,0.7739
1980-11-08,8.84,0.4605,1.055,1.0862
1980-11-09,0,0.3361,-2.66,1.0998
1980-11-10,4,0.4371,-0.71,0.9369
1980-11-11,2.75,0.4085,-1.22,0.8283
1980-11-12,1.11,0.3684,-4.685,0.8011
1980-11-13,0,0.3506,-2.95,0.7875
1980-11-14,0,0.3822,0.71,0.6789
1980-11-15,0,0.3023,-1.205,0.6517
1980-11-16,0,0.3181,-4.47,0.611
1980-11-17,0,0.2556,-7.71,0.5703
1980-11-18,14.34,0.2857,-5.575,0.5431
1980-11-19,8.25,0.2851,-7.07,0.6789
