"Date","P","E","T","Q" 
2004-09-02,0.0670,2.1136,12.648,0.1222
2004-09-03,0.0000,2.2843,14.427,0.1000
2004-09-04,0.0099,2.7573,17.274,0.0834
2004-09-05,0.0000,2.8527,17.856,0.0756
2004-09-06,0.0000,2.8823,18.049,0.0736
2004-09-07,0.0000,2.7593,16.941,0.0664
2004-09-08,0.0000,2.6806,16.848,0.0691
2004-09-09,0.0670,2.6774,16.207,0.0636
2004-09-10,0.0000,2.3870,14.465,0.0570
2004-09-11,0.1340,2.3765,15.477,0.0496
2004-09-12,3.9294,2.7166,17.799,0.0652
2004-09-13,0.3462,2.1492,13.903,0.0631
2004-09-14,0.0670,2.1076,14.176,0.0662
2004-09-15,0.0967,1.9760,12.939,0.0732
2004-09-16,1.2964,1.7041,10.947,0.0666
2004-09-17,0.0000,1.4484,8.206,0.0562
2004-09-18,0.0000,1.5879,9.946,0.0562
2004-09-19,0.0000,1.8712,12.578,0.0562
2004-09-20,2.0630,1.9786,13.175,0.0562
2004-09-21,0.0670,1.6347,11.249,0.0562
2004-09-22,1.8505,1.8407,12.779,0.0511
2004-09-23,0.8627,1.6406,11.415,0.0410
2004-09-24,11.8478,1.8698,13.138,0.0617
2004-09-25,0.9274,1.4816,9.584,0.0420
2004-09-26,0.7901,1.5521,10.297,0.0375
2004-09-27,0.9947,1.7014,11.756,0.0379
2004-09-28,0.0901,1.7079,12.304,0.0375
2004-09-29,0.1769,1.9188,14.056,0.0375
2004-09-30,0.0330,1.8022,12.762,0.0375
2004-10-01,0.0670,1.5927,11.251,0.0375
2004-10-02,2.0040,1.8709,13.524,0.0523
2004-10-03,0.0000,1.6468,11.762,0.0500
2004-10-04,0.0000,1.4485,10.131,0.0494
2004-10-05,0.0670,1.8780,13.686,0.0529
2004-10-06,0.2680,2.0731,15.568,0.0461
2004-10-07,6.5765,1.5000,10.644,0.0420
2004-10-08,0.0670,1.2190,7.851,0.0375
2004-10-09,0.9901,1.2053,7.821,0.0375
2004-10-10,1.0462,1.3693,9.282,0.0400
2004-10-11,0.0000,1.2560,8.072,0.0390
2004-10-12,0.0000,1.1590,7.568,0.0375
2004-10-13,0.0000,1.2095,8.099,0.0375
2004-10-14,0.0670,1.2702,8.940,0.0375
2004-10-15,7.0990,1.3584,9.904,0.0638
2004-10-16,7.9412,1.1453,7.525,0.1027
2004-10-17,4.3802,1.0534,6.361,0.0933
2004-10-18,6.8300,1.0680,6.747,0.0869
2004-10-19,1.3861,1.1190,7.396,0.0838
2004-10-20,0.0000,1.0719,6.799,0.0590
2004-10-21,10.0601,1.6943,13.674,0.1244
2004-10-22,4.8086,1.4542,11.177,0.3260
2004-10-23,0.0000,1.1538,8.668,0.1128
2004-10-24,0.0670,1.5859,13.330,0.0800
2004-10-25,1.7670,1.4579,12.327,0.0750
2004-10-26,0.1099,1.4767,12.133,0.0818
2004-10-27,0.0000,1.0609,7.631,0.0879
2004-10-28,1.3241,1.0601,7.496,0.0748
2004-10-29,8.3396,1.3276,10.925,0.1587
2004-10-30,7.8371,1.2575,9.856,0.2433
2004-10-31,1.4406,1.1068,8.555,0.3110
2004-11-01,0.0000,1.0891,8.171,0.1509
2004-11-02,0.5198,1.1145,8.441,0.1148
2004-11-03,2.7284,1.1321,8.983,0.1125
2004-11-04,1.9363,1.1651,9.609,0.1277
2004-11-05,10.3125,1.2144,10.230,0.9679
2004-11-06,0.0000,0.9873,6.736,0.4008
2004-11-07,3.0403,0.9162,6.377,0.2124
2004-11-08,0.6924,0.8777,5.249,0.2483
2004-11-09,0.5736,0.7714,3.966,0.1847
2004-11-10,0.0000,0.6821,1.668,0.1492
2004-11-11,4.9996,0.6343,1.342,0.2089
2004-11-12,0.0868,0.6872,2.405,0.3580
2004-11-13,0.2264,0.7145,3.087,0.2200
2004-11-14,0.1472,0.7468,3.319,0.1730
2004-11-15,0.0000,0.6498,1.289,0.1372
2004-11-16,0.0000,0.5261,-0.570,0.1220
2004-11-17,0.0330,0.7805,4.826,0.1125
2004-11-18,0.8518,0.9693,8.065,0.1242
2004-11-19,4.8504,0.9394,7.520,0.1585
2004-11-20,4.0138,0.6592,2.189,1.3375
2004-11-21,0.0264,0.4912,-1.085,0.3877
2004-11-22,0.8518,0.5215,-0.483,0.2300
2004-11-23,0.6112,0.9228,8.266,0.2472
2004-11-24,1.6541,0.9437,7.680,0.2975
2004-11-25,0.0000,0.5339,-0.178,0.2557
2004-11-26,0.1099,0.4982,-1.545,0.1911
2004-11-27,0.0198,0.6246,2.600,0.1687
2004-11-28,2.7650,0.8397,6.681,0.2327
2004-11-29,0.0670,0.8040,5.901,0.2286
2004-11-30,0.0000,0.7893,5.535,0.2009
2004-12-01,0.0000,0.6858,2.700,0.1691
2004-12-02,4.2551,0.6522,2.879,0.2319
2004-12-03,0.9099,0.6547,3.086,0.3053
2004-12-04,0.0099,0.6344,2.644,0.2725
2004-12-05,0.0670,0.4875,-0.906,0.2120
2004-12-06,0.0000,0.4631,-1.322,0.1763
2004-12-07,0.0000,0.6280,2.443,0.1687
2004-12-08,0.0000,0.6088,1.921,0.1591
2004-12-09,0.0000,0.6530,3.243,0.1499
2004-12-10,0.0000,0.5384,0.119,0.1454
2004-12-11,0.0330,0.4229,-2.882,0.1208
2004-12-12,0.0000,0.3873,-3.685,0.1125
2004-12-13,0.0000,0.3944,-3.585,0.1125
2004-12-14,0.0000,0.3857,-3.769,0.0974
2004-12-15,0.0000,0.3636,-4.374,0.0937
2004-12-16,0.0000,0.3932,-3.521,0.0937
2004-12-17,3.0663,0.4903,-0.565,0.1125
2004-12-18,13.1830,0.6692,3.801,1.9376
2004-12-19,2.2607,0.6112,2.396,2.9710
2004-12-20,5.0795,0.5503,0.577,3.3817
2004-12-21,0.0099,0.3893,-4.417,0.6005
2004-12-22,0.0297,0.3102,-6.682,0.2479
2004-12-23,1.2349,0.4280,-2.271,0.1911
2004-12-24,2.0887,0.6583,4.124,0.3440
2004-12-25,3.2986,0.8282,7.130,1.8771
2004-12-26,3.4564,0.6942,3.973,3.6914
2004-12-27,0.0000,0.5528,0.806,1.0185
2004-12-28,0.0165,0.4746,-2.059,0.4035
2004-12-29,4.0841,0.4643,-1.310,0.2874
2004-12-30,1.3904,0.5442,0.662,0.2497
2004-12-31,0.2561,0.5549,1.217,0.3813
2005-01-01,0.8970,0.6895,4.446,1.3156
2005-01-02,1.3927,0.8096,6.643,1.3309
2005-01-03,2.1396,0.6932,4.121,1.5444
2005-01-04,0.4089,0.6132,2.784,0.5935
2005-01-05,0.0000,0.6386,2.938,0.4643
2005-01-06,4.3422,0.6913,4.160,0.6667
2005-01-07,0.8617,0.7893,5.831,1.3699
2005-01-08,0.0000,0.9149,7.951,0.6689
2005-01-09,2.1178,0.8234,6.325,0.6136
2005-01-10,0.0000,0.7597,5.388,0.5521
2005-01-11,0.9541,0.9431,7.870,0.4629
2005-01-12,2.1858,0.8728,7.069,0.5863
2005-01-13,3.0211,0.8354,6.255,0.9051
2005-01-14,0.1000,0.6119,1.962,0.6770
2005-01-15,0.0231,0.4819,-1.068,0.4236
2005-01-16,0.0000,0.4506,-2.619,0.3606
2005-01-17,0.0330,0.3955,-4.236,0.2848
2005-01-18,2.9452,0.5186,-0.131,0.2638
2005-01-19,15.0325,0.7059,3.403,7.6371
2005-01-20,0.7089,0.6284,2.045,2.3740
2005-01-21,7.7550,0.9027,7.326,2.5013
2005-01-22,6.1871,0.7699,4.665,7.4817
2005-01-23,0.0670,0.6220,1.217,1.3326
2005-01-24,0.1287,0.5760,0.302,0.6421
2005-01-25,2.2389,0.4980,-1.560,0.4662
2005-01-26,0.0000,0.4399,-3.529,0.3579
2005-01-27,0.0000,0.4465,-3.179,0.2743
2005-01-28,0.0000,0.4250,-4.018,0.2374
2005-01-29,0.0000,0.5115,-1.483,0.2374
2005-01-30,0.0528,0.4400,-4.117,0.1995
2005-01-31,0.2924,0.4875,-2.204,0.1698
2005-02-01,0.4772,0.6469,1.775,0.2393
2005-02-02,0.4914,0.7296,2.690,0.4506
2005-02-03,0.9914,0.7274,2.952,0.3908
