"Date","P","E","T","Q"
2005-01-01,4.95,0.2054,2.16,5.2999922972
2005-01-02,0,0.0462,-4.26,6.5785754174
2005-01-03,8.89,0.1402,-6.925,21.9350008382
2005-01-04,0.05,0.2255,0.39,32.6366343255
2005-01-05,0,0.1615,-3.9,54.6611355293
2005-01-06,0,0.1641,-9.76,77.2523359747
2005-01-07,8.2,0.2261,-7.94,94.9948618546
2005-01-08,2.66,0.2313,-6.685,99.1163453971
2005-01-09,6.84,0.2227,-8.455,105.7358135915
2005-01-10,2.84,0.1883,-7.265,105.719790567
2005-01-11,0,0.1307,-7.04,105.3228376204
2005-01-12,0,0.251,-9.27,105.9784490242
2005-01-13,10.14,0.2671,-5.65,112.2281060113
2005-01-14,12.25,0.2621,3.825,113.5699464235
2005-01-15,7.74,0.1848,-4.515,110.9153479087
2005-01-16,0,0.2024,-11.58,106.2958366571
2005-01-17,2.38,0.2086,-12.72,107.5613620471
2005-01-18,0,0.1549,-17.14,106.0132605497
2005-01-19,0,0.1471,-21.96,105.8529498253
2005-01-20,4.27,0.1698,-18.485,108.1973476629
2005-01-21,0,0.1657,-18.74,105.5403900098
2005-01-22,0,0.1495,-23.405,105.3937070295
2005-01-23,4.77,0.1705,-21.185,108.0502719651
2005-01-24,0.67,0.1895,-18.65,105.512181272
2005-01-25,0.59,0.2111,-16.435,105.3296822516
2005-01-26,1.47,0.2305,-15.1,105.7075329686
2005-01-27,2.24,0.2061,-19.44,106.016446085
2005-01-28,0,0.2054,-20.74,104.553568334
2005-01-29,0,0.2143,-20.29,104.3942375696
2005-01-30,0,0.2727,-11.015,104.2277359662
2005-01-31,0,0.3107,-10.18,104.0552224031
2005-02-01,0,0.3251,-9.635,103.8756994092
2005-02-02,0,0.3388,-7.635,103.684219551
2005-02-03,0,0.3559,-8.215,103.4755006436
2005-02-04,0,0.4013,-5.405,103.2459121827
2005-02-05,0,0.5129,-0.86,102.9954289661
2005-02-06,0,0.5441,0.8,102.7228027866
2005-02-07,0,0.5686,0.26,102.4239917613
2005-02-08,0,0.6213,2.51,102.0929067507
2005-02-09,2.06,0.6273,1.775,102.9289528814
2005-02-10,12,0.6069,1.705,108.3369294553
2005-02-11,33.82,0.4928,-5.985,120.6646500957
2005-02-12,11.27,0.41,-8.81,107.0202884509
2005-02-13,27.63,0.5018,-8.165,116.1301341625
2005-02-14,0,0.5074,-11.84,99.5239722322
2005-02-15,60.21,0.5392,-8.43,134.2970805953
2005-02-16,0,0.8577,2.775,98.6802115981
2005-02-17,23.86,0.6864,-2.67,112.2016178212
2005-02-18,0,0.6089,-10.41,97.812427113
2005-02-19,0,0.5765,-13.415,97.3370727125
2005-02-20,1.43,0.5316,-14.275,97.6644141108
2005-02-21,1.71,0.5184,-15.145,97.2988036185
2005-02-22,8.35,0.489,-11.705,100.6659499101
2005-02-23,6.24,0.5223,-7.65,98.9463849112
2005-02-24,0,0.679,-13.475,94.8387174507
2005-02-25,0.98,0.6639,-13.145,94.9591132242
2005-02-26,0,0.7185,-13.77,93.9356468082
2005-02-27,0,0.7572,-13.075,93.4693852272
2005-02-28,0,0.7184,-11.43,92.9735069161
2005-03-01,6.8,0.7436,-8.935,96.4106509526
2005-03-02,10.31,0.5578,-9.12,97.906861079
2005-03-03,1.46,0.6714,-11.395,92.1837971842
2005-03-04,0,0.6032,-12.46,90.7677525777
2005-03-05,0,0.8851,-10.495,90.2092795931
2005-03-06,0,1.0856,-6.6,89.6542169679
2005-03-07,2.79,1.1249,-5.4,90.7106280303
2005-03-08,12.86,0.9909,-6.875,95.9625442722
2005-03-09,26.68,0.9652,-9.88,103.3359710693
2005-03-10,0,0.7506,-17.325,87.0760438608
2005-03-11,0,1.0342,-14.315,86.3013700377
2005-03-12,7.85,0.9445,-12.135,90.0833652961
2005-03-13,14.93,0.9638,-5.965,93.4263371213
2005-03-14,0,1.455,-4.3,83.97922851
2005-03-15,0,1.2815,-3.835,83.1951057972
2005-03-16,0.4,1.2623,-2.605,82.6003815704
2005-03-17,0,1.2226,-4.695,81.4941039833
2005-03-18,0,1.5731,-6.35,80.5547940047
2005-03-19,0,1.5675,-5.685,79.5501737707
2005-03-20,0,1.7963,-4.94,78.5054232016
2005-03-21,0,1.9331,-2.74,77.4077201188
2005-03-22,0,1.9605,-2.49,76.2316725226
2005-03-23,0,1.949,-0.775,74.959374355
2005-03-24,0,1.6484,-1.11,73.6016461024
2005-03-25,0,1.9402,-1.205,72.1694876482
